HR,WSS
1,1031238630680
2,2374396026799
3,3522526679646
4,4428082367364
5,5847132855687
6,7564869445069
7,9120915474187
8,10849467142677
9,12533736937878
10,14164757775971
11,15760001374666
12,17345757693260
13,17869345672964
14,18549077704799
15,19093697299580
16,19647090905758
17,20184843665876
18,20649747457408
19,21129124025414
20,21480688147969
21,21818271528645
22,22225218576727
23,22703203021868
24,23245769195462
25,23514894286601
26,23805749504284
27,24153863835132
28,24465370815107
29,24740545342754
30,25055763404562
31,25270024563484
32,25609628167571
33,25954069457693
34,26410540586061
35,26822253148201
36,27242267200432
37,27530465277080
38,27986874945587
39,28519844768418
40,29263963844406
41,29756532977745
42,30503391218767
43,31064257599847
44,31715349361464
45,32420393134509
46,33279254164922
47,33828872601178
48,34211939394309
49,34504186634144
50,34783297592239
51,35089569061452
52,35280994750681
53,35520512956559
54,35817970533731
55,36010872299055
56,36203716428276
57,36499024044555
58,36893779652140
59,37284029016658
60,37620414026042
61,37887714300053
62,38241385782213
63,38663760426677
64,39114840641393
65,39567201290823
66,39993358279444
67,41331167332496
68,42439193806474
69,42908395636230
70,44040576268861
71,44900508416236
72,45912590849040
73,47039604700464
74,47916439041702
75,48236143382040
76,48487492057531
77,48672199320493
78,48868931160622
79,49024083103154
80,49221854040205
81,49464504872101
82,49752009470862
83,50068512261367
84,50297056492386
85,50507146097473
86,50832421948239
87,51183063877251
88,51608179843424
89,52150355668145
90,52824299071095
91,53336058093893
92,53720877510528
93,54185715151996
94,54673222870398
95,55140679707495
96,55573138665498
97,55816987279819
98,56110793580796
99,56338340699130
100,56522271531774
101,56656296996407
102,56825549283567
103,56946899092191
104,57079709261159
105,57288058867950
106,57557916586141
107,57892087963020
108,58171555595145
109,58368500221669
110,58535525688877
111,58767178107348
112,59035143491431
113,59354182580786
114,59624188529042
115,59919252631547
116,60121387357219
117,60354843686124
118,60580396119085
119,60842123068743
120,61135510866413
121,61344528425777
122,61541458879746
123,61738566622557
124,61979897289777
125,62250515513146
126,62475288467045
127,62701188255902
128,62709322780992
129,62734958297203
130,62816227339464
131,62837526412838
132,62837836958749
133,62922704471038
134,62994241661338
135,63027226402208
136,63060600220655
137,63074566904942
138,63084245538535
139,63114574114936
140,63099489354795
141,63192667496561
142,63261294953479
143,63319122474312
144,63346536904032
145,63353938348750
146,63390554516939
147,63426438206685
148,63624904958042
149,63976153328184
150,64493167754466
151,64913022786545
152,65267171649984
153,65554136878986
154,65932286199654
155,66361731914911
156,66708198901321
157,66836502017899
158,67000620811478
159,67174882296690
160,67493063268841
161,67936976189630
162,68205477128782
163,68344984222284
164,68514240082444
165,68726671321103
166,69079470579211
167,69414093036984
168,69779162084466
169,69864578581079
