HR,PutCount,GetCount,DeleteCount,PutBytes,GetBytes
1,35099,239787,6,91709507096,1000786677510
2,79333,480713,12,197929636129,2009816571927
3,95199,470815,54,275050526202,1966515014066
4,69445,475602,24,165769434632,1985574933519
5,86070,446487,4,192133775215,1863136750482
6,97859,417894,9,200824445249,1725408110648
7,71399,380523,69,120492260527,1546261736454
8,199429,365162,37,273496818893,1479220402841
9,237825,368279,33,204644281344,1495329160015
10,244682,347807,82,228198155142,1417314709216
11,256561,322834,152,316609734250,1300581812838
12,258043,326307,203,299128420181,1317559443706
13,126106,75002,163,258682094921,303861003040
14,146503,107752,257,277113680242,445568278686
15,124550,76832,388,274568010566,315431335598
16,134214,63177,419,321862674244,258048714810
17,141595,52937,469,368350352605,212417678101
18,129579,40320,642,345296046968,163040142809
19,91134,105436,1440,242119157250,414204980507
20,90935,56831,1586,243360510758,211260362269
21,77537,57070,814,191990309020,231847989351
22,84949,97726,3826,211190489071,386982731228
23,111128,81387,1119,301173611140,322030852865
24,136267,54458,580,405510927914,217216274215
25,70503,42415,1175,169854801391,174092299314
26,87920,45343,3291,204979006000,186728182317
27,84699,59770,2301,216774339717,242993800844
28,84686,38388,413,200115690413,158621475298
29,81588,26322,229,199728170196,106719722066
30,94968,39510,271,213244953403,159186984888
31,70391,19897,293,148547389459,81354550490
32,108208,22015,376,263241703631,89142194493
33,122102,13381,526,295312526483,52067001262
34,149994,13454,414,405673699142,53330123070
35,141167,19651,276,349865101814,79408545712
36,145835,6962,83,404503121806,28152327055
37,106993,3873,6,286443478759,15640951397
38,88837,164180,856,250540394740,677352089368
39,122195,197810,1845,341114201779,810827318276
40,166404,318330,2530,466953694621,1322214863189
41,168113,14167,92,481637666766,57823194797
42,143184,151489,2283,334687222549,629951737273
43,125424,106584,5966,322004806741,441747255083
44,128294,393437,330,347299924423,1634738034191
45,123409,415883,2022,334645280199,1731846435961
46,131803,448488,1605,354408396531,1853303537924
47,124768,398077,837,311476589489,1633970462021
48,137801,413967,1438,325383504300,1706973951922
49,113378,174072,1981,260240505298,723448132962
50,105287,180442,1314,232184201347,729057920334
51,105484,41955,326,272995582563,174434490914
52,69569,112239,1330,172742476971,467335377003
53,89464,82448,1279,228716392317,343378521650
54,107473,166635,2409,283126506498,694655082865
55,66760,195399,163,161181804066,814774368548
56,83028,82136,9218,192681080761,342191485379
57,118958,46720,9500,295299368397,194228947709
58,149457,37598,14900,402757101403,156232577626
59,137879,11614,697,379418026456,47526367426
60,118588,3719,0,334747287319,15229704403
61,96640,5576,0,262716798874,22632111613
62,121439,12654,0,346126617520,51894535460
63,145041,15832,0,416081171953,65222902693
64,152856,20349,0,442711492066,84331470405
65,153238,8479,0,448442048380,34604000109
66,150291,5442,0,422645089455,22215447101
67,113994,265516,768,322344910117,1101693229085
68,120245,468253,2565,325430355486,1936662171689
69,121090,499999,2092,336015478084,2061117549197
70,126654,482300,525,341238439922,1993544377646
71,140071,498863,1462,362276271553,2069794916197
72,179130,275552,4505,379129347091,1138152098787
73,160792,348899,572,273199826427,1439503637424
74,103257,435721,2064,218591869905,1804092915047
75,81195,468632,307,206646363592,1950090708122
76,82803,482692,2087,221628816962,2013151788632
77,70678,481921,2199,178934450124,2013470718155
78,75974,207477,2819,200528029255,866543510515
79,59370,413643,4,155978889918,1724021448515
80,72107,486573,451,196774605358,2028048248106
81,96878,496155,39,248182538759,2067317822376
82,107109,495778,247,287210947278,2065154668446
83,121520,491043,725,301524234509,2036828750623
84,101629,451180,1707,228115515991,1866686268456
85,90727,424278,3405,186002551899,1759618908381
86,108993,189146,880,276291980880,788065304023
87,131735,375073,635,337876790134,1560770615211
88,154389,444093,595,395419066443,1846450758532
89,175418,465450,1642,451607506652,1930959719375
90,205841,317303,9799,522068180844,1317281950666
91,131751,211155,5662,373867919556,869042903084
92,132480,186411,19003,320358284436,768567135575
93,156309,235830,37947,383302630267,965994619032
94,144093,134078,11646,318178917902,550712162990
95,143573,69280,7971,382411924298,283245099236
96,142789,64113,13840,387201115061,262371108378
97,91670,20093,9258,234710108128,82010216057
98,106705,24793,8616,270943470622,100732796462
99,89569,19558,11005,219479098642,79992518632
100,84054,14505,29160,216647743922,59674147392
101,64612,17090,24222,156904618459,69990578347
102,77112,17527,24685,194233662707,72476312769
103,55232,9737,18609,147304030426,40092682314
104,61248,10748,18766,159244043106,44412329546
105,84457,14343,13257,216730208311,57330129669
106,94851,24506,9540,263430695131,101170675836
107,104752,28457,5782,301618641368,115830846946
108,90383,37289,4542,246736942828,148071690493
109,62384,46079,2910,163348078475,181648489436
110,55292,28974,1119,151012941689,112944141293
111,71552,41311,1075,205374903954,170549813814
112,84490,32915,1665,246753038660,135270115125
113,103807,38586,1937,283621059815,157076407275
114,95140,38351,5845,258101729023,157650701473
115,105436,90567,9448,269052444749,348544535554
116,88424,48148,24763,231253338991,188911220294
117,87499,41097,12046,229233210203,161672067463
118,79263,33040,2954,211779112517,133819538642
119,89712,19759,1025,233962824272,81298607156
120,103622,19049,2593,276639041167,78973677343
121,77341,24110,5690,192268879322,100124840292
122,79036,20282,9651,199577999779,83823886372
123,78662,18911,8214,196232961002,78441347753
124,84083,14531,6037,230863661203,59373109171
125,83194,24032,4237,244668497074,96069637929
126,71056,22361,2941,202814213350,88244134311
127,50705,71571,2862,144410013177,288968800174
128,3090,0,6,8136623778,0
129,8611,2842,5,25494807525,11598868530
130,21797,1785,21,81276405717,7275959718
131,6971,970,14,21109439825,3975461374
132,518,0,0,310546167,0
133,21687,609,0,84441245007,2502856600
134,18534,196,26,71625396316,806951164
135,8550,0,0,32984748934,0
136,8912,0,0,33373830607,0
137,3853,0,0,13966691071,0
138,3204,0,5,9693127097,0
139,7798,0,0,30328583441,0
140,7609,0,20121,27105601566,0
141,26205,0,9108,105860814673,0
142,17423,0,0,68627470166,0
143,14488,0,0,57827529665,0
144,7632,0,0,27414442392,0
145,2737,0,0,7401451950,0
146,15031,6037,0,34079240926,24174795522
147,55344,59464,25884,74906867122,238271880123
148,101862,53568,11564,216913794655,213924352422
149,147824,27791,6715,362741898840,113928497803
150,167487,7415,1435,519711677966,29662884731
151,131706,4588,0,419855047567,18563357625
152,111755,48065,0,331548250325,197521581600
153,85794,118202,0,223469077220,486387833242
154,103410,222789,0,275972617819,919820227258
155,117781,240844,0,330064396294,995819055084
156,90685,204466,0,255114510245,845513044216
157,35350,63689,0,99538181650,262918746480
158,48365,53223,0,142796774619,219150618191
159,51897,66761,3,150555330495,275656183335
160,92113,142528,0,263454260314,587594311036
161,121254,233374,0,325717265951,961761862820
162,70954,149076,0,184712493535,614069299095
163,85553,203613,41998,171229078739,827822218575
164,104697,218309,30314,176879201190,889185729626
165,128186,316589,21424,192385163364,1290940890099
166,112947,234992,4031,265546855535,969548728095
167,98957,192176,262,248691411204,790174725161
168,99371,229329,0,261995057384,944642858712
169,24821,43857,0,62299503354,180369843651
