key,latency(us)
key0,299497
key1,291556
key2,288911
key3,277910
key4,287199
key5,286812
key6,313501
key7,290822
key8,279033
key9,301722
key10,306318
key11,280915
key12,301600
key13,292630
key14,296211
key15,303025
key16,299011
key17,284259
key18,289542
key19,308672
key20,313134
key21,442133
key22,279128
key23,297627
key24,296621
key25,291764
key26,286306
key27,310614
key28,360602
key29,293043
key30,91785
key31,274285
key32,86746
key33,88015
key34,92203
key35,86318
key36,90299
key37,93347
key38,83939
key39,90507
key40,95379
key41,100747
key42,107094
key43,312409
key44,280689
key45,296519
key46,275980
key47,294732
key48,332406
key49,287448
key50,281979
key51,297928
key52,308038
key53,275587
key54,277028
key55,285217
key56,292220
key57,281544
key58,283378
key59,281158
key60,288659
key61,273528
key62,281583
key63,300716
key64,281730
key65,296521
key66,299177
key67,284583
key68,298723
key69,389016
key70,276633
key71,300295
key72,280732
key73,278720
key74,291588
key75,351755
key76,335452
key77,291497
key78,363191
key79,297046
key80,96088
key81,93639
key82,94329
key83,99243
key84,99619
key85,92829
key86,101027
key87,93269
key88,90931
key89,94407
key90,88772
key91,89399
key92,83261
key93,287508
key94,299461
key95,294935
key96,294370
key97,304182
key98,293779
key99,298240
key100,292667
key101,283721
key102,291325
key103,288025
key104,279547
key105,292567
key106,282212
key107,286309
key108,293999
key109,351422
key110,282752
key111,284435
key112,275545
key113,299882
key114,279583
key115,280304
key116,294766
key117,293836
key118,341332
key119,287951
key120,306548
key121,301818
key122,300444
key123,283137
key124,293887
key125,321240
key126,301921
key127,305966
key128,391004
key129,277753
key130,281368
key131,100238
key132,90406
key133,89490
key134,96657
key135,87882
key136,102030
key137,99830
key138,95242
key139,90287
key140,87345
key141,312734
key142,277084
key143,286539
key144,274806
key145,297518
key146,286210
key147,283329
key148,294740
key149,282428
key150,288668
key151,301709
key152,294599
key153,283978
key154,288017
key155,282904
key156,292445
key157,295984
key158,284093
key159,291898
key160,300738
key161,276074
key162,292487
key163,332861
key164,373743
key165,296407
key166,286625
key167,290127
key168,285610
key169,283527
key170,310248
key171,294676
key172,273970
key173,297261
key174,273840
key175,286882
key176,282534
key177,326873
key178,283567
key179,89536
key180,87330
key181,85172
key182,85527
key183,86608
key184,145097
key185,82713
key186,88950
key187,94100
key188,90598
key189,83803
key190,156364
key191,86686
key192,99960
key193,87364
key194,89330
key195,286708
key196,315287
key197,281595
key198,300110
key199,292152
key200,298614
key201,298295
key202,280389
key203,347588
key204,287886
key205,276440
key206,285459
key207,304354
key208,300669
key209,277834
key210,281349
key211,288437
key212,278238
key213,277124
key214,326833
key215,319164
key216,280203
key217,293929
key218,271289
key219,282144
key220,293619
key221,295462
key222,287287
key223,287979
key224,272884
key225,307903
key226,286738
key227,289135
key228,346691
key229,301800
key230,392930
key231,270065
key232,100511
key233,102696
key234,96094
key235,92313
key236,91044
key237,87771
key238,96741
key239,94954
key240,97427
key241,99391
key242,82567
key243,96218
key244,89942
key245,85578
key246,84239
key247,91021
key248,93925
key249,90603
key250,279916
key251,288365
key252,314035
key253,295642
key254,306502
key255,286032
key256,286761
key257,277338
key258,310118
key259,292113
key260,287739
key261,276807
key262,280869
key263,285755
key264,286477
key265,299844
key266,284062
key267,375852
key268,290436
key269,279416
key270,277981
key271,289216
key272,285317
key273,289507
key274,279498
key275,275373
key276,282773
key277,284956
key278,282274
key279,276334
key280,282180
key281,285483
key282,284405
key283,349962
key284,285137
key285,281495
key286,321938
key287,282758
key288,96269
key289,283728
key290,81729
key291,99999
key292,91749
key293,105484
key294,91574
key295,87722
key296,97234
key297,90953
key298,88696
key299,281220
key300,290387
key301,285487
key302,295578
key303,298522
key304,282324
key305,305212
key306,287383
key307,283611
key308,276166
key309,273430
key310,314460
key311,335033
key312,283495
key313,304431
key314,322005
key315,281420
key316,279266
key317,286982
key318,284870
key319,281153
key320,282609
key321,287033
key322,292556
key323,286747
key324,281531
key325,287745
key326,292237
key327,278562
key328,312197
key329,277559
key330,277622
key331,329391
key332,280819
key333,277394
key334,288422
key335,320825
key336,286657
key337,99841
key338,93862
key339,78313
key340,78998
key341,93983
key342,102025
key343,98368
key344,94411
key345,98848
key346,88708
key347,91277
key348,83355
key349,285296
key350,278253
key351,276578
key352,280318
key353,269325
key354,295220
key355,291657
key356,299703
key357,295284
key358,283998
key359,291702
key360,279783
key361,280291
key362,299078
key363,410048
key364,299157
key365,288681
key366,292964
key367,287301
key368,303220
key369,301638
key370,288027
key371,289866
key372,332484
key373,283323
key374,285353
key375,296659
key376,291199
key377,291547
key378,278755
key379,289320
key380,279257
key381,277628
key382,287402
key383,290522
key384,276343
key385,328002
key386,287463
key387,90105
key388,84863
key389,103468
key390,105073
key391,114148
key392,111104
key393,98724
key394,91637
key395,101692
key396,102289
key397,90430
key398,90994
key399,289282
key400,294849
key401,287130
key402,283524
key403,289841
key404,301494
key405,285614
key406,309775
key407,302390
key408,296377
key409,285816
