HR,PutCount,GetCount,DeleteCount,PutBytes,GetBytes
1,18449,47312,34535,12486929093,161561676356
2,23797,62012,77139,15308836075,212147527969
3,22891,52432,78829,15100809710,174712020515
4,22260,58140,74000,14657692355,198989348437
5,23050,58181,79684,14411825335,197254271257
6,24782,60685,78282,18659942727,205802030660
7,22536,50193,73604,17379124709,166417211622
8,19745,55863,61574,15883296832,195956381768
9,19611,47043,66626,15854285476,159176453726
10,18161,46645,59872,13487459796,159729240026
11,16907,44753,60220,12318768463,154174909274
12,14542,43110,55341,8455037866,150787972207
13,14916,44698,58024,8505306742,156474819089
14,15772,65448,61582,9016248988,240389981659
15,16903,92642,62178,10379521947,348468893839
16,17851,147516,55009,12665637373,572031635717
17,17580,94814,56608,9837986461,356352738016
18,18865,147092,56480,12813953812,567434340623
19,14816,50551,54218,7840818307,179017692977
20,10701,26626,43526,5505705761,89344533340
21,8242,16228,31252,4538586160,52382005357
22,6508,14352,24175,3257589195,46520921964
23,7044,16513,29998,3783052131,54668110885
24,6325,13581,24514,3275840297,42870578231
25,5222,96354,20300,2781760424,388617291225
26,5100,221131,19996,2727909902,916678526986
27,4704,154632,17165,2667620571,638737976131
28,4230,51357,17929,1785973860,206389265955
29,4027,10196,15291,2507558833,34625876966
30,3684,10819,13854,1973690701,37726586555
31,3514,9719,13105,1846428486,33435626178
32,3414,6245,12197,1999157779,19202367916
33,3252,3995,11901,1639874113,9979110358
34,3292,4801,11950,1920732088,13382094956
35,3074,7223,10960,1578407116,23881160452
36,2999,5578,10429,1760996235,17212425355
37,2804,3764,10213,1569387082,10010662541
38,2395,2816,7829,1215921340,6803951317
39,5525,77032,10303,6154234189,310869287843
40,13803,45715,23106,9993587576,157884837173
41,13633,45788,43274,7061195354,162597464016
42,13785,39684,44684,6457977090,136745961267
43,13816,51922,41749,8805539670,188867489984
44,8779,21333,29400,4492408682,70811765400
45,6730,7384,25402,3276811598,16819676463
46,4491,3286,17349,2215581172,4460782647
47,3107,31115,11550,1872204470,124214213872
48,7860,62720,13228,7896167140,246704576288
49,8801,24961,23050,3999568851,85579419458
50,9827,24984,32763,4643802681,83604430656
51,10159,33470,30103,6275429891,119000973973
52,8845,15362,29233,4238576426,45527193812
53,6150,3391,25832,2287894770,1061444589
54,4182,2733,16005,2499597719,3019819225
55,2441,1638,10018,1327210214,1818128232
56,1801,1176,6400,1161388097,1345477315
57,1242,884,3958,821974606,1240657938
58,971,765,3581,389191858,1134908833
59,1033,986,3191,595334407,2034613531
60,988,1101,3051,553664803,2591343994
61,948,1126,3493,491889407,2730765630
62,782,1673,2674,376932970,5347426428
63,798,942,2275,438009353,2276030533
64,671,716,2490,268975411,1574720297
65,606,491,2290,315164190,815373825
66,577,36594,1381,362820298,152284015375
67,10808,54475,12232,10337303837,205661856240
68,9560,29550,30980,4660939114,103050696623
69,9283,27138,30143,4630256006,93769439943
70,9617,39697,28880,6417323312,146280946216
71,10044,23597,29862,5416242982,77727960174
72,6953,3926,27971,2594714403,1605453809
73,3779,2643,15445,1536169518,3023176438
74,2570,3312,10859,1382939372,8364648562
75,1451,7409,6293,792891962,26929186396
76,962,9310,3553,745609780,35679446457
77,445,6613,1406,306243508,25758085572
78,313,6269,1149,118590919,24561419595
79,347,6181,1239,208007349,24178710691
80,157,6201,501,55130963,24620886438
81,78,6812,342,15106038,27187279735
82,129,6376,337,108079193,25337092363
83,78,5606,211,15105900,22371437895
84,78,6891,342,15106038,27489806814
85,76,3613,286,42266718,14374651461
86,0,7364,0,0,29547596671
87,0,2978,0,0,11937537707
88,0,3931,0,0,15758182093
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,5857,44760,5832,5453336211,175376238247
93,3357,1782,14441,883802864,144175688
94,2413,1271,10323,737511546,102379583
95,1487,774,6389,496545584,62206777
96,1115,570,5248,546868491,52437447
97,577,271,2378,502896352,25109956
98,57,16,155,124893707,1630401
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
