HR,WSS
1,84228084522
2,144675051765
3,197364918958
4,250123092658
5,308170979804
6,372324002473
7,414737516658
8,466001180241
9,512150601999
10,556670550039
11,600586505112
12,638898986514
13,679206056348
14,724709821819
15,761154183702
16,796889146237
17,827427490596
18,848744865617
19,870690885675
20,889760998097
21,899738281903
22,915774776454
23,924735098901
24,936077828908
25,944788194080
26,953260007095
27,961956231986
28,967294849272
29,976410698871
30,984689439108
31,987892077603
32,990419958992
33,992675850045
34,999372768233
35,1002761888371
36,1006686844096
37,1008211984760
38,1009109079306
39,1010100078040
40,1011485316831
41,1013385457497
42,1015837832637
43,1022178223990
44,1023475507363
45,1024813858470
46,1026863516602
47,1029527163339
48,1030619596556
49,1031920628749
50,1033191162605
51,1035575204808
52,1037448235066
53,1037974327654
54,1040661901518
55,1041362467876
56,1042317450768
57,1043389910502
58,1043646321324
59,1044371406102
60,1045291400436
61,1045635538397
62,1047829915026
63,1047313897469
64,1047825022423
65,1048195723821
66,1048418406937
67,1050146069232
68,1051584091675
69,1052469366159
70,1054257204383
71,1055536733342
72,1057321481633
73,1059454664866
74,1061322836993
75,1085605041159
76,1119116702846
77,1142341505350
78,1164833423170
79,1182669085060
80,1206018097500
81,1232087874657
82,1257202931496
83,1273660237386
84,1299417950690
85,1312935035669
86,1342280461469
87,1354142432023
88,1369551319843
89,1369551319843
90,1369551319843
91,1369551319843
92,1369857742458
93,1370118886135
94,1370416404667
95,1370640480939
96,1370958721014
97,1371365564869
98,1371486749170
99,1371486749170
100,1371486749170
101,1371486749170
102,1371486749170
103,1371486749170
104,1371486749170
105,1371486749170
106,1371486749170
107,1371486749170
108,1371486749170
109,1371486749170
110,1371486749170
111,1371486749170
112,1371486749170
113,1371486749170
114,1371486749170
115,1371486749170
116,1371486749170
117,1371486749170
118,1371486749170
119,1371486749170
120,1371486749170
121,1371486749170
122,1371486749170
123,1371486749170
124,1371486749170
125,1371486749170
126,1371486749170
127,1371486749170
128,1371486749170
129,1371486749170
130,1371486749170
131,1371486749170
132,1371486749170
133,1371486749170
134,1371486749170
135,1371486749170
136,1371486749170
137,1371486749170
138,1371486749170
139,1371486749170
140,1371486749170
141,1373625439543
142,1401874604591
143,1402178682927
144,1402526286863
145,1402883556348
146,1403326923954
147,1403446385315
148,1403446394603
149,1403446399247
150,1403446403891
151,1403446408535
152,1403446413179
153,1403446422467
154,1403446427111
155,1403446436399
156,1403477961567
157,1403477961567
158,1403477961567
159,1405321025494
160,1405321025494
161,1407098135447
162,1407292030746
163,1407869520544
164,1408725037259
165,1409335883739
166,1410912381918
167,1410530193877
168,1410813726116
169,1410867615441
