HR,WSS
1,169785753256
2,335497491596
3,514128272791
4,607518459962
5,677345868986
6,932887440354
7,1221477287586
8,1374178346446
9,1652404638650
10,1753088542330
11,1961843102246
12,2143599117766
13,2273013834164
14,2410800755397
15,2567273159938
16,2794882765514
17,2960973305030
18,3153281360850
19,3460357816978
20,3784896508206
21,3946151944782
22,4130006512814
23,4311410854565
24,4325656461458
25,4472857243870
26,4808021205595
27,5069741532451
28,5298948708163
29,5501963316731
30,5854072832048
31,6066471183508
32,6378106686968
33,6547964071872
34,6874221389644
35,7111827406716
36,7277981189536
37,7499652697824
38,7700709422372
39,7877026509270
40,8106127580887
41,8342984932855
42,8501963338820
43,8782417088672
44,8929703696372
45,9083882621828
46,9298241417135
47,9464044970755
48,9631584456515
49,9685271684527
50,9715481822498
51,9865013875072
52,9963281156708
53,10042487498104
54,10197536898348
55,10350229021860
56,10523072761369
57,10683141419569
58,10774408673405
59,10941775234697
60,11115302742009
61,11310894400469
62,11509821818613
63,11698330915773
64,11892310691009
65,12065290322437
66,12232263991993
67,12399404866249
68,12573559813297
69,12738950409513
70,12910745019053
71,13080786278437
72,13177034626013
73,13357650194845
74,13534484662001
75,13642614221713
76,13797915989204
77,13956684422868
78,13994832094900
79,14095955790283
80,14161969433939
81,14437722598691
82,14710360405427
83,14973520919647
84,14979422016198
85,15107581229943
86,15375482793620
87,15661448069680
88,15753885628705
89,15972711824874
90,16257573284706
91,16513165937730
92,16664780039462
93,16817453349018
94,16846545311194
95,16971370151082
96,17172811665562
97,17334906611530
98,17334906611530
99,17379324392378
100,17540921435418
101,17692896365888
102,17692896365888
103,17692896365888
104,17692896365888
105,17692896365888
106,17692896365888
107,17692896365888
108,17692896365888
109,17692896365888
110,17692896365888
111,17692896365888
112,17692896365888
113,17722049102656
114,17722570405140
115,17722570405140
116,17722570405140
117,17722570405140
118,17722570405140
119,17722570405140
120,17722570405140
121,17722570405140
122,17722570405140
123,17722570405140
124,17722570405140
125,17722570405140
126,17722570405140
127,17722570405140
128,17722570405140
129,17722570405140
130,17722570405140
131,17722570405140
132,17769589259407
133,17916261709259
134,18062379341351
135,18222894396578
136,18340432337504
137,18501773663488
138,18542324239040
139,18582205133520
140,18650380463480
141,18658696761104
142,18787178683844
143,18821074033384
144,18821074033384
145,18821074033384
146,18821074033384
147,18821074033384
148,18821074033384
149,18821074033384
150,18821074033384
151,18821074033384
152,18831441634040
153,18831441634040
154,18831441634040
155,18831441634040
156,18831441634040
157,18831441634040
158,18831441634040
159,18850122683152
160,18852883398301
161,18852883398301
162,18852883398301
163,18852883398301
164,18853801669709
165,18939525969681
166,18988849467613
167,18988849467613
