HR,WSS
1,45828788204
2,120611495119
3,198643946341
4,279843863614
5,359194512839
6,437835214105
7,522841465122
8,592152159253
9,658916434335
10,724590738513
11,797815201641
12,857956609957
13,919385550409
14,982846388705
15,1042093798953
16,1099677161515
17,1155943977184
18,1222086279784
19,1275500610630
20,1327903023104
21,1382382996862
22,1436668774130
23,1485689111122
24,1530655169719
25,1578617734669
26,1630408001153
27,1685734392778
28,1738751721457
29,1786842643518
30,1827430407508
31,1873786568043
32,1918117453685
33,1962625151636
34,2011322212617
35,2061518684555
36,2108954564738
37,2154426653576
38,2200380451427
39,2245693183973
40,2286616686450
41,2326594710972
42,2364175356670
43,2404328977999
44,2437659517979
45,2471501288005
46,2505353797830
47,2535081381150
48,2567531596889
49,2602975541180
50,2638223228556
51,2672879073791
52,2711846649368
53,2747888750605
54,2783556893755
55,2814308000805
56,2838858236003
57,2861596068614
58,2886593241704
59,2910056490417
60,2932350550682
61,2953706149082
62,2977157704291
63,2999002594441
64,3020783577439
65,3044644911603
66,3064155944361
67,3084878662639
68,3105265754925
69,3127156143316
70,3148367108404
71,3168804118606
72,3185706361846
73,3201085104537
74,3221297514405
75,3241914054052
76,3264383234910
77,3285900209908
78,3305287537475
79,3324244895145
80,3345493933549
81,3364123026652
82,3386513864881
83,3403964805792
84,3422304231057
85,3441524300778
86,3461594367454
87,3481549094328
88,3499496398335
89,3518433470428
90,3536684882352
91,3554723366271
92,3573884835377
93,3592079395238
94,3610306549084
95,3626057570749
96,3642051746988
97,3657156321843
98,3673175081044
99,3689850768735
100,3705654943845
101,3722322037795
102,3736840655349
103,3752387949750
104,3768090386300
105,3782064537999
106,3796621777655
107,3810725040497
108,3823841238684
109,3836825005313
110,3851091569682
111,3865091666449
112,3877431779030
113,3889970665290
114,3902574487190
115,3925286462159
116,3945389445475
117,3966097325562
118,3979012982017
119,3993096094928
120,4005307204728
121,4018058976216
122,4031469530059
123,4045016760827
124,4058600873516
125,4071532164120
126,4085603817669
127,4098453070789
128,4112419584919
129,4124810450056
130,4137905260741
131,4149117209336
132,4160514819205
133,4172158913914
134,4185660527613
135,4199464438095
136,4211711647811
137,4223177795721
138,4235000656016
139,4246923872571
140,4260248070544
141,4270786634720
142,4282033526656
143,4292619698686
144,4305594263686
145,4318591615904
146,4330105723509
147,4341477783564
148,4354150441102
149,4364763100546
150,4374714785998
151,4384973404722
152,4394779901952
153,4404513346843
154,4414081271941
155,4422459097823
156,4431010806609
157,4440771140372
158,4451073702482
159,4461728104027
160,4471472936801
161,4480325319148
162,4489202250515
163,4497630710250
164,4507086839879
165,4515836957841
166,4524265017679
167,4532820473574
168,4541282823406
169,4543902002576
