HR,WSS
1,46056416546
2,120986001441
3,199183756752
4,281132021718
5,360628711798
6,439404895618
7,524589964344
8,595118864597
9,661987009231
10,727764186502
11,801752392479
12,862023755801
13,923572854434
14,987182553640
15,1046588077936
16,1104399863262
17,1160867515383
18,1227210139758
19,1280790139098
20,1333417032426
21,1388123049739
22,1442615894284
23,1492019698926
24,1537124641208
25,1585312174860
26,1637255477801
27,1692741750789
28,1745945605685
29,1794174250217
30,1834917528525
31,1881408442314
32,1926011984458
33,1970609475163
34,2019354406192
35,2069655396538
36,2117173785645
37,2162755585583
38,2208838404503
39,2254255882980
40,2295507538854
41,2335756885648
42,2373585947338
43,2414053547156
44,2447588473773
45,2481642220326
46,2515638970374
47,2545539604033
48,2578152688087
49,2613704754482
50,2648969928692
51,2683657831399
52,2722670638125
53,2758740341770
54,2794426260670
55,2825202573173
56,2849778843256
57,2872526478554
58,2897609358357
59,2921113361245
60,2943464606227
61,2964860741154
62,2988388771284
63,3010368414780
64,3032390270958
65,3056770925188
66,3076779324391
67,3097544597007
68,3118096293906
69,3140099105362
70,3161438429366
71,3182005330427
72,3199057930119
73,3214828906416
74,3235154703475
75,3255903576343
76,3278596917063
77,3300390930106
78,3320132421765
79,3339301802034
80,3360826853939
81,3379537759265
82,3402121984627
83,3419630584721
84,3438062906545
85,3457376999289
86,3477642058026
87,3497722571381
88,3515798289671
89,3534879620789
90,3553284411094
91,3571485381799
92,3590751181634
93,3609089771712
94,3627436122126
95,3643285830663
96,3659359133096
97,3674552083157
98,3690648246303
99,3707433849706
100,3723330167587
101,3740104050740
102,3754710649694
103,3770332053605
104,3786079867587
105,3800144456953
106,3814732966737
107,3828890419815
108,3842067118815
109,3855127112194
110,3869634146135
111,3883803297720
112,3896280141899
113,3908956274308
114,3921733947767
115,3944555471703
116,3964794200745
117,3985685047297
118,3998707870289
119,4012921470761
120,4025262605540
121,4038214850293
122,4051740422445
123,4065452095340
124,4079175289788
125,4092226009496
126,4106443607212
127,4119407273754
128,4133448765271
129,4145935166283
130,4159102645182
131,4170893759004
132,4182306744178
133,4193988254395
134,4207582126392
135,4221749801493
136,4234214605228
137,4245882255375
138,4258101935915
139,4270466635355
140,4284174783365
141,4295012077230
142,4306411001796
143,4317142485802
144,4330272665178
145,4343641435973
146,4355384803311
147,4367264719552
148,4380176558396
149,4390959662673
150,4401027279645
151,4411551721666
152,4421503116287
153,4431362390889
154,4441043637423
155,4449470889895
156,4458067614394
157,4467970664859
158,4478399543799
159,4489420305016
160,4499392907096
161,4508486859691
162,4517623378144
163,4526284937330
164,4536136703841
165,4545096972611
166,4553765707605
167,4562474591921
168,4571170193059
169,4573818057673
