key,latency(us)
key0,17341
key1,13928
key2,13417
key3,14392
key4,14103
key5,14004
key6,13870
key7,13810
key8,13798
key9,13912
key10,14390
key11,14491
key12,14012
key13,14033
key14,13765
key15,14424
key16,14237
key17,14094
key18,13999
key19,13986
key20,14161
key21,14104
key22,14552
key23,13893
key24,13883
key25,13964
key26,13996
key27,13767
key28,13809
key29,13989
key30,13720
key31,13984
key32,13827
key33,13751
key34,13639
key35,13784
key36,13683
key37,13958
key38,14158
key39,13952
key40,13606
key41,13588
key42,13406
key43,13839
key44,13803
key45,13732
key46,14113
key47,13953
key48,13857
key49,13732
key50,13851
key51,14199
key52,14004
key53,14081
key54,13778
key55,14182
key56,14162
key57,13983
key58,14305
key59,14171
key60,13763
key61,13634
key62,14104
key63,13964
key64,13855
key65,13864
key66,13630
key67,13962
key68,13807
key69,14737
key70,14449
key71,13933
key72,13745
key73,14323
key74,14190
key75,14031
key76,13966
key77,14082
key78,14134
key79,14127
key80,14083
key81,14309
key82,13968
key83,14209
key84,14707
key85,15107
key86,14188
key87,14256
key88,13913
key89,13681
key90,13826
key91,13922
key92,14239
key93,14266
key94,14430
key95,14482
key96,13760
key97,13844
key98,13604
key99,13998
key100,13683
key101,13797
key102,14026
key103,13914
key104,14332
key105,14187
key106,14332
key107,14396
key108,14051
key109,14165
key110,14081
key111,14181
key112,13926
key113,13698
key114,13735
key115,13680
key116,13483
key117,13639
key118,13804
key119,13811
key120,13965
key121,13892
key122,13706
key123,14303
key124,13742
key125,14248
key126,13816
key127,13604
key128,13590
key129,13662
key130,13922
key131,14036
key132,14658
key133,14410
key134,13903
key135,13920
key136,14117
key137,14224
key138,14442
key139,14045
key140,14256
key141,14590
key142,14071
key143,14170
key144,13852
key145,13851
key146,13703
key147,14171
key148,14191
key149,14289
key150,14192
key151,14264
key152,14113
key153,14463
key154,14517
key155,14634
key156,14675
key157,14561
key158,13975
key159,13978
key160,13723
key161,13649
key162,13981
key163,14016
key164,13992
key165,14069
key166,13725
key167,14084
key168,14152
key169,14004
key170,13676
key171,14091
key172,14431
key173,14144
key174,13835
key175,13812
key176,13979
key177,13967
key178,13857
key179,14022
key180,14043
key181,14175
key182,13762
key183,13940
key184,13909
key185,13658
key186,13469
key187,13846
key188,13992
key189,13914
key190,13737
key191,13969
key192,13908
key193,13849
key194,13776
key195,13806
key196,13620
key197,13813
key198,13696
key199,13861
key200,14153
key201,13977
key202,13872
key203,14215
key204,13997
key205,13949
key206,13909
key207,14207
key208,13938
key209,14128
key210,13914
key211,13812
key212,13794
key213,14099
key214,13109
key215,12881
key216,12778
key217,12875
key218,13251
key219,13301
key220,13295
key221,13438
key222,13253
key223,13547
key224,13616
key225,13726
key226,13329
key227,13005
key228,13076
key229,13132
key230,12931
key231,13158
key232,13164
key233,13167
key234,13076
key235,12921
key236,12796
key237,13034
key238,13045
key239,12987
key240,13265
key241,12987
key242,13118
key243,13044
key244,13376
key245,13052
key246,13240
key247,13511
key248,13045
key249,13770
key250,14215
key251,13800
key252,13371
key253,13319
key254,12918
key255,12953
key256,12918
key257,13264
key258,13079
key259,13153
key260,13142
key261,13400
key262,13127
key263,12994
key264,13091
key265,13263
key266,13070
key267,13050
key268,13040
key269,13059
key270,12913
key271,13239
key272,13134
key273,13632
key274,13475
key275,13320
key276,13368
key277,13113
key278,12971
key279,13201
key280,13184
key281,13640
key282,13397
key283,13014
key284,13126
key285,13284
key286,13393
key287,13155
key288,12925
key289,13101
key290,13382
key291,13438
key292,12877
key293,13461
key294,13246
key295,13760
key296,14078
key297,13679
key298,13449
key299,13368
key300,13251
key301,13504
key302,12726
key303,12898
key304,13022
key305,12834
key306,13150
key307,13119
key308,13110
key309,13894
key310,13609
key311,13556
key312,13094
key313,13591
key314,13066
key315,13134
key316,12941
key317,13073
key318,12732
key319,13095
key320,13028
key321,13005
key322,13509
key323,13194
key324,12798
key325,13037
key326,12896
key327,12666
key328,12846
key329,13038
key330,13193
key331,13644
key332,13070
key333,13091
key334,12991
key335,13168
key336,12827
key337,12894
key338,12978
key339,13755
key340,13390
key341,13517
key342,13428
key343,13380
key344,13333
key345,13290
key346,13560
key347,13103
key348,12850
key349,12875
key350,12834
key351,13029
key352,13017
key353,13186
key354,14799
key355,13585
key356,13713
key357,14089
key358,13539
key359,14130
key360,14439
key361,14246
key362,14314
key363,14084
key364,13287
key365,13847
key366,13462
key367,13541
key368,13979
key369,14072
key370,13527
key371,14334
key372,13676
key373,13940
key374,13921
key375,13858
key376,13670
key377,14214
key378,14240
key379,13613
key380,13483
key381,13736
key382,12953
key383,13890
key384,13385
key385,13444
key386,14207
key387,13741
key388,12699
key389,13821
key390,13212
key391,13198
key392,13489
key393,13602
key394,13363
key395,13889
key396,13860
key397,13680
key398,13754
key399,13876
key400,13177
key401,14243
key402,14360
key403,13796
key404,13597
key405,13812
key406,13305
key407,13871
key408,13604
key409,13511
key410,13183
key411,13322
key412,13537
key413,13207
key414,13266
key415,14223
key416,13421
key417,13550
key418,13955
key419,13878
key420,13189
key421,13947
key422,13556
key423,13302
key424,13941
key425,13823
key426,13333
key427,13979
key428,13900
key429,14053
key430,14200
key431,13995
key432,13212
key433,13908
key434,13574
key435,13771
key436,13755
key437,14502
key438,14032
key439,14179
key440,13936
key441,14499
key442,13906
key443,13938
key444,14533
key445,13933
key446,14185
key447,13764
key448,13530
key449,13368
key450,13394
key451,13478
key452,13249
key453,14155
key454,13546
key455,13528
key456,13809
key457,13455
key458,13607
key459,13585
key460,14004
key461,14216
key462,15561
key463,19973
key464,41403
key465,33511
key466,119666
key467,34861
key468,34656
key469,20357
key470,14115
key471,13455
key472,13414
key473,13316
key474,13509
key475,13241
key476,13319
key477,13322
key478,13583
key479,13897
key480,14252
key481,13610
key482,13583
key483,12994
key484,13401
key485,13374
key486,13368
key487,13666
key488,13263
key489,14178
key490,15801
key491,14052
key492,14254
key493,13856
key494,13274
key495,13233
key496,13318
key497,13137
key498,13463
key499,13283
key500,13470
key501,13664
key502,13654
key503,13230
key504,13719
key505,14299
key506,14074
key507,18719
key508,17266
key509,14667
key510,14776
