key,latency(us)
key0,46524
key1,42844
key2,38759
key3,42530
key4,69525
key5,27812
key6,60811
key7,27500
key8,39330
key9,41335
key10,67505
key11,28459
key12,61047
key13,122246
key14,38526
key15,29107
key16,26965
key17,28644
key18,31733
key19,30573
key20,31886
key21,26832
key22,28550
key23,25690
key24,25310
key25,42233
key26,48498
key27,37526
key28,39473
key29,27234
key30,26937
key31,29775
key32,36898
key33,24554
key34,26874
key35,59377
key36,43591
key37,57420
key38,29062
key39,27025
key40,28057
key41,29030
key42,26536
key43,27923
key44,29300
key45,28191
key46,28363
key47,41204
key48,25583
key49,29866
key50,27972
key51,26777
key52,29746
key53,30009
key54,27283
key55,31245
key56,28560
key57,30450
key58,26367
key59,29304
key60,25837
key61,25588
key62,26766
key63,30320
key64,17415
key65,16203
key66,17051
key67,15284
key68,19958
key69,46365
key70,18273
key71,14628
key72,29499
key73,18837
key74,59362
key75,17228
key76,17963
key77,18685
key78,19197
key79,16221
key80,16837
key81,20259
key82,16458
key83,32975
key84,18630
key85,18703
key86,41517
key87,18894
key88,16772
key89,16056
key90,40289
key91,18807
key92,17847
key93,15589
key94,17972
key95,19490
key96,15150
key97,16169
key98,72705
key99,17905
key100,19370
key101,50200
key102,17539
key103,19024
key104,17254
key105,18177
key106,18177
key107,17942
key108,16697
key109,15533
key110,16549
key111,65912
key112,38982
key113,18158
key114,34762
key115,16229
key116,18402
key117,16930
key118,17325
key119,17469
key120,18090
key121,20238
key122,16632
key123,17643
key124,15421
key125,15643
key126,18725
key127,16268
key128,18538
key129,39437
key130,17129
key131,18868
key132,32789
key133,17400
key134,18153
key135,34690
key136,36359
key137,23238
key138,16369
key139,18507
key140,15696
key141,16223
key142,17943
key143,22277
key144,15722
key145,17485
key146,18370
key147,15840
key148,16786
key149,16472
key150,16590
key151,18787
key152,39084
key153,17809
key154,15942
key155,17430
key156,17439
key157,17676
key158,37991
key159,17042
key160,16998
key161,17027
key162,17755
key163,18716
key164,16854
key165,18270
key166,15664
key167,16152
key168,16078
key169,17065
key170,15568
key171,15943
key172,15631
key173,17011
key174,16662
key175,14258
key176,22101
key177,15280
key178,19227
key179,19342
key180,18464
key181,19393
key182,17280
key183,20609
key184,18149
key185,17657
key186,17175
key187,18575
key188,15436
key189,18383
key190,18229
key191,17888
key192,37789
key193,25905
key194,34322
key195,61818
key196,45085
key197,20023
key198,30038
key199,119124
key200,72841
key201,23015
key202,18109
key203,17341
key204,18139
key205,17596
key206,17117
key207,16972
key208,17346
key209,17864
key210,15415
key211,48529
key212,15701
key213,18031
key214,16937
key215,17629
key216,16813
key217,15406
key218,17266
key219,16705
key220,18275
key221,17763
key222,35599
key223,17756
key224,26896
key225,19216
key226,23372
key227,16820
key228,16589
key229,18541
key230,17571
key231,16513
key232,57429
key233,15620
key234,28826
key235,16822
key236,15066
key237,15966
key238,15418
key239,15158
key240,26187
key241,15533
key242,18277
key243,17444
key244,18089
key245,17965
key246,16222
key247,17751
key248,17607
key249,20316
key250,16477
key251,17775
key252,16209
key253,12451
key254,15045
key255,20634
key256,44284
key257,18252
key258,18902
key259,15052
key260,17586
key261,28859
key262,17029
key263,18418
key264,15670
