key,latency(us)
key0,101263
key1,69734
key2,102691
key3,44398
key4,41740
key5,41634
key6,37640
key7,46388
key8,48662
key9,30521
key10,32078
key11,28653
key12,30538
key13,40164
key14,28075
key15,39599
key16,39433
key17,34028
key18,38627
key19,29205
key20,26112
key21,29237
key22,36404
key23,30583
key24,28440
key25,28827
key26,39082
key27,48107
key28,45592
key29,28614
key30,39965
key31,40845
key32,98741
key33,123172
key34,107621
key35,52005
key36,45370
key37,28946
key38,30271
key39,26969
key40,40266
key41,28392
key42,39380
key43,30379
key44,29276
key45,28251
key46,27170
key47,29162
key48,28581
key49,26721
key50,41774
key51,29177
key52,29914
key53,108118
key54,27478
key55,32447
key56,43008
key57,41886
key58,27400
key59,29878
key60,28049
key61,47408
key62,51791
key63,30045
key64,36569
key65,17484
key66,16671
key67,19884
key68,21635
key69,18180
key70,16798
key71,20583
key72,127779
key73,158198
key74,18281
key75,18456
key76,19521
key77,64941
key78,17293
key79,17590
key80,16722
key81,17413
key82,30160
key83,17520
key84,16857
key85,17772
key86,57217
key87,47133
key88,54373
key89,17361
key90,17516
key91,18566
key92,121800
key93,31831
key94,19849
key95,21067
key96,15501
key97,18454
key98,16347
key99,18641
key100,19238
key101,16394
key102,16136
key103,19862
key104,20287
key105,16322
key106,16827
key107,18221
key108,45772
key109,19215
key110,16092
key111,22880
key112,97633
key113,57822
key114,20316
key115,35432
key116,18668
key117,18992
key118,20786
key119,75696
key120,32207
key121,17497
key122,74171
key123,19121
key124,19158
key125,18481
key126,25590
key127,19979
key128,19935
key129,22355
key130,37762
key131,18898
key132,21490
key133,119630
key134,17950
key135,30746
key136,41009
key137,17824
key138,20050
key139,18762
key140,17293
key141,19232
key142,19840
key143,17211
key144,19098
key145,19599
key146,22838
key147,21169
key148,21421
key149,18025
key150,21477
key151,18729
key152,101114
key153,34364
key154,16813
key155,18303
key156,24554
key157,17405
key158,17118
key159,16902
key160,20855
key161,17346
key162,41941
key163,18684
key164,103785
key165,19770
key166,16645
key167,15801
key168,22345
key169,46100
key170,43681
