key,latency(us)
key0,405282
key1,57532
key2,75196
key3,42002
key4,49361
key5,47645
key6,46881
key7,42333
key8,46435
key9,49045
key10,38571
key11,41143
key12,27754
key13,25202
key14,50177
key15,26636
key16,26107
key17,30661
key18,44653
key19,31291
key20,27719
key21,66531
key22,40279
key23,41969
key24,79210
key25,28541
key26,26168
key27,47351
key28,28428
key29,26419
key30,32811
key31,44595
key32,76594
key33,63277
key34,86706
key35,40757
key36,55377
key37,49129
key38,35210
key39,45214
key40,53855
key41,27499
key42,45740
key43,27067
key44,30495
key45,25112
key46,30426
key47,27073
key48,60779
key49,26480
key50,30075
key51,28698
key52,26611
key53,27926
key54,28364
key55,29122
key56,25876
key57,26976
key58,28204
key59,26708
key60,33203
key61,46145
key62,35813
key63,61452
key64,44987
key65,20891
key66,61875
key67,27974
key68,33496
key69,39687
key70,22370
key71,20406
key72,130452
key73,47525
key74,18816
key75,37413
key76,18627
key77,18680
key78,18606
key79,22282
key80,19085
key81,20358
key82,20645
key83,19599
key84,19542
key85,20503
key86,17620
key87,17838
key88,17443
key89,26062
key90,20536
key91,20964
key92,18215
key93,18094
key94,19694
key95,18522
key96,20147
key97,17595
key98,16931
key99,19208
key100,27038
key101,24154
key102,21755
key103,35528
key104,17976
key105,24251
key106,16865
key107,20417
key108,39395
key109,27220
key110,20119
key111,18438
key112,67157
key113,32219
key114,41413
key115,17692
key116,18607
key117,18046
key118,17906
key119,18715
key120,19479
key121,16662
key122,16798
key123,15781
key124,16518
key125,18672
key126,18596
key127,17791
key128,17207
key129,16786
key130,16057
key131,30366
key132,29134
key133,27149
key134,37822
key135,30549
key136,28137
key137,26784
key138,26985
key139,25573
key140,26055
key141,28220
key142,35274
key143,43291
key144,41163
key145,26402
key146,63232
key147,43664
key148,25924
key149,37439
key150,26755
key151,28498
key152,139453
key153,28124
key154,26438
key155,41937
key156,27805
key157,41473
key158,39085
key159,45251
key160,27916
key161,27603
key162,27067
key163,28067
key164,27002
key165,39852
key166,25633
key167,42218
key168,27130
key169,25879
key170,45757
key171,38319
key172,41629
key173,33667
key174,27137
key175,50068
key176,43209
key177,28650
key178,40982
key179,27323
key180,27299
key181,25858
key182,25858
key183,28421
key184,27497
key185,29098
key186,26478
key187,56257
key188,44484
key189,27089
key190,25398
key191,27458
key192,106318
key193,60065
key194,27137
key195,21218
key196,20606
key197,17685
key198,18157
key199,18389
key200,17985
key201,19924
key202,18494
key203,17051
key204,20791
key205,16142
key206,20139
key207,17179
key208,16351
key209,18646
key210,33944
key211,19572
key212,16040
key213,18129
key214,17491
key215,145704
key216,59837
key217,23714
key218,31788
key219,35819
key220,16063
key221,17672
key222,16911
key223,17719
key224,23040
key225,18331
key226,15860
key227,17553
key228,15699
key229,18082
key230,18669
key231,15659
key232,121771
key233,31002
key234,17680
key235,18604
key236,16346
key237,18139
key238,20731
key239,28990
key240,20849
key241,19290
key242,31625
key243,20800
key244,16896
key245,17186
key246,15128
key247,14047
key248,16933
key249,17712
key250,16915
key251,18545
key252,15129
key253,17087
key254,17136
key255,15922
key256,17609
key257,18544
key258,14832
key259,39967
key260,19215
key261,17406
key262,16269
key263,22530
key264,19133
key265,16532
key266,17200
key267,17139
key268,17901
key269,15850
key270,71167
key271,15936
key272,129930
key273,44451
key274,29629
key275,19210
key276,18866
key277,16639
key278,16736
key279,16961
key280,19091
key281,16091
key282,16446
key283,18693
key284,18162
key285,18562
key286,16647
key287,16855
key288,17038
key289,16893
key290,18235
key291,15641
key292,17685
key293,16114
key294,17136
key295,16432
key296,18524
key297,19772
key298,14550
key299,18241
key300,15946
key301,16188
key302,18922
key303,17270
key304,18395
key305,16772
key306,17273
key307,19929
key308,31249
key309,22341
key310,17772
key311,18644
key312,79672
key313,24092
key314,37712
key315,33956
key316,17573
key317,16448
key318,16823
key319,15194
key320,18005
key321,16028
key322,16979
key323,47365
key324,16711
key325,18589
key326,17441
key327,16430
key328,16462
key329,17581
key330,17482
key331,17669
key332,19271
key333,17152
key334,18535
key335,20478
key336,34059
key337,16395
key338,18314
key339,17873
key340,18450
key341,18134
key342,16323
key343,14849
key344,16285
key345,17407
key346,17265
key347,18509
key348,18060
key349,17463
key350,17445
key351,51972
key352,96094
key353,87908
key354,32165
key355,19070
key356,28536
key357,37588
key358,16964
key359,18286
key360,18533
key361,18539
key362,25477
key363,18006
key364,16743
key365,19652
key366,18597
key367,16207
key368,17389
key369,18254
key370,15925
key371,17878
key372,16220
key373,17175
key374,19716
key375,18370
key376,16744
key377,17846
key378,16660
key379,19184
key380,17143
key381,16602
key382,18025
key383,17419
key384,20283
key385,16474
key386,15750
key387,17301
key388,17286
key389,18832
key390,14987
key391,15980
key392,79056
key393,66110
key394,37185
key395,21537
key396,17904
key397,18503
key398,20422
key399,18017
key400,16503
key401,18479
key402,29020
key403,19376
key404,16353
key405,17243
key406,18470
key407,18745
key408,16124
key409,32192
key410,16964
key411,19387
key412,16299
key413,18101
key414,16884
key415,15712
key416,16411
key417,15889
key418,17173
key419,20267
key420,36094
key421,18907
key422,16291
key423,19467
key424,15421
key425,17628
key426,18651
key427,18498
key428,15915
key429,16526
key430,16291
key431,17536
key432,54778
key433,39195
key434,19812
key435,15976
key436,17735
key437,16996
key438,15708
key439,17676
key440,16051
key441,17686
key442,18516
key443,33327
key444,17699
key445,18531
key446,19217
key447,15982
key448,46153
key449,19679
key450,16984
key451,17105
key452,20938
key453,20206
key454,16563
key455,17044
key456,16777
key457,18469
key458,17180
key459,17696
key460,17953
key461,17789
key462,18285
key463,14620
key464,19102
key465,18179
key466,16095
key467,16673
key468,15866
key469,15344
key470,17056
key471,16971
key472,90319
key473,47433
key474,44819
key475,37449
key476,21120
key477,15122
key478,17143
key479,15802
key480,17767
key481,18347
key482,17551
key483,17694
key484,62967
key485,16019
key486,21298
key487,17183
key488,17424
key489,19133
key490,16890
key491,17814
key492,15694
key493,16603
key494,16967
key495,16705
key496,20108
key497,17183
key498,21663
key499,16189
key500,17520
key501,18767
key502,17321
key503,17537
key504,17126
key505,17444
key506,18345
key507,17915
key508,18378
key509,17926
key510,17191
key511,16903
key512,104901
key513,35115
key514,34905
key515,16818
key516,16043
key517,18740
key518,18790
key519,19111
key520,17288
key521,15512
key522,21868
key523,50456
key524,31716
key525,63159
key526,33110
key527,15753
key528,15544
key529,41369
key530,17214
key531,25876
key532,20665
key533,18170
key534,20011
key535,17894
key536,17634
key537,19778
key538,15630
key539,18413
key540,15558
key541,14699
key542,17731
key543,18428
key544,25918
key545,15821
key546,17338
key547,14188
key548,18558
key549,16212
key550,20793
key551,15612
key552,119808
key553,30294
key554,16146
key555,22787
key556,21931
key557,16084
key558,20049
key559,23284
key560,19394
key561,15857
key562,22941
key563,16501
key564,18769
key565,16371
key566,16194
key567,32120
key568,16819
key569,15492
key570,16037
key571,18573
key572,16148
key573,16944
key574,18333
key575,17661
key576,36113
key577,14863
key578,27069
key579,29727
key580,19445
key581,20506
key582,17617
key583,17490
key584,17865
key585,18931
key586,23788
key587,15554
key588,19264
key589,16507
key590,16720
key591,14808
key592,74405
key593,25356
key594,18944
key595,30341
key596,16469
key597,19314
key598,16530
key599,19428
key600,17423
key601,46808
key602,52592
key603,27755
key604,39388
key605,42573
key606,40710
key607,50901
key608,46112
key609,26211
key610,39025
key611,41582
key612,39832
key613,37097
key614,27402
key615,29574
key616,24770
key617,26710
key618,36752
key619,25540
key620,26775
key621,41519
key622,27073
key623,24198
key624,36602
key625,26338
key626,23564
key627,30248
key628,27520
key629,58985
key630,24729
key631,23932
key632,89897
key633,80777
key634,24228
key635,26510
key636,24062
key637,27184
key638,22876
key639,26376
key640,26885
key641,51019
key642,25566
key643,24754
key644,25803
key645,22646
key646,24800
key647,26945
key648,26281
key649,26386
key650,50580
key651,26616
key652,26401
key653,29226
key654,29490
key655,27778
key656,24467
key657,26028
key658,40892
key659,40900
key660,39722
key661,31932
key662,39287
key663,27787
key664,41497
key665,18686
key666,17187
key667,21560
key668,17586
key669,16847
key670,15621
key671,17577
key672,62745
key673,29943
key674,18965
key675,19446
key676,17038
key677,16307
key678,17011
key679,23752
key680,17101
key681,17410
key682,16571
key683,17043
key684,21997
key685,17007
key686,17172
key687,17713
key688,15236
key689,17800
key690,17082
key691,16258
key692,20074
key693,17289
key694,16717
key695,15492
key696,16765
key697,18295
key698,17799
key699,24763
key700,15714
key701,18715
key702,15979
key703,18999
key704,18593
key705,17928
key706,16745
key707,16620
key708,15234
key709,14625
key710,15246
key711,16960
key712,134330
key713,40715
key714,27060
key715,19008
key716,14712
key717,16293
key718,22460
key719,17452
key720,16547
key721,16546
key722,16098
key723,23257
key724,17877
key725,18631
key726,32698
key727,17561
key728,19420
key729,21159
key730,14367
key731,14737
key732,15252
key733,18580
key734,18322
key735,19694
key736,16047
key737,15584
key738,15800
key739,15888
key740,17930
key741,15837
key742,32509
key743,19516
key744,28745
key745,18150
key746,15767
key747,16549
key748,16612
key749,19018
key750,17783
key751,16357
key752,96523
key753,34420
key754,17119
key755,30555
key756,26514
key757,53328
key758,30375
key759,29657
key760,18490
key761,18482
key762,18156
key763,25396
key764,19148
key765,20377
key766,21690
key767,22453
key768,18491
key769,117134
key770,74383
key771,26814
key772,17098
key773,16590
key774,21058
key775,17233
key776,19316
key777,42063
key778,18014
key779,18550
key780,16735
key781,17796
key782,17942
key783,18116
key784,15345
key785,20074
key786,18212
key787,17730
key788,18157
key789,20985
key790,20281
key791,20143
key792,58908
key793,38567
key794,27193
key795,18349
key796,18048
key797,18013
key798,18213
key799,24323
key800,17486
key801,17166
key802,17662
key803,51454
key804,18124
key805,17343
key806,15712
key807,23069
key808,16939
key809,18914
key810,14603
key811,18191
key812,18314
key813,15985
key814,17670
key815,16914
key816,16895
key817,16146
key818,27843
key819,16836
key820,20947
key821,19480
key822,16053
key823,16730
key824,17646
key825,14859
key826,19898
key827,16318
key828,16593
key829,18945
key830,16638
key831,19346
key832,133729
key833,61606
key834,18351
key835,32626
key836,17728
key837,18452
key838,15418
key839,17219
key840,19103
key841,18401
key842,15133
key843,17576
key844,14877
key845,17924
key846,17743
key847,15524
key848,15768
key849,15583
key850,17180
key851,18453
key852,20155
key853,18796
key854,20244
key855,18131
key856,17964
key857,22012
key858,15925
key859,17072
key860,16353
key861,15738
key862,15718
key863,19989
key864,15698
key865,15859
key866,17311
key867,18610
key868,18371
key869,19868
key870,36923
key871,28606
key872,79139
key873,19135
key874,20484
key875,16466
key876,16993
key877,18310
key878,17517
key879,18946
key880,17996
key881,16977
key882,20089
key883,19931
key884,44866
key885,19951
key886,18215
key887,17122
key888,19750
key889,18867
key890,18157
key891,18204
key892,18607
key893,17893
key894,17867
key895,25038
key896,19250
key897,18298
key898,17605
key899,17282
key900,16882
key901,17641
key902,18149
key903,18461
key904,22285
key905,18172
key906,18791
key907,16075
key908,17231
key909,17289
key910,19916
key911,20342
key912,51398
key913,29759
key914,16553
key915,19303
key916,29945
key917,15895
key918,20810
key919,18546
key920,20614
key921,53541
key922,24667
key923,18882
key924,18603
key925,18085
key926,17480
key927,27531
key928,18036
key929,18876
key930,17057
key931,18443
key932,19567
key933,32527
key934,18396
key935,26848
key936,19314
key937,18003
key938,17751
key939,17167
key940,16592
key941,17640
key942,19253
key943,19282
key944,16911
key945,22003
key946,18300
key947,41066
key948,57180
key949,19096
key950,18778
key951,19367
key952,80808
key953,19621
key954,17870
key955,22377
key956,18888
key957,17241
key958,18622
key959,17794
key960,16245
key961,18940
key962,16462
key963,16164
key964,16532
key965,16314
key966,49933
key967,16316
key968,16505
key969,16551
key970,13920
key971,19378
key972,28175
key973,18698
key974,17790
key975,16731
key976,17087
key977,16367
key978,14645
key979,15986
key980,18194
key981,19531
key982,17603
key983,17306
key984,16937
key985,20549
key986,15900
key987,16467
key988,16451
key989,16247
key990,78855
key991,19835
key992,20430
key993,14173
key994,15560
key995,18349
key996,34525
key997,16770
key998,17834
key999,16785
