key,latency(us)
key0,117098
key1,37665
key2,40190
key3,37250
key4,22898
key5,41694
key6,42374
key7,38989
key8,40197
key9,39017
key10,30364
key11,41960
key12,52716
key13,41381
key14,74028
key15,41892
key16,66137
key17,47316
key18,40246
key19,37973
key20,156539
key21,28144
key22,41618
key23,25997
key24,42156
key25,25076
key26,26396
key27,28202
key28,25660
key29,40303
key30,28268
key31,39130
key32,102132
key33,65404
key34,46626
key35,28482
key36,42112
key37,25193
key38,27395
key39,30211
key40,28304
key41,38804
key42,26125
key43,27813
key44,24523
key45,22921
key46,27081
key47,27322
key48,29899
key49,23894
key50,40943
key51,28831
key52,27141
key53,26372
key54,23934
key55,23054
key56,29867
key57,46012
key58,25173
key59,29353
key60,26124
key61,25558
key62,23966
key63,33298
key64,68922
key65,17323
key66,17964
key67,17204
key68,30740
key69,15590
key70,15306
key71,16739
key72,53003
key73,16726
key74,21333
key75,16218
key76,24142
key77,35259
key78,18442
key79,16461
key80,19557
key81,17375
key82,17959
key83,17081
key84,34320
key85,19583
key86,18048
key87,17149
key88,18319
key89,62563
key90,27849
key91,18775
key92,22142
key93,17496
key94,18482
key95,17312
key96,17966
key97,17516
key98,17123
key99,37277
key100,17715
key101,22827
key102,17231
key103,17141
key104,21050
key105,20076
key106,17357
key107,17036
key108,17350
key109,17646
key110,15456
key111,17473
key112,109774
key113,57778
key114,16706
key115,14956
key116,19072
key117,58806
key118,14689
key119,19748
key120,15028
key121,64171
key122,33051
key123,21145
key124,15608
key125,17956
key126,26674
key127,18345
key128,16797
key129,14348
key130,16137
key131,31367
key132,15611
key133,17635
key134,33973
key135,16107
key136,44617
key137,41353
key138,33643
key139,119307
key140,33374
key141,14991
key142,15075
key143,18272
key144,19123
key145,44403
key146,18228
key147,17873
key148,17350
key149,15886
key150,18613
key151,16267
key152,79317
key153,34087
key154,18801
key155,20739
key156,16355
key157,17037
key158,88565
key159,18617
key160,26599
key161,22472
key162,18404
key163,31689
key164,15910
key165,16302
key166,17996
key167,28847
key168,14557
key169,16014
key170,20547
key171,16474
key172,16153
key173,14870
key174,17586
key175,18169
key176,17189
key177,52295
key178,26194
key179,26676
key180,16176
key181,39860
key182,26603
key183,18692
key184,17034
key185,16026
key186,15864
key187,19700
key188,17349
key189,16293
key190,15865
key191,16315
key192,63587
key193,15744
key194,22246
key195,14442
key196,21777
key197,14048
key198,28345
key199,14523
key200,17256
key201,15319
key202,19301
key203,16581
key204,15616
key205,28351
key206,17591
key207,25666
key208,19423
key209,14902
key210,15280
key211,15294
key212,52960
key213,23607
key214,24240
key215,15284
key216,15169
key217,23573
key218,15126
key219,17270
key220,15906
key221,16243
key222,15753
key223,18078
key224,16599
key225,18279
key226,18099
key227,15994
key228,18047
key229,15864
key230,15570
key231,21444
key232,73944
key233,32512
key234,17385
key235,16140
key236,19265
key237,16837
key238,16927
key239,15105
key240,17756
key241,16833
key242,18544
key243,16204
key244,17737
key245,16653
key246,16065
key247,16768
key248,18334
key249,17465
key250,70461
key251,18998
key252,16990
key253,30423
key254,17821
key255,18527
key256,17155
key257,15009
key258,17092
key259,14677
key260,17744
key261,16059
key262,16539
key263,15658
key264,25137
key265,16425
key266,31898
key267,18574
key268,17635
key269,27385
key270,15098
key271,15803
key272,63390
key273,42759
key274,16731
key275,49277
key276,17835
key277,15269
key278,48981
key279,24521
key280,21142
key281,37253
key282,18503
key283,19419
key284,17546
key285,18229
key286,16810
key287,52489
key288,17098
key289,17236
key290,17540
key291,17289
key292,28152
key293,49238
key294,50137
key295,17083
key296,17246
key297,27257
key298,101739
key299,16893
key300,16159
key301,17088
key302,21484
key303,17060
key304,43298
key305,16911
key306,18597
key307,17790
key308,16105
key309,15092
key310,34945
key311,18760
key312,83368
key313,15818
key314,17100
key315,18512
key316,18363
key317,19430
key318,16793
key319,17772
key320,18394
key321,16552
key322,16854
key323,46261
key324,17112
key325,17152
key326,15891
key327,17613
key328,22209
key329,20472
key330,18289
key331,22681
key332,18414
key333,17833
key334,24926
key335,15998
key336,20005
key337,20172
key338,18173
key339,16219
key340,17546
key341,16829
key342,17407
key343,17865
key344,16973
key345,18132
key346,46510
key347,17296
key348,17076
key349,18557
key350,43536
key351,58828
key352,93194
key353,53426
key354,69285
key355,41091
key356,43023
key357,29729
key358,47803
key359,32722
key360,43232
key361,87404
key362,72771
key363,40268
key364,32248
key365,29130
key366,51329
key367,48994
key368,97288
key369,83151
key370,63740
key371,63499
key372,42541
key373,35248
key374,41116
key375,103518
key376,34047
key377,50156
key378,51128
key379,63470
key380,111336
key381,48403
key382,49893
key383,48978
key384,58822
key385,87545
key386,48502
key387,45063
key388,35229
key389,69019
key390,41125
key391,35135
key392,154148
key393,89646
key394,29788
key395,34378
key396,39095
key397,36088
key398,34748
key399,31213
key400,33299
key401,38268
key402,57777
key403,33306
key404,41867
key405,46790
key406,35398
key407,46712
key408,52067
key409,40068
key410,38807
key411,30842
key412,34173
key413,46960
key414,17835
key415,18165
key416,17545
key417,20691
key418,21464
key419,18988
key420,39840
key421,65272
key422,57185
key423,19450
key424,18367
key425,18376
key426,18075
key427,18135
key428,18441
key429,18435
key430,17077
key431,18569
key432,77236
key433,39582
key434,28438
key435,27299
key436,18576
key437,48982
key438,22327
key439,21678
key440,19159
key441,56621
key442,21169
key443,19126
key444,21677
key445,21015
key446,20757
key447,30878
key448,23340
key449,24633
key450,21661
key451,33754
key452,20646
key453,31179
key454,49792
key455,22495
key456,20805
key457,31870
key458,55365
key459,19384
key460,19698
key461,24651
key462,52459
key463,36845
key464,20301
key465,22286
key466,138800
key467,31632
key468,27086
key469,19206
key470,18529
key471,34768
key472,64972
key473,51666
key474,37987
key475,25092
key476,21381
key477,20314
key478,19955
key479,17381
key480,19102
key481,20059
key482,18209
key483,19044
key484,34487
key485,22131
key486,24409
key487,20087
key488,19819
key489,21224
key490,17300
key491,27074
key492,17646
key493,18541
key494,19046
key495,22338
key496,25855
key497,24278
key498,27931
key499,24093
key500,18880
key501,28382
