key,latency(us)
key0,18053
key1,17026
key2,17874
key3,16800
key4,15119
key5,15914
key6,15581
key7,19213
key8,18058
key9,26127
key10,21117
key11,16569
key12,16326
key13,15639
key14,32461
key15,18154
key16,18252
key17,16342
key18,18457
key19,14792
key20,19289
key21,16714
key22,22475
key23,18031
key24,16482
key25,16835
key26,17560
key27,16575
key28,15384
key29,53113
key30,16288
key31,16041
key32,29041
key33,45056
key34,20823
key35,19826
key36,20535
key37,20342
key38,20926
key39,20410
key40,19869
key41,21563
key42,20923
key43,21185
key44,45904
key45,20170
key46,23040
key47,19756
key48,21470
key49,19553
key50,21470
key51,20553
key52,20695
key53,22159
key54,20789
key55,19801
key56,21926
key57,22327
key58,20733
key59,20189
key60,21308
key61,21419
key62,21639
key63,20652
key64,20313
key65,36413
key66,20882
key67,19390
key68,21304
key69,19965
key70,21652
key71,21027
key72,23462
key73,21099
key74,20759
key75,21404
key76,21739
key77,18556
key78,22136
key79,20328
key80,63105
key81,19216
key82,17639
key83,20779
key84,18140
key85,19025
key86,19822
key87,21831
key88,21274
key89,21072
key90,27092
key91,18527
key92,18894
key93,19983
key94,21720
key95,21360
key96,22140
key97,21540
key98,13266
key99,14027
key100,12410
key101,10178
key102,10454
key103,10693
key104,10604
key105,14813
key106,11014
key107,10351
key108,10853
key109,11069
key110,13234
key111,33168
key112,14947
key113,12893
key114,11883
key115,14476
key116,10614
key117,10828
key118,9470
key119,12585
key120,13161
key121,10507
key122,12302
key123,13209
key124,13205
key125,11788
key126,41640
key127,13647
key128,11129
key129,12316
key130,11204
key131,9975
key132,47520
key133,17249
key134,12594
key135,10525
key136,10425
key137,12657
key138,10375
key139,10958
key140,12189
key141,10543
key142,13230
key143,13085
key144,9578
key145,16417
key146,9297
key147,40376
key148,11305
key149,12616
key150,12243
key151,11777
key152,21109
key153,10901
key154,10297
key155,12556
key156,11517
key157,11940
key158,13216
key159,12463
key160,11045
key161,11160
key162,9965
key163,11724
key164,11838
key165,12079
key166,10908
key167,12169
key168,12541
key169,10448
key170,10077
key171,10342
key172,9845
key173,12234
key174,44629
key175,10621
key176,61796
key177,14518
key178,14726
key179,12647
key180,11618
key181,9601
key182,10344
key183,13824
key184,10948
key185,10906
key186,11914
key187,11954
key188,13943
key189,11840
key190,9507
key191,11396
key192,14315
key193,13208
key194,12545
key195,13206
key196,11620
key197,10968
key198,11412
key199,12626
key200,11571
key201,22614
key202,11840
key203,11457
key204,13015
key205,54294
key206,11475
key207,12226
key208,12185
key209,12169
key210,10303
key211,11544
key212,12666
key213,12216
key214,13172
key215,12120
key216,11839
key217,12853
key218,11915
key219,11989
key220,10602
key221,12161
key222,12631
