key,latency(us)
key0,132453
key1,120112
key2,63253
key3,58832
key4,58040
key5,65917
key6,129536
key7,59661
key8,67967
key9,71445
key10,156965
key11,66207
key12,160405
key13,62682
key14,114718
key15,60276
key16,178983
key17,147604
key18,421482
key19,324047
key20,148945
key21,213050
key22,251134
key23,213551
key24,220032
key25,145720
key26,91717
key27,113844
key28,129261
key29,129118
key30,176348
key31,108227
key32,109224
key33,66176
key34,75613
key35,54315
key36,351183
key37,165623
key38,440838
key39,177443
key40,148813
key41,192414
key42,148812
key43,97911
key44,57669
key45,55481
key46,55981
key47,61367
key48,582941
key49,146788
key50,137255
key51,140431
key52,344958
key53,164936
key54,492880
key55,330644
key56,147101
key57,369994
key58,151437
key59,134618
key60,279039
key61,103582
key62,150360
key63,160885
key64,148939
key65,123761
key66,363241
key67,155629
key68,474892
key69,102980
key70,139956
key71,138624
key72,376800
key73,194506
key74,218669
key75,346491
key76,201966
key77,180929
key78,111023
key79,48256
key80,47521
key81,66255
key82,107498
key83,63945
key84,155848
key85,96255
key86,46107
key87,76733
key88,68577
key89,66986
key90,119942
key91,82387
key92,65652
key93,61120
key94,72571
key95,60519
key96,346909
key97,328122
key98,304957
key99,67884
key100,121516
key101,193991
key102,101344
key103,75119
key104,55577
key105,70080
key106,55739
key107,56060
key108,107154
key109,76326
key110,55786
key111,69965
key112,59731
key113,54934
key114,306179
key115,152447
key116,125966
key117,150703
key118,106008
key119,101074
key120,355601
key121,255045
key122,123000
key123,105179
key124,112346
key125,83507
key126,115282
key127,119345
key128,68901
key129,58047
key130,83212
key131,63201
key132,168956
key133,73582
key134,55566
key135,92191
key136,57157
key137,66654
key138,134963
key139,61952
key140,55650
key141,52386
key142,94604
key143,69983
key144,113217
key145,54410
key146,62880
key147,57715
key148,53618
key149,53899
key150,147025
key151,101676
key152,55304
key153,56093
key154,55877
key155,53398
key156,111543
key157,54240
key158,53975
key159,53993
key160,54682
key161,54204
key162,139746
key163,54426
key164,53218
key165,44940
key166,44903
key167,45341
key168,461068
key169,124039
key170,278899
key171,142684
key172,160353
key173,109742
key174,109789
key175,60065
key176,57436
key177,54450
key178,238425
key179,67790
key180,574353
key181,98983
key182,187054
key183,121876
key184,79555
key185,122938
key186,462383
key187,155327
key188,393272
key189,186260
key190,209665
key191,119569
key192,163074
key193,60327
key194,92413
key195,55983
key196,72984
key197,99131
key198,195685
key199,284151
key200,118528
key201,237680
key202,99547
key203,90396
key204,162060
key205,563374
key206,60197
key207,74294
key208,68278
key209,65857
key210,384796
key211,151421
key212,123965
key213,294623
key214,126645
key215,161228
key216,282653
key217,180977
key218,186770
key219,86188
key220,138517
key221,147421
key222,361226
key223,234009
key224,683994
key225,160574
key226,156642
key227,165061
key228,107906
key229,93993
key230,71884
key231,74393
key232,55752
key233,64511
key234,130552
key235,80177
key236,123895
key237,56742
key238,65051
key239,54633
key240,286956
key241,266122
key242,179772
key243,120617
key244,140527
key245,342011
key246,154328
key247,77397
key248,57826
key249,270933
key250,44490
key251,56455
key252,319549
key253,260366
key254,584030
key255,144939
key256,159557
key257,146735
key258,183479
key259,83680
key260,74722
key261,54568
key262,73144
key263,90057
key264,364734
key265,135939
key266,141256
key267,169118
key268,367502
key269,140770
key270,398796
key271,254866
key272,156913
key273,141100
key274,186407
key275,153630
key276,308636
key277,240476
key278,142558
key279,158608
key280,124279
key281,56026
key282,130354
key283,63005
key284,54590
key285,54202
key286,62106
key287,88664
key288,273408
key289,205610
key290,181754
key291,139182
key292,101965
key293,184402
key294,126973
key295,92846
key296,71150
key297,70343
key298,68548
key299,72263
key300,121507
key301,93020
key302,61076
key303,55195
key304,84177
key305,69555
key306,612942
key307,258696
key308,469941
key309,136846
key310,169098
key311,162734
key312,299171
key313,164406
key314,260775
key315,235608
key316,278988
key317,83388
key318,276224
key319,170300
key320,215946
key321,162132
key322,102181
key323,115377
key324,232827
key325,80764
key326,74131
key327,84867
key328,60466
key329,59187
key330,217723
key331,154024
key332,177857
key333,167938
key334,165872
key335,137745
key336,540802
key337,156520
key338,206750
key339,192972
key340,190937
key341,158482
key342,170881
key343,78420
key344,56740
key345,93150
key346,108986
key347,103807
key348,165357
key349,67242
key350,129828
key351,114647
key352,124492
key353,78110
key354,150349
key355,178279
key356,98219
key357,128008
key358,71569
key359,62688
key360,122241
key361,77261
key362,53161
key363,53813
key364,60180
key365,57969
key366,360158
key367,156460
key368,177071
key369,206668
key370,157002
key371,153596
key372,141264
key373,129993
key374,92244
key375,55734
key376,54531
key377,55608
key378,113775
key379,55667
key380,53572
key381,64431
key382,52836
key383,54349
key384,377243
key385,121150
key386,434578
key387,153872
key388,121833
key389,148127
key390,283403
key391,108913
key392,72354
key393,59526
key394,69536
key395,58365
key396,155071
key397,190559
key398,71850
key399,61778
key400,78420
key401,80131
key402,523074
key403,270153
key404,152993
key405,314587
key406,196192
key407,148414
key408,150887
key409,79143
key410,124886
key411,62213
key412,73651
key413,73042
key414,289837
key415,253637
key416,322929
key417,90534
key418,127899
key419,133703
key420,327654
key421,184214
key422,285516
key423,216116
key424,281778
key425,141982
key426,154755
key427,89707
key428,55013
key429,69535
key430,62529
key431,62676
key432,196266
key433,148555
key434,215808
key435,142374
key436,95215
key437,97447
key438,114727
key439,68927
key440,100265
key441,71569
key442,55175
key443,67335
key444,112722
key445,79568
key446,56926
key447,54205
key448,53002
key449,58509
key450,148621
key451,73935
key452,80422
key453,54474
key454,59759
key455,54140
key456,326994
key457,118607
key458,224659
key459,239153
key460,90724
key461,138037
key462,135414
key463,114133
key464,113522
key465,66768
key466,68857
key467,58352
key468,132117
key469,73026
key470,69597
key471,69125
key472,66608
key473,60327
key474,365624
key475,130818
key476,113477
key477,138925
key478,224084
key479,133209
key480,111830
key481,75229
key482,54165
key483,54293
key484,59479
key485,60578
key486,100801
key487,86020
key488,68146
key489,122938
key490,139515
key491,45461
key492,282232
key493,149702
key494,281380
key495,133567
key496,282887
key497,121307
key498,288390
key499,225330
key500,130641
key501,118404
key502,148244
key503,146238
key504,198590
key505,140389
key506,65209
key507,60342
key508,55851
key509,57142
key510,376119
key511,441639
key512,148275
key513,327163
key514,177496
key515,154049
key516,152943
key517,81102
key518,53906
key519,53342
key520,88715
key521,53799
key522,100964
key523,76787
key524,56929
key525,53158
key526,58457
key527,56262
key528,97968
key529,56341
key530,54225
key531,61596
key532,58972
key533,55002
key534,135686
key535,53356
key536,54879
key537,53500
key538,54522
key539,54258
key540,99210
key541,57366
key542,61729
key543,54690
key544,53123
key545,57135
key546,171065
key547,153328
key548,289451
key549,145688
key550,101323
key551,74198
key552,146355
key553,62068
key554,53568
key555,73023
key556,61927
key557,52646
key558,129898
key559,54059
key560,57683
key561,139670
key562,56547
key563,74768
key564,333456
key565,140362
key566,114165
key567,113734
key568,132269
