key,latency(us)
key0,60301
key1,45977
key2,40344
key3,41848
key4,43305
key5,43588
key6,43302
key7,50021
key8,45395
key9,27381
key10,46334
key11,43602
key12,29215
key13,27830
key14,40044
key15,27209
key16,44844
key17,33599
key18,34194
key19,26869
key20,30242
key21,44197
key22,27687
key23,29409
key24,27749
key25,29648
key26,32332
key27,36681
key28,27840
key29,45147
key30,27399
key31,28729
key32,45561
key33,45472
key34,41144
key35,28099
key36,27518
key37,29541
key38,56272
key39,29996
key40,52032
key41,27721
key42,26854
key43,28627
key44,30240
key45,27013
key46,27705
key47,52428
key48,48525
key49,29703
key50,30325
key51,27489
key52,43974
key53,29168
key54,31740
key55,43298
key56,30948
key57,40264
key58,29460
key59,28457
key60,34883
key61,42776
key62,31078
key63,15965
key64,15734
key65,16947
key66,29286
key67,17337
key68,15871
key69,20664
key70,17579
key71,20943
key72,37776
key73,16416
key74,16530
key75,22165
key76,16513
key77,33918
key78,17933
key79,16613
key80,17289
key81,18031
key82,17727
key83,18217
key84,17651
key85,19910
key86,20943
key87,17800
key88,39049
key89,20766
key90,17090
key91,17399
key92,15720
key93,20316
key94,39271
key95,17193
key96,23388
key97,17039
key98,16771
key99,18425
key100,16755
key101,18909
key102,18195
key103,20167
key104,19617
key105,61797
key106,18662
key107,19324
key108,17526
key109,17682
key110,20361
key111,20673
key112,23249
key113,18479
key114,19356
key115,14837
key116,21409
key117,18650
key118,17711
key119,17015
key120,16200
key121,17391
key122,16818
key123,20981
key124,17774
key125,18771
key126,15351
key127,28412
key128,15948
key129,45450
key130,31409
key131,36767
key132,20644
key133,18624
key134,13922
key135,18348
key136,39272
key137,18126
key138,17052
key139,16883
key140,23428
key141,17639
key142,16838
key143,16572
key144,18063
key145,14989
key146,18955
key147,16238
key148,18288
key149,48518
key150,39217
key151,21194
key152,23641
key153,22903
key154,15981
key155,17893
key156,19625
key157,18874
key158,18989
key159,28088
key160,14813
key161,19369
key162,15325
key163,22315
key164,16692
key165,17141
key166,14838
key167,16728
key168,15989
key169,18826
key170,17230
key171,18906
key172,16180
key173,19832
key174,18126
key175,19713
key176,27877
key177,21069
key178,18921
key179,18045
key180,15419
key181,17529
key182,36137
key183,24952
key184,27292
key185,16057
key186,16085
key187,17183
key188,18806
key189,16294
key190,18485
key191,16029
key192,44050
key193,34760
key194,41869
key195,17166
key196,17215
key197,16076
key198,17822
key199,18997
key200,17757
key201,17899
key202,17283
key203,16599
key204,18040
key205,14990
key206,15858
key207,16446
key208,18608
key209,16187
key210,16907
key211,19398
key212,19459
key213,14689
key214,22777
key215,15550
key216,15694
key217,16820
key218,16869
key219,15631
key220,21053
key221,17617
key222,15667
key223,15686
key224,17123
key225,16784
key226,18072
key227,17129
key228,16062
key229,16961
key230,18259
key231,16626
key232,18083
key233,16335
key234,16857
key235,15506
key236,15978
key237,16101
key238,18547
key239,16505
key240,19814
key241,19078
key242,17827
key243,16703
key244,16508
key245,14443
key246,15175
key247,19737
key248,20527
key249,17215
key250,17309
key251,18525
key252,21403
key253,19240
key254,41287
key255,15501
key256,15496
key257,16083
key258,16639
key259,16105
key260,16741
key261,14791
key262,15843
key263,15322
key264,16454
key265,15145
key266,15975
key267,15788
key268,16121
key269,14926
key270,48842
key271,15320
key272,19070
key273,38527
key274,18834
key275,17493
key276,18312
key277,35215
key278,16772
key279,16137
key280,15277
key281,16590
key282,16024
key283,16850
key284,17319
key285,18893
key286,30881
key287,17816
key288,18181
key289,23392
key290,17309
key291,18692
key292,17937
key293,18747
key294,16739
key295,19874
key296,19930
key297,18476
key298,18907
key299,17423
key300,18657
key301,17012
key302,17363
key303,17362
key304,19992
key305,19009
key306,20999
key307,16220
key308,19817
key309,56703
key310,67374
key311,18406
key312,53271
key313,18360
key314,19307
key315,73318
key316,17335
key317,19756
key318,19366
key319,18805
key320,15530
key321,22574
key322,17679
key323,20753
key324,18087
key325,16998
key326,17883
key327,16546
key328,16690
key329,18684
key330,18348
key331,30899
key332,17241
key333,18192
key334,18508
key335,24051
key336,17181
key337,17303
key338,16945
key339,17325
key340,19513
key341,19585
key342,18102
key343,19401
key344,17368
key345,16510
key346,19193
key347,15223
key348,16506
key349,19296
key350,23728
key351,19798
key352,20482
key353,17391
key354,16389
key355,18357
key356,17730
key357,37200
key358,43354
key359,43547
key360,39483
key361,26289
key362,41009
key363,49797
key364,28010
key365,48657
key366,44282
key367,26581
key368,40524
key369,36970
key370,27411
key371,38123
key372,25239
key373,40166
key374,26041
key375,29093
key376,24470
key377,39214
key378,43291
key379,30945
key380,24339
key381,40639
key382,26592
key383,22802
key384,42254
key385,35615
key386,39910
key387,26269
key388,41279
key389,37206
key390,41432
key391,42913
key392,117292
key393,47846
key394,44823
key395,27138
key396,155823
key397,62207
key398,25078
key399,26465
key400,22208
key401,38601
key402,34331
key403,26941
key404,24498
key405,54510
key406,36294
key407,31502
key408,21672
key409,24460
key410,24571
key411,24301
key412,26078
key413,45476
key414,21766
key415,21307
key416,25586
key417,23872
key418,33011
key419,22090
key420,22769
key421,23471
key422,22230
key423,48475
key424,15500
key425,14674
key426,15187
key427,13246
key428,24718
key429,15402
key430,16663
key431,13850
key432,58386
key433,13356
key434,12793
key435,15448
key436,14984
key437,14806
key438,13127
key439,14539
key440,14695
key441,13636
key442,20677
key443,15882
key444,12771
key445,12752
key446,14215
key447,16073
key448,62350
key449,26109
key450,14784
key451,13688
key452,15836
key453,13641
key454,17721
key455,16271
key456,16172
key457,15878
key458,12275
key459,16617
key460,17422
key461,15849
key462,13110
key463,12024
key464,12829
key465,15219
key466,14675
key467,19303
key468,13185
key469,13959
key470,28677
key471,13163
key472,17727
key473,13594
key474,13252
key475,15386
key476,16339
key477,18950
key478,18466
key479,13871
key480,17600
key481,15962
key482,17391
key483,13438
key484,13085
key485,14200
key486,25438
key487,19282
key488,15674
key489,20345
key490,41043
key491,21029
key492,20744
key493,51787
key494,13708
key495,14517
key496,38151
key497,16335
key498,17245
key499,17341
key500,17685
key501,16981
key502,17817
key503,16275
key504,14863
key505,18006
key506,18644
key507,25642
key508,21414
key509,15528
key510,15790
key511,13127
key512,21702
key513,18815
key514,34216
key515,14112
key516,18709
key517,12600
key518,12582
key519,14168
key520,14157
key521,15234
key522,19801
key523,15808
key524,15336
key525,13549
key526,13904
key527,13447
key528,14646
key529,13788
key530,13339
key531,24647
key532,15067
key533,15804
key534,15598
key535,17859
key536,14499
key537,34307
key538,16856
key539,15043
key540,14811
key541,18816
key542,14876
key543,16218
key544,16521
key545,14320
key546,14114
key547,15333
key548,18605
key549,14493
key550,14239
key551,17034
key552,17158
key553,15936
key554,14157
key555,21300
key556,22210
key557,16260
key558,14604
key559,13458
key560,16105
key561,16324
key562,15768
key563,15829
key564,14893
key565,16889
key566,13536
key567,13336
key568,16785
key569,14805
key570,17703
key571,54364
key572,14916
key573,13854
key574,15787
key575,18153
key576,22290
key577,13563
key578,13689
key579,16523
key580,15916
key581,12821
key582,15417
