key,latency(us)
key0,117174
key1,76704
key2,41329
key3,40788
key4,35296
key5,39709
key6,42755
key7,49513
key8,45390
key9,45302
key10,45685
key11,49981
key12,43270
key13,46313
key14,30097
key15,27606
key16,45504
key17,29392
key18,48467
key19,33489
key20,32386
key21,44576
key22,63549
key23,29443
key24,43446
key25,55755
key26,48281
key27,26844
key28,44348
key29,60179
key30,47451
key31,42978
key32,96048
key33,52058
key34,69859
key35,153692
key36,90924
key37,57883
key38,35757
key39,31120
key40,44092
key41,31407
key42,32558
key43,28233
key44,29943
key45,31262
key46,29137
key47,45428
key48,87137
key49,33112
key50,35684
key51,30615
key52,32761
key53,45194
key54,70994
key55,65122
key56,52447
key57,21250
key58,22235
key59,21521
key60,18359
key61,19309
key62,17617
key63,36397
key64,18226
key65,19958
key66,19907
key67,17446
key68,17989
key69,18997
key70,20255
key71,18469
key72,64221
key73,31994
key74,17233
key75,20056
key76,20964
key77,15975
key78,19041
key79,17212
key80,25695
key81,20775
key82,17192
key83,24203
key84,58436
key85,45878
key86,19770
key87,19132
key88,20834
key89,24702
key90,20468
key91,18765
key92,18419
key93,20189
key94,26911
key95,17629
key96,19911
key97,17787
key98,19195
key99,18940
key100,18920
key101,20062
key102,45567
key103,17822
key104,233676
key105,39810
key106,45860
key107,46277
key108,37974
key109,48984
key110,27132
key111,80139
key112,132177
key113,49743
key114,44342
key115,41111
key116,43420
key117,36432
key118,41682
key119,47767
key120,40643
key121,27956
key122,29187
key123,45497
key124,27243
key125,47271
key126,27574
key127,40729
key128,27775
key129,28913
key130,32296
key131,30376
key132,47821
key133,44862
key134,29723
key135,33361
key136,76249
key137,50613
key138,83040
key139,41210
key140,29882
key141,28701
key142,45739
key143,30432
key144,28951
key145,41593
key146,29764
key147,31055
key148,29870
key149,31296
key150,38724
key151,27972
key152,93675
key153,42205
key154,30978
key155,27906
key156,30053
key157,31724
key158,33051
key159,32948
key160,33897
key161,32449
key162,35953
key163,28468
key164,37008
key165,32422
key166,28508
key167,32939
key168,31295
key169,24220
key170,22394
key171,16849
key172,63254
key173,23291
key174,89413
key175,60663
key176,17849
key177,18085
key178,19923
key179,20908
key180,16844
key181,19100
key182,19125
key183,17880
key184,15940
key185,15911
key186,17652
key187,18991
key188,19236
key189,17633
key190,14748
key191,17100
key192,82239
key193,32157
key194,22974
key195,50369
key196,17959
key197,17317
key198,31639
key199,17365
key200,17828
key201,16906
key202,19526
key203,17637
key204,18094
key205,16466
key206,14998
key207,29158
key208,60808
key209,20376
key210,16087
key211,23701
key212,40634
key213,21755
key214,16020
key215,18988
key216,20578
key217,19110
key218,15477
key219,16542
key220,17314
key221,15529
key222,19185
key223,15419
key224,17456
key225,17247
key226,18226
key227,17937
key228,17144
key229,18363
key230,17359
key231,17414
key232,121040
key233,46770
key234,58587
key235,16838
key236,17931
key237,21294
key238,18607
key239,17469
key240,27802
key241,18793
key242,16768
key243,18791
key244,19692
key245,17274
key246,18754
key247,17468
key248,32516
key249,20340
key250,18188
key251,16228
key252,19128
key253,28673
key254,16314
key255,23043
key256,19615
key257,17395
key258,16794
key259,21280
key260,18895
key261,19379
key262,32417
key263,36783
key264,74120
key265,18737
key266,19601
key267,17341
key268,65654
key269,31118
key270,17502
key271,18507
key272,101198
key273,49209
key274,40480
key275,20271
key276,21162
key277,17666
key278,18239
key279,18132
key280,17894
key281,17752
key282,15448
key283,19100
key284,16773
key285,17722
key286,18172
key287,17086
key288,17120
key289,15513
key290,59494
key291,24140
key292,16710
key293,16998
key294,46574
key295,15636
key296,16810
key297,16396
key298,24648
key299,22594
key300,18089
key301,18045
key302,37596
key303,31477
key304,18835
key305,30247
key306,18731
key307,16653
key308,54244
key309,16138
key310,20068
key311,21163
key312,68584
key313,17951
key314,43181
key315,19513
key316,25660
key317,20059
key318,18637
key319,25334
key320,25578
key321,17414
key322,17698
key323,42604
key324,18119
key325,18824
key326,49117
key327,22336
key328,17930
key329,17251
key330,19000
key331,20331
key332,21096
key333,19248
key334,33840
key335,16633
key336,17496
key337,19359
key338,17116
key339,19834
key340,18439
key341,18478
key342,19222
key343,19976
key344,26235
key345,21054
key346,18580
key347,23222
key348,17477
key349,26638
key350,17977
key351,17121
key352,69216
key353,54409
key354,79664
key355,36191
key356,16819
key357,21656
key358,24028
key359,54315
key360,16933
key361,19231
key362,18648
key363,16071
key364,15756
key365,17395
key366,15580
key367,30083
key368,20715
key369,19066
key370,15581
key371,17150
key372,17770
key373,19623
key374,17864
key375,17470
key376,31332
key377,17961
key378,29542
key379,21051
key380,17430
key381,16652
key382,16840
key383,18380
key384,17252
key385,18691
key386,16457
key387,19860
key388,19039
key389,16306
key390,18732
key391,19627
key392,98099
key393,15970
key394,33961
key395,15473
key396,17006
key397,16671
key398,15882
key399,17272
key400,18533
key401,16097
key402,20215
key403,27734
key404,18174
key405,25231
key406,20710
key407,18625
key408,15321
key409,17998
key410,17439
key411,69837
key412,20374
key413,16865
key414,16008
key415,37124
key416,22385
key417,15748
key418,23078
key419,18965
key420,15712
key421,15444
key422,17636
key423,18240
key424,23972
key425,45104
key426,21740
key427,15427
key428,15577
key429,14877
key430,22801
key431,18555
key432,97995
key433,20946
key434,29012
key435,17273
key436,20924
key437,17947
key438,19391
key439,19126
key440,17288
key441,20291
key442,20812
key443,25333
key444,23293
key445,21043
key446,18505
key447,20649
key448,19071
key449,20496
key450,18377
key451,19664
key452,18840
key453,19743
key454,21368
key455,18485
key456,17530
key457,18305
key458,19128
key459,17745
key460,22882
key461,19148
key462,18948
key463,18324
key464,17989
key465,20424
key466,18144
key467,22853
key468,41712
key469,31859
key470,44512
key471,41591
key472,71481
key473,45951
key474,25396
key475,19300
key476,41111
key477,23840
key478,19318
key479,16565
key480,16355
key481,17406
key482,18555
key483,67771
key484,26493
key485,18851
key486,18887
key487,18364
key488,15432
key489,16443
key490,17898
key491,21378
key492,17400
key493,17366
key494,18429
key495,32487
key496,21752
key497,16044
key498,18178
key499,18906
key500,15741
key501,19243
key502,22006
key503,38446
key504,25760
key505,17349
key506,15961
key507,17565
key508,20349
key509,22652
key510,16233
key511,18724
key512,94281
key513,83114
key514,20394
key515,19253
key516,21347
key517,20689
key518,19073
key519,21559
key520,20954
key521,17453
key522,23268
key523,20152
key524,28469
key525,18482
key526,17471
key527,26356
key528,20085
key529,19243
key530,18967
key531,49543
key532,28145
key533,43944
key534,48689
key535,47843
key536,43625
key537,51731
key538,142207
key539,29681
key540,48644
key541,64307
key542,42959
key543,46742
key544,47240
key545,45439
key546,49317
key547,29419
key548,55793
