key,latency(us)
key0,427226
key1,262098
key2,152423
key3,134563
key4,256075
key5,104005
key6,79140
key7,92092
key8,354479
key9,258261
key10,158467
key11,205268
key12,430989
key13,178376
key14,243803
key15,134906
key16,148174
key17,74961
key18,70846
key19,74759
key20,424512
key21,156215
key22,132389
key23,263376
key24,193857
key25,76169
key26,105569
key27,176416
key28,471861
key29,150351
key30,160883
key31,120937
key32,357434
key33,261288
key34,152259
key35,111137
key36,134009
key37,80473
key38,69895
key39,69635
key40,154492
key41,68749
key42,68873
key43,69023
key44,216467
key45,131143
key46,71935
key47,71157
key48,308588
key49,176514
key50,162126
key51,183336
key52,347333
key53,155178
key54,170152
key55,195661
key56,180933
key57,163348
key58,214607
key59,126487
key60,161562
key61,88864
key62,89241
key63,70184
key64,117909
key65,79296
key66,83254
key67,68741
key68,150621
key69,71334
key70,69445
key71,69520
key72,136905
key73,120036
key74,86492
key75,103114
key76,464442
key77,221383
key78,209789
key79,126797
key80,186692
key81,96582
key82,102623
key83,99661
key84,403402
key85,278329
key86,198951
key87,187160
key88,188532
key89,156419
key90,82976
key91,92311
key92,352939
key93,204130
key94,223995
key95,167087
key96,476313
key97,207374
key98,192635
key99,130470
key100,354167
key101,154056
key102,136530
key103,190349
key104,156225
key105,114309
key106,90945
key107,103975
key108,405165
key109,330178
key110,198372
key111,139771
key112,329131
key113,433222
key114,322897
key115,309622
key116,119677
key117,119219
key118,77440
key119,71688
key120,173155
key121,122795
key122,93994
key123,83199
key124,245744
key125,132550
key126,157300
key127,128589
key128,137189
key129,70808
key130,68725
key131,70042
key132,161974
key133,99740
key134,84165
key135,106610
key136,203342
key137,141943
key138,256260
key139,139764
key140,316620
key141,127231
key142,214284
key143,149430
key144,172459
key145,73126
key146,69537
key147,72984
key148,144915
key149,109794
key150,93724
key151,99374
key152,122324
key153,94387
key154,88030
key155,112094
key156,418532
key157,228519
key158,312704
key159,253375
key160,156887
key161,134812
key162,77233
key163,83265
key164,536994
key165,120743
key166,112912
key167,131378
key168,107488
key169,89183
key170,62516
key171,61502
key172,156736
key173,77826
key174,85113
key175,113841
key176,362474
key177,182225
key178,231973
key179,290619
key180,167632
key181,90484
key182,93459
key183,113162
key184,187809
key185,228577
key186,86344
key187,72473
key188,215777
key189,71152
key190,90887
key191,98175
key192,209072
key193,73626
key194,70967
key195,71343
key196,502709
key197,361790
key198,151566
key199,244511
key200,410192
key201,271017
key202,174861
key203,166221
key204,262254
key205,162995
key206,214649
key207,171320
key208,318934
key209,153343
key210,197351
key211,160951
key212,313534
key213,215668
key214,177174
key215,500869
key216,260104
key217,170230
key218,158114
key219,154378
key220,517047
key221,351441
key222,230287
key223,160232
key224,423920
key225,88496
key226,60343
key227,60921
key228,390826
key229,208414
key230,249132
key231,196913
key232,183319
key233,76507
key234,73045
key235,69979
key236,292507
key237,145078
key238,270011
key239,183828
key240,349144
key241,276645
key242,150489
key243,270613
key244,247369
key245,161990
key246,111798
key247,159348
key248,157722
key249,86934
key250,69033
key251,70350
key252,273103
key253,205437
key254,305058
key255,176675
key256,135616
key257,97800
key258,75592
key259,70354
key260,173011
key261,99772
key262,69185
key263,68236
key264,326941
key265,158781
