key,latency(us)
key0,146624
key1,66462
key2,62518
key3,60883
key4,65470
key5,51960
key6,42271
key7,56569
key8,90060
key9,33130
key10,46750
key11,43513
key12,49845
key13,26344
key14,30857
key15,30012
key16,29847
key17,30694
key18,31173
key19,30895
key20,29508
key21,32672
key22,30498
key23,28476
key24,30881
key25,48813
key26,49810
key27,33447
key28,29169
key29,29655
key30,43640
key31,34188
key32,80584
key33,64971
key34,84495
key35,67003
key36,44755
key37,42505
key38,42485
key39,28852
key40,40735
key41,47537
key42,28780
key43,39470
key44,29010
key45,27584
key46,46609
key47,29839
key48,45110
key49,30972
key50,70924
key51,48298
key52,31688
key53,27575
key54,41191
key55,53437
key56,28739
key57,52460
key58,27449
key59,27654
key60,29548
key61,29157
key62,30639
key63,24438
key64,16505
key65,17041
key66,24812
key67,19015
key68,19671
key69,51915
key70,20561
key71,19384
key72,57454
key73,33226
key74,21353
key75,58101
key76,29275
key77,24711
key78,19333
key79,44007
key80,39265
key81,18367
key82,18865
key83,17425
key84,18087
key85,22988
key86,19428
key87,21218
key88,19623
key89,18888
key90,18313
key91,20905
key92,19302
key93,18594
key94,19633
key95,16811
key96,22129
key97,46119
key98,16904
key99,16236
key100,17851
key101,18291
key102,16947
key103,18093
key104,18804
key105,18713
key106,18112
key107,17274
key108,16843
key109,15762
key110,17457
key111,18013
key112,88376
key113,34528
key114,19403
key115,16699
key116,23460
key117,98838
key118,24544
key119,22746
key120,17510
key121,171870
key122,85515
key123,65308
key124,33874
key125,30810
key126,17631
key127,18428
key128,17741
key129,17745
key130,19497
key131,17404
key132,20870
key133,19103
key134,17642
key135,17248
key136,18308
key137,16590
key138,18266
key139,19910
key140,22122
key141,66803
key142,50153
key143,37426
key144,66962
key145,42804
key146,19591
key147,35394
key148,19576
key149,28419
key150,44629
key151,17246
key152,61362
key153,29123
key154,39010
key155,33039
key156,30520
key157,28716
key158,39661
key159,28379
key160,58841
key161,27706
key162,36478
key163,37401
key164,52299
key165,31052
key166,28272
key167,27119
key168,28983
key169,29318
key170,30227
key171,44810
key172,30053
key173,25556
key174,29226
key175,26184
key176,27869
key177,29361
key178,26366
key179,31210
key180,28824
key181,27241
key182,49099
key183,29713
key184,52298
key185,26969
key186,28395
key187,41396
key188,43043
key189,56388
key190,124654
key191,45209
key192,118162
key193,52462
key194,39145
key195,44008
key196,52373
key197,41114
key198,51682
key199,40069
key200,41845
key201,39025
key202,45127
key203,34448
key204,31511
key205,75334
key206,53012
key207,32885
key208,28756
key209,29399
key210,32803
key211,42729
key212,29452
key213,42611
key214,67748
key215,43992
key216,46175
key217,38891
key218,18365
key219,28675
key220,28508
key221,17076
key222,17035
key223,17218
key224,17571
key225,16689
key226,17071
key227,17168
key228,18398
key229,16544
key230,16820
key231,19012
key232,63822
key233,19029
key234,17122
key235,18044
key236,17310
key237,16651
key238,26792
key239,19184
key240,18973
key241,17519
key242,16384
key243,17532
key244,16203
key245,21741
key246,18642
key247,16597
key248,36525
key249,21570
key250,17476
key251,48270
key252,19642
key253,19454
key254,18009
key255,18287
key256,18531
key257,17528
key258,20181
key259,20705
key260,18731
key261,18048
key262,17909
key263,19738
key264,17105
key265,18329
key266,21162
key267,20238
key268,19199
key269,16873
key270,18831
key271,19818
key272,61675
key273,18443
key274,20587
key275,20230
key276,21122
key277,20124
key278,18987
key279,17952
key280,18320
key281,17057
key282,18356
key283,19336
key284,17890
key285,18805
key286,17884
key287,18847
key288,17408
key289,17416
key290,18911
key291,18597
key292,18164
key293,18486
key294,17976
key295,17587
key296,18206
key297,19258
key298,16841
key299,17445
key300,15437
key301,19156
key302,18679
key303,18929
key304,18950
key305,19289
key306,19212
key307,18714
key308,17610
key309,20735
key310,23664
key311,18897
key312,85775
key313,41665
key314,26092
key315,35261
key316,22766
key317,20840
key318,43142
key319,106116
key320,63276
key321,33352
key322,40469
key323,32475
key324,19142
key325,25553
key326,20529
key327,19693
key328,21963
key329,19561
key330,19051
key331,22682
key332,19062
key333,18431
key334,20352
key335,20680
key336,23885
key337,48218
key338,21645
key339,156616
key340,19195
key341,18689
key342,20206
key343,21632
key344,37605
key345,18779
key346,17117
key347,19468
key348,22015
key349,16524
key350,24855
key351,17346
key352,65619
key353,18745
key354,21287
key355,19968
key356,22024
key357,18729
key358,20041
key359,19381
key360,15605
key361,17575
key362,17799
key363,19746
key364,16602
key365,17787
key366,22855
key367,20056
key368,27563
key369,20434
key370,18262
key371,18344
key372,18579
key373,17194
key374,17980
key375,19989
key376,18083
key377,18039
key378,36222
key379,15546
key380,27711
key381,19062
key382,19096
key383,19095
key384,20381
key385,19519
key386,17909
key387,19867
key388,22087
key389,18556
key390,21884
key391,19273
key392,82130
key393,20834
key394,20366
key395,19947
key396,17255
key397,38664
key398,24106
key399,18837
key400,18326
key401,18711
key402,20197
key403,44857
key404,20126
key405,18139
key406,18794
key407,22566
key408,18654
key409,21928
key410,20167
key411,19036
key412,23452
key413,37315
key414,17916
key415,21933
key416,18961
key417,33675
key418,59959
key419,17984
key420,18685
key421,18026
key422,18950
key423,18854
key424,17959
key425,18836
key426,29849
key427,42771
key428,17479
key429,19974
key430,19506
key431,26724
key432,79371
key433,18603
key434,21368
key435,18653
key436,24899
key437,20188
key438,19194
key439,20027
key440,17681
key441,19993
key442,19283
key443,14884
key444,59447
key445,19701
key446,26730
key447,22284
key448,21371
key449,22382
key450,49456
key451,31789
key452,19881
key453,18343
