key,latency(us)
key0,90783
key1,49534
key2,33469
key3,32536
key4,29981
key5,32002
key6,29609
key7,47806
key8,30996
key9,29673
key10,29597
key11,29348
key12,61094
key13,32059
key14,30994
key15,33325
key16,29011
key17,30366
key18,30336
key19,37259
key20,31669
key21,43853
key22,31380
key23,29526
key24,53903
key25,74992
key26,39561
key27,38651
key28,31119
key29,29774
key30,34053
key31,30311
key32,81126
key33,31617
key34,29179
key35,29215
key36,30716
key37,31582
key38,31651
key39,36105
key40,30681
key41,31027
key42,29048
key43,32802
key44,30384
key45,29420
key46,30672
key47,32712
key48,37130
key49,35454
key50,41151
key51,28007
key52,31368
key53,30350
key54,26848
key55,33321
key56,32545
key57,30794
key58,29225
key59,30024
key60,28102
key61,30079
key62,29379
key63,32129
key64,20505
key65,35164
key66,19994
key67,25566
key68,18546
key69,30027
key70,20214
key71,32233
key72,80335
key73,84612
key74,35503
key75,94143
key76,45498
key77,41794
key78,19820
key79,23516
key80,23982
key81,128194
key82,37998
key83,17647
key84,17576
key85,17282
key86,76436
key87,17487
key88,23394
key89,16924
key90,18065
key91,19895
key92,15945
key93,19197
key94,34561
key95,18593
key96,19148
key97,21847
key98,17587
key99,19357
key100,18632
key101,41163
key102,17104
key103,18766
key104,20295
key105,79048
key106,33860
key107,34682
key108,17252
key109,16197
key110,21198
key111,50522
key112,123975
key113,83945
key114,22903
key115,18945
key116,85260
key117,22625
key118,64407
key119,17326
key120,16937
key121,20886
key122,22133
key123,17636
key124,18619
key125,57479
key126,51592
key127,112088
key128,55880
key129,136851
key130,18363
key131,117914
key132,18452
key133,18122
key134,17442
key135,17741
key136,20307
key137,16104
key138,16096
key139,55566
key140,16936
key141,18127
key142,19550
key143,16669
key144,21184
key145,18055
key146,20251
key147,18353
key148,17869
key149,18894
key150,19523
key151,19110
key152,53281
key153,20938
key154,21628
key155,35848
key156,22223
key157,22405
key158,22715
key159,23072
key160,20848
key161,21994
key162,22820
key163,23395
key164,36589
key165,20493
key166,20840
key167,30826
key168,23084
key169,20370
key170,23278
key171,21890
key172,57509
key173,41548
key174,23404
key175,20164
key176,22456
key177,21118
key178,48183
key179,21557
key180,66508
key181,35570
key182,32728
key183,20508
key184,22116
key185,22460
key186,19363
key187,39514
key188,23253
key189,20862
key190,23008
key191,21300
key192,140020
key193,58479
key194,27102
key195,27832
key196,21421
key197,20663
key198,22681
key199,22616
key200,21401
key201,22531
key202,22995
key203,27605
key204,20427
key205,24697
key206,27119
key207,22360
key208,22578
key209,23128
key210,20364
key211,33208
key212,23859
key213,22858
key214,24808
key215,23546
key216,22850
key217,19919
key218,20513
key219,23537
key220,24113
key221,23144
key222,23558
key223,26380
key224,82129
key225,20661
key226,21324
key227,21007
key228,23985
key229,23045
key230,29559
key231,22320
key232,150039
key233,59950
key234,153093
key235,43906
key236,37115
key237,93276
key238,20138
key239,21647
key240,53448
key241,19821
key242,191748
key243,20020
key244,131221
key245,19135
key246,19467
key247,23130
key248,34686
key249,19578
key250,17830
key251,94480
key252,70443
key253,103975
key254,18470
key255,18062
key256,22353
key257,45725
key258,18770
key259,22927
key260,19499
key261,18952
key262,17840
key263,17753
key264,20591
key265,21223
key266,23680
key267,17671
key268,22361
key269,29619
key270,24754
key271,51905
key272,69701
key273,122970
key274,88143
key275,21303
key276,130753
key277,18528
key278,17914
key279,21193
key280,20534
key281,23766
key282,21262
key283,329145
key284,23022
key285,18223
key286,22630
key287,38927
key288,17419
key289,47239
key290,19380
key291,20289
key292,19277
key293,17223
key294,16573
key295,19168
key296,34009
key297,20497
key298,20420
key299,19400
key300,20531
key301,18505
key302,70883
key303,30939
key304,19431
key305,16783
key306,22899
key307,19540
key308,18325
key309,18147
key310,18139
key311,18407
key312,117009
key313,47332
