key,latency(us)
key0,871922
key1,970278
key2,806358
key3,805859
key4,790782
key5,889156
key6,805006
key7,870919
key8,887974
key9,805027
key10,796662
key11,414966
key12,510808
key13,418067
key14,506800
key15,946515
key16,903428
key17,975180
key18,808266
key19,787498
key20,882825
key21,979229
key22,897140
key23,691528
key24,693962
key25,718528
key26,995071
key27,866669
key28,689920
key29,443953
key30,790007
key31,741726
key32,806699
key33,879016
key34,781684
key35,780712
key36,799847
key37,706812
key38,698440
key39,808605
key40,785707
key41,724044
key42,821294
key43,1078275
key44,515720
key45,516910
key46,410343
key47,499413
key48,498366
key49,978584
key50,985254
key51,991098
key52,984070
key53,890482
key54,794283
key55,797161
key56,1000445
key57,810739
key58,892678
key59,987488
key60,800826
key61,615311
key62,590126
key63,518269
key64,500615
key65,781524
key66,798867
key67,803231
key68,783014
key69,798553
key70,999405
key71,808714
key72,805957
key73,717966
key74,897737
key75,970598
key76,696506
key77,815601
key78,889227
key79,593377
key80,596119
key81,896593
key82,880937
key83,774122
key84,801343
key85,782423
key86,886447
key87,693304
key88,795539
key89,820444
key90,741790
key91,787317
key92,784786
key93,1008887
key94,795304
key95,505681
key96,508364
key97,500671
key98,458325
key99,839154
key100,803548
key101,910099
key102,797689
key103,893774
key104,889513
key105,805569
key106,732322
key107,801072
key108,793620
key109,807375
key110,804722
key111,817178
key112,417673
key113,412061
key114,539929
key115,499258
key116,436299
key117,1070020
key118,980869
key119,790584
key120,981864
key121,707357
key122,820188
key123,708379
key124,879896
key125,902717
key126,879341
key127,803587
key128,977357
key129,704063
key130,773231
key131,497677
key132,447514
key133,804661
key134,1003412
key135,794055
key136,893385
key137,931680
key138,802446
key139,799579
key140,809382
key141,728753
key142,833806
key143,813123
key144,722679
key145,702866
key146,1142205
key147,788796
key148,506225
key149,514821
key150,496984
key151,1304682
key152,957222
key153,795749
key154,703899
key155,730343
key156,694063
key157,790850
key158,706031
key159,704195
key160,829761
key161,703568
key162,780158
key163,706493
key164,772943
key165,779932
key166,533585
key167,1164949
key168,879503
key169,982408
key170,804689
key171,991626
key172,879008
key173,977593
key174,801821
key175,790780
key176,801586
key177,806700
key178,792202
key179,765743
key180,538007
key181,517791
key182,768326
key183,760861
key184,888463
key185,995817
key186,893676
key187,720021
key188,796475
key189,790268
key190,808461
key191,799917
key192,818531
key193,897117
key194,883144
key195,806557
key196,514501
key197,500609
key198,505504
key199,505559
key200,868554
key201,796145
key202,800263
key203,793817
key204,790735
key205,799460
key206,806057
key207,713890
key208,814306
key209,876998
key210,892640
key211,808688
key212,893305
key213,1007867
key214,406981
key215,498242
key216,589138
key217,797576
key218,984334
key219,793611
key220,700450
key221,717709
key222,802498
key223,812624
key224,797166
key225,800887
key226,799133
key227,982562
key228,910577
key229,802709
key230,820155
key231,602717
key232,685603
key233,499433
key234,816342
key235,891148
key236,886555
key237,788939
key238,973473
key239,778077
key240,709242
key241,793505
key242,814318
key243,942531
key244,878108
key245,865518
key246,883305
key247,859131
key248,505518
key249,602454
key250,778829
key251,873199
key252,818989
key253,797653
key254,801101
key255,839587
key256,890048
key257,992553
key258,928137
key259,898913
key260,883142
key261,968587
key262,693637
key263,420165
key264,412335
key265,507123
key266,507212
key267,797150
key268,971711
key269,810871
key270,882841
key271,796547
key272,794176
key273,781656
key274,883708
key275,818952
key276,812488
key277,688462
key278,700892
key279,807170
key280,794146
key281,408569
key282,460005
key283,502322
key284,789832
key285,692692
key286,802178
key287,800106
key288,908285
key289,906305
key290,896910
key291,985690
key292,799941
key293,796351
key294,786674
key295,883528
key296,799244
key297,802376
key298,517120
key299,509108
key300,706828
key301,717084
key302,794556
key303,697627
key304,797458
key305,807862
key306,889881
key307,936608
key308,785093
key309,723096
key310,692890
key311,794493
key312,803577
key313,884638
key314,513470
key315,498279
key316,425042
key317,777984
key318,777081
key319,816831
key320,888322
key321,801916
key322,798541
key323,716522
key324,786913
key325,720639
key326,735791
key327,807530
key328,702982
key329,823377
key330,795791
key331,789014
key332,498143
key333,456476
key334,933739
key335,798880
key336,799679
key337,785084
key338,814404
key339,798815
key340,803796
key341,815725
key342,809677
key343,795873
key344,704636
key345,707490
key346,970790
key347,1068949
key348,518162
key349,592386
key350,418286
key351,828083
key352,829464
key353,1085340
key354,812979
key355,733756
key356,886653
key357,979070
key358,788163
key359,799556
key360,812436
key361,909621
key362,970352
key363,759095
key364,711270
key365,695010
key366,508535
key367,773053
key368,784844
key369,782011
key370,705743
key371,696970
key372,707240
key373,704275
key374,776747
key375,791082
key376,893136
key377,790485
key378,891733
key379,786341
key380,789750
key381,789533
key382,493470
key383,512258
key384,780332
key385,887843
key386,700763
key387,802623
key388,700942
key389,702473
key390,980670
key391,823274
key392,792778
key393,1211595
key394,911537
key395,814938
key396,830863
key397,885292
key398,599718
key399,880875
key400,798107
key401,719746
key402,797390
key403,710209
key404,783909
key405,888809
key406,882657
key407,885734
key408,994611
key409,710554
key410,1004797
key411,821361
key412,815989
key413,502415
key414,515071
key415,544154
key416,883016
key417,701578
key418,895714
key419,806342
key420,788545
key421,819826
key422,700936
key423,783417
key424,969120
key425,686937
key426,787098
key427,807074
key428,895454
key429,787252
key430,499461
key431,599595
key432,881263
key433,788366
key434,714208
key435,700493
key436,825762
key437,721560
key438,801883
key439,809992
key440,810253
key441,795874
key442,889197
key443,809472
key444,806002
key445,919680
key446,585168
key447,682804
key448,505467
key449,675713
key450,802616
key451,708116
key452,811947
key453,703552
key454,886100
key455,798990
key456,732020
key457,778796
key458,964752
key459,729693
key460,712825
key461,797222
key462,815551
key463,898604
key464,510897
key465,503251
key466,603845
key467,897047
key468,814445
key469,791191
key470,895843
key471,797273
key472,789484
key473,887208
key474,891129
key475,874801
key476,690138
key477,780517
key478,700417
key479,895440
key480,792644
key481,495681
key482,494699
key483,500968
key484,963508
key485,811579
key486,897906
key487,806757
key488,808674
key489,802492
key490,782479
key491,868488
key492,811405
key493,806708
key494,898577
key495,808379
key496,807602
key497,875094
key498,519383
key499,511526
key500,596880
key501,1160712
key502,793605
key503,808408
key504,792297
key505,807848
key506,702419
key507,793339
key508,798626
key509,807298
key510,792447
key511,802399
key512,1502827
key513,687732
key514,504410
key515,505271
key516,407428
key517,422497
key518,692158
key519,810614
key520,917720
key521,782949
key522,690653
key523,729156
key524,796420
key525,807334
key526,775748
key527,791887
key528,791441
key529,792880
key530,781783
key531,817931
key532,793828
key533,501334
key534,701576
key535,682372
key536,794860
key537,798478
key538,820130
key539,814649
key540,792667
key541,707287
key542,808229
key543,777966
key544,800818
key545,896986
key546,692257
key547,806271
key548,789848
key549,706865
key550,501478
key551,421078
key552,412297
key553,509718
key554,802710
key555,812258
key556,712667
key557,709378
key558,705113
key559,692700
key560,793464
key561,886038
key562,795779
key563,798217
key564,819502
key565,999352
key566,991734
key567,1159143
key568,979512
key569,861058
key570,798816
key571,785848
key572,713915
key573,694614
key574,975062
key575,702558
key576,702900
key577,800192
key578,814392
key579,797659
key580,807168
key581,811165
key582,793162
key583,781505
key584,511464
key585,504027
key586,876504
key587,711807
key588,715706
key589,788143
key590,699061
key591,691122
key592,795111
key593,718804
key594,815173
key595,890676
key596,781590
key597,846843
key598,722259
key599,814823
key600,879514
key601,596040
key602,509871
key603,1045697
key604,804388
key605,923667
key606,910950
key607,809912
key608,889264
key609,893688
key610,969997
key611,803440
key612,781586
key613,779893
key614,788108
key615,792084
key616,774821
key617,495259
key618,447845
key619,467201
key620,438257
key621,787717
key622,707624
key623,799008
key624,798428
key625,709398
key626,707051
key627,799720
key628,798451
key629,793451
key630,813262
key631,818940
key632,897042
key633,977168
key634,965700
key635,640965
key636,587189
key637,859354
key638,824788
key639,790218
key640,704120
key641,886269
key642,921843
key643,945971
key644,716272
key645,710645
key646,692943
key647,723793
key648,694560
key649,799509
key650,803965
key651,776607
key652,509805
key653,692307
key654,802222
key655,818974
key656,706041
key657,697097
key658,785025
key659,803006
key660,803681
key661,792267
key662,793276
key663,818699
key664,812117
key665,791764
key666,897686
key667,820942
key668,498818
key669,495365
key670,510873
key671,801172
key672,797103
key673,797224
key674,882045
key675,869144
key676,693166
key677,696485
key678,808663
key679,796323
key680,780233
key681,881657
key682,881637
key683,973489
key684,803907
key685,502031
key686,588813
key687,495550
key688,511736
key689,794878
key690,878748
key691,824375
key692,794392
key693,707314
key694,791457
key695,687713
key696,695603
key697,894157
key698,894191
key699,824159
key700,904478
key701,880088
key702,1334187
key703,510155
key704,885044
key705,808855
key706,805788
key707,788935
key708,923071
key709,705706
key710,792594
key711,968616
key712,891882
key713,890837
key714,828091
key715,903161
key716,1086853
key717,596592
key718,499252
key719,507080
key720,595410
key721,805761
key722,815064
key723,803229
key724,697430
key725,793074
key726,803696
key727,782222
key728,814157
key729,976507
key730,907612
key731,714209
key732,881679
key733,1017673
key734,603504
key735,585323
key736,601946
key737,795191
key738,797506
key739,699703
key740,704224
key741,812941
key742,722463
key743,707533
key744,800833
key745,790914
key746,684753
key747,793759
key748,887955
key749,896359
key750,1010250
key751,805537
key752,692880
key753,582184
key754,791565
key755,823222
key756,792249
key757,701426
key758,894290
key759,793734
key760,815336
key761,778258
key762,795405
key763,793858
key764,796809
key765,803626
key766,804455
key767,729234
key768,597551
key769,451647
key770,502543
key771,407794
key772,794871
key773,796509
key774,970927
key775,827179
key776,963970
key777,805592
key778,690583
key779,711158
key780,731080
key781,705043
key782,904520
key783,882315
key784,931608
key785,977491
key786,496022
key787,507206
key788,696152
key789,711972
key790,811525
key791,793728
key792,796740
key793,783140
key794,804255
key795,797167
key796,788314
key797,798243
key798,801352
key799,792268
key800,801820
key801,787214
key802,827224
key803,489436
key804,509271
key805,470347
key806,497639
key807,808709
key808,784075
key809,976845
key810,807515
key811,896633
key812,798967
key813,884659
key814,1334101
key815,710069
key816,988794
key817,795293
key818,963637
key819,875532
key820,498587
key821,492527
key822,597478
key823,1058641
key824,957059
key825,878196
key826,794153
key827,881202
key828,814875
key829,701740
key830,701877
key831,788551
key832,773092
key833,695054
key834,699095
key835,796852
key836,777872
key837,412722
key838,405259
key839,602704
key840,513564
key841,694283
key842,786783
key843,786859
key844,793491
key845,796606
key846,709710
key847,708075
key848,806926
key849,787662
key850,794466
key851,794826
key852,811655
key853,920682
key854,905492
key855,503342
key856,509782
key857,506953
key858,806415
key859,982187
key860,848909
key861,796342
key862,877907
key863,798611
key864,881534
key865,814180
key866,787348
key867,802239
key868,791282
key869,791332
key870,820797
key871,498845
key872,491477
key873,510537
key874,501063
key875,703170
key876,808548
key877,718159
key878,793360
key879,790212
key880,795968
key881,786523
key882,892321
key883,707239
key884,792493
key885,896843
key886,803174
key887,889377
key888,717945
key889,884241
key890,585788
key891,513131
key892,518821
key893,781870
key894,896184
key895,800196
key896,715795
key897,876927
key898,814416
key899,829674
key900,689671
key901,781500
key902,722011
key903,796659
key904,798751
key905,793993
key906,939704
key907,515613
key908,631107
key909,522129
key910,499969
key911,806047
key912,798422
key913,793589
key914,1136261
key915,782855
key916,965795
key917,898143
key918,994885
key919,882373
key920,906251
key921,1090768
key922,922340
key923,497415
key924,498847
key925,500539
key926,453179
key927,811177
key928,801410
key929,790633
key930,890851
key931,1087564
key932,967631
key933,786755
key934,777167
key935,1369176
key936,858999
key937,807921
key938,808133
key939,882806
key940,500301
key941,505132
key942,513063
key943,704453
key944,1344480
key945,870563
key946,785534
key947,1364728
key948,783480
key949,798884
key950,889714
key951,794632
key952,900424
key953,977738
key954,816303
key955,866509
key956,512634
key957,501086
key958,778920
key959,972439
key960,800910
key961,790574
key962,694697
key963,991641
key964,884918
key965,837770
key966,925869
key967,719258
key968,787376
key969,790131
key970,851754
key971,836867
key972,509074
key973,505422
key974,522079
key975,899481
key976,866460
key977,1139286
key978,969120
key979,976420
key980,814925
key981,798411
key982,806582
key983,802551
key984,815325
key985,800158
key986,804526
key987,775807
key988,417226
key989,523108
key990,418036
key991,712494
key992,708126
key993,701545
key994,789625
key995,807409
key996,995985
key997,802515
key998,797798
key999,797765
