key,latency(us)
key0,1364720
key1,1196538
key2,1183452
key3,2580672
key4,1377936
key5,2381111
key6,1128659
key7,5452530
key8,1192210
key9,1109826
key10,1153294
key11,1142771
key12,1095096
key13,1222028
key14,1201830
key15,1123306
key16,791394
key17,813901
key18,1300833
key19,1490812
key20,1202531
key21,3192192
key22,1156899
key23,1295291
key24,1167309
key25,1111938
key26,839111
key27,822011
key28,1103914
key29,1124978
key30,1080088
key31,1459858
key32,1552416
key33,1134030
key34,1362970
key35,1133769
key36,1137240
key37,815250
key38,803402
key39,1098666
key40,1111276
key41,1205952
key42,1112368
key43,1297039
key44,1089710
key45,1124258
key46,1107948
key47,1379071
key48,1216471
key49,894416
key50,1204795
key51,1301257
key52,1131050
key53,1089843
key54,2122638
key55,1174986
key56,1168117
key57,1243097
key58,1167931
key59,832277
key60,1102952
key61,1085928
key62,1119302
key63,1087201
key64,1122719
key65,1577796
key66,1193238
key67,1150016
key68,1248984
key69,1224655
key70,950452
key71,973711
key72,1874590
key73,1856589
key74,1121398
key75,1126716
key76,1120381
key77,1124977
key78,1121193
key79,1197597
key80,1105314
key81,831184
key82,819445
key83,1087533
key84,1106424
key85,1072743
key86,1128601
key87,1208967
key88,1105765
key89,1555892
key90,1141309
key91,1132962
key92,841269
key93,812560
key94,822271
key95,1108510
key96,1194028
key97,1210297
key98,1820310
key99,1137950
key100,1638311
key101,1372347
key102,1159417
key103,1185555
key104,830629
key105,885276
key106,1326933
key107,1295071
key108,1133398
key109,1118770
key110,1098460
key111,1183627
key112,1133020
key113,1105034
key114,1232395
key115,1110461
key116,825501
key117,1391302
key118,1208876
key119,1117168
key120,1253582
key121,1238890
key122,2226763
key123,1110733
key124,1259771
key125,1351153
key126,917542
key127,1128993
key128,1118179
key129,1151938
key130,1111508
key131,1101158
key132,1486342
key133,1116475
key134,1106541
key135,1282809
key136,1978990
key137,990323
key138,1183570
key139,1115809
key140,1198111
key141,1141400
key142,1100986
key143,1134082
key144,1466691
key145,1097254
key146,1584380
key147,1296274
key148,1009682
key149,920711
key150,1104264
key151,1131096
key152,1220967
key153,1464382
key154,1745763
key155,1239058
key156,1202679
key157,1190641
key158,841183
key159,796730
key160,825616
key161,1093072
key162,1404805
key163,3995094
key164,1119911
key165,1131443
key166,1096052
key167,1255916
key168,1008409
key169,1399708
key170,1206520
key171,1082877
key172,1108812
key173,1135608
key174,1109077
key175,1364315
key176,1239618
key177,1187537
key178,1085403
key179,844173
key180,825663
key181,1080885
key182,1220633
key183,1400577
key184,1154044
key185,1222581
key186,1094239
key187,1104737
key188,1104930
key189,1104386
key190,1521663
key191,1028952
key192,1476503
key193,1116514
key194,1104170
key195,1095761
key196,1106052
key197,1649919
key198,2366003
key199,1123560
key200,826756
key201,870268
key202,1068550
key203,1080638
key204,1112008
key205,1127669
key206,1170825
key207,1101765
key208,1088104
key209,1111871
key210,1105162
key211,1190688
key212,855000
key213,792103
key214,1594252
key215,1198130
key216,1131798
key217,1088969
key218,1136520
key219,1124639
key220,1096862
key221,1136979
key222,1143570
key223,977547
key224,912484
key225,1212842
key226,1360294
key227,1189934
key228,1087895
key229,3361747
key230,1178994
key231,1191675
key232,801051
key233,847997
key234,810141
key235,1203023
key236,1107577
key237,1082366
key238,1405710
key239,1483391
key240,1192334
key241,1221762
key242,1647201
key243,1160350
key244,839561
key245,887153
key246,1742897
key247,1139050
key248,1101002
key249,1157686
key250,1125012
key251,1098513
key252,1107124
key253,1114880
key254,1172525
key255,1139827
key256,851428
key257,1125828
key258,1098278
key259,1251510
key260,1119870
key261,1196720
key262,1214052
key263,1293482
key264,1208672
key265,1300700
key266,1010541
key267,1424319
key268,1205975
key269,4076918
key270,1359728
key271,1228990
key272,1204759
key273,1605820
key274,1225093
key275,1001102
key276,1104248
key277,1094958
key278,1084487
key279,1148296
key280,1564348
key281,1980407
key282,1242659
key283,1317777
key284,1689275
key285,1022869
key286,1355565
key287,1198459
key288,1124977
key289,1285380
key290,5163404
key291,1102239
key292,1295997
key293,908413
key294,950306
key295,1202021
key296,1117211
key297,1503551
key298,1220450
key299,1319339
key300,1665145
key301,1553849
key302,2213293
key303,923392
key304,1265615
key305,1115699
key306,1214059
key307,1658015
key308,1198838
key309,1211682
key310,1338942
key311,3609786
key312,846406
key313,1224563
key314,1129633
key315,1153746
key316,1220099
key317,1491173
key318,1559374
key319,1717129
key320,1212842
key321,1146030
key322,839194
key323,1155831
key324,1105745
key325,1088296
key326,1098411
