key,latency(us)
key0,1186381
key1,1233661
key2,897040
key3,907780
key4,900955
key5,1254506
key6,1196031
key7,1736864
key8,2033841
key9,3126746
key10,1221992
key11,851038
key12,885742
key13,895829
key14,1181883
key15,1191722
key16,1254649
key17,1166440
key18,1223303
key19,1191815
key20,1186158
key21,1183487
key22,1377550
key23,892253
key24,918247
key25,1243433
key26,1208420
key27,1182971
key28,1202999
key29,1190811
key30,1718958
key31,1296302
key32,1496418
key33,1174527
key34,952406
key35,1210722
key36,1481254
key37,1218011
key38,1256258
key39,1460534
key40,1185177
key41,1176024
key42,1266535
key43,1185729
key44,976563
key45,887481
key46,1274120
key47,1310951
key48,1208229
key49,1634014
key50,1307699
key51,1165436
key52,4176806
key53,1005430
key54,1267035
key55,1181217
key56,1195213
key57,1181843
key58,1212475
key59,1272736
key60,1407602
key61,1360456
key62,4723806
key63,1187643
key64,1813724
key65,1740657
key66,1186907
key67,1191710
key68,1371865
key69,993795
key70,899821
key71,930795
key72,1217022
key73,1361452
key74,1406797
key75,1189309
key76,1377895
key77,1562411
key78,4142585
key79,900555
key80,1188691
key81,1180365
key82,1283886
key83,1586927
key84,1306217
key85,1299875
key86,3739519
key87,901173
key88,1195154
key89,5028311
key90,1188616
key91,1207776
key92,1612332
key93,1299786
key94,1648976
key95,900497
key96,1516503
key97,1200376
key98,4468394
key99,1217640
key100,1376580
key101,2998075
key102,880286
key103,1168663
key104,1472513
key105,1168576
key106,1280513
key107,4017030
key108,1207073
key109,906700
key110,2276171
key111,1204938
key112,1188405
key113,1187601
key114,1197986
key115,3497056
key116,1250438
key117,1471422
key118,901548
key119,1455311
key120,1237852
key121,1191792
key122,1192638
key123,1206806
key124,1174290
key125,1181420
key126,1280545
key127,1269374
key128,887665
key129,997986
key130,1208650
key131,1289046
key132,1838920
key133,1280453
key134,1228500
key135,1198365
key136,1261793
key137,1352978
key138,978475
key139,1172611
key140,1270068
key141,1264626
key142,1183397
key143,1212402
key144,1195184
key145,1198620
key146,1170485
key147,1229802
key148,1337340
key149,896862
key150,906696
key151,1378821
key152,1192086
key153,1194715
key154,1193344
key155,5757476
key156,1177417
key157,878540
key158,916142
key159,1179187
key160,1226607
key161,1464101
key162,1482696
key163,1305778
key164,3454409
key165,1275827
key166,979009
key167,882403
key168,1158083
key169,1174216
key170,1726555
key171,1273567
key172,1290937
key173,1314063
key174,2379683
key175,1308486
key176,873320
key177,922343
key178,1230758
key179,1201533
key180,1188947
key181,1953910
key182,1289594
key183,1215187
key184,1220196
key185,3485264
key186,1214145
key187,1276207
key188,3091868
key189,8239837
key190,1223814
key191,1305654
key192,1298600
key193,1374295
key194,1384477
key195,1290237
key196,1198129
key197,1310209
key198,1158273
key199,876411
key200,887776
key201,1165762
key202,1188600
key203,1180872
key204,1547968
key205,1225244
key206,1207684
key207,1189753
key208,1200053
key209,2658474
key210,1922058
key211,1187877
key212,3498021
key213,1186882
key214,1197126
key215,1257616
key216,1209120
key217,885050
key218,906330
key219,1456455
key220,1289890
key221,1287985
key222,1202602
key223,1189080
key224,1205017
key225,1178009
key226,1265634
key227,1250124
key228,2520540
key229,1183606
key230,1278197
key231,3844362
key232,1274200
key233,1213859
key234,1239658
key235,880379
key236,906552
key237,882655
key238,1170173
key239,1466525
key240,3017438
key241,1377295
key242,1432712
key243,1440712
key244,3601575
key245,3365197
key246,1199900
key247,1714033
key248,1255034
key249,1181539
key250,1345291
key251,883888
key252,885602
key253,1204984
key254,1366907
key255,1218091
key256,1223958
key257,1384488
key258,1194371
key259,1192114
key260,1188567
key261,1188154
key262,4226423
key263,1183276
key264,1192100
key265,1199787
key266,1284295
key267,1233133
key268,1215894
key269,1280246
key270,1159502
key271,1006375
key272,886689
key273,1179176
key274,1836829
key275,1205883
key276,1199386
key277,1219748
key278,1180398
key279,1195747
key280,1200439
key281,1203515
key282,887490
key283,880507
key284,1231270
key285,6033054
key286,1260983
key287,1220884
key288,1269171
key289,2735180
key290,1286156
key291,1187004
key292,1374322
key293,1167361
key294,4277598
key295,1282185
key296,898129
key297,940247
key298,1201359
key299,1270392
key300,1178649
key301,1264948
key302,1285940
key303,1279165
key304,1178018
key305,1224122
key306,1198836
key307,2037573
key308,3170185
key309,1553377
key310,1384904
key311,1309163
key312,1382013
key313,4575415
key314,966744
key315,1274966
key316,1204445
key317,1451587
key318,1396884
key319,1313557
key320,1655228
key321,1272647
key322,1337975
key323,901363
key324,888813
key325,1184259
key326,1178114
key327,1184425
key328,1179321
key329,1396205
key330,1207089
key331,1186136
key332,1214600
key333,5261410
key334,1471627
key335,1375830
key336,1231196
key337,1198163
key338,1280140
key339,3731280
key340,2060849
key341,1278591
key342,1382432
key343,1327708
key344,3382534
key345,1308688
key346,1212620
key347,1080187
key348,1270943
key349,4218870
key350,1198848
key351,1216971
key352,1291942
key353,1364628
key354,3813804
key355,1205703
key356,1179149
key357,2221544
key358,1288047
key359,1192487
key360,3097419
key361,1835123
key362,1282681
key363,1270358
key364,1513716
key365,1364360
key366,1233857
key367,1292943
key368,2022467
key369,1241318
key370,897083
key371,889450
key372,1177695
key373,1200037
key374,3482953
key375,1184609
key376,1331916
key377,1297496
key378,3934449
key379,1736494
key380,1743270
key381,2562644
key382,1296328
key383,1842012
key384,1424322
key385,1252638
key386,1602013
key387,1203333
key388,2453412
key389,1229446
key390,1185435
key391,1192125
key392,1224529
key393,1263330
key394,1025044
key395,3336208
key396,1284153
key397,1629137
key398,1288071
key399,1173999
key400,1238110
key401,1170047
key402,1180080
key403,912453
key404,1185115
key405,1197616
key406,4087604
key407,1365291
key408,1739237
key409,4517578
key410,1199921
key411,1278106
key412,4500462
key413,1214878
key414,1234860
key415,1220917
key416,993616
key417,1268620
key418,1171802
key419,1267217
key420,1195748
key421,1187723
