key,latency(us)
key0,704630
key1,969254
key2,1273347
key3,1238499
key4,1162669
key5,1008351
key6,991279
key7,1041503
key8,987511
key9,986718
key10,1097238
key11,1265676
key12,691415
key13,732145
key14,1100325
key15,994509
key16,1003921
key17,981804
key18,975881
key19,1093023
key20,1558903
key21,1008714
key22,996151
key23,1351409
key24,796706
key25,882474
key26,987214
key27,1102307
key28,1001297
key29,978574
key30,999104
key31,1003852
key32,984064
key33,1038360
key34,1116715
key35,4756813
key36,1082995
key37,981230
key38,1206290
key39,1098790
key40,1188768
key41,1540211
key42,1035005
key43,1068517
key44,1183196
key45,777752
key46,689749
key47,712003
key48,1018992
key49,1398274
key50,1081340
key51,1263198
key52,995879
key53,1092466
key54,1027335
key55,3797582
key56,870124
key57,1414335
key58,1080206
key59,1001844
key60,1172835
key61,1086062
key62,1271365
key63,1009934
key64,995212
key65,979834
key66,1092500
key67,695529
key68,699515
key69,737558
key70,991480
key71,1172195
key72,983516
key73,979705
key74,1058422
key75,979399
key76,1261962
key77,986927
key78,987942
key79,1066496
key80,1083939
key81,697287
key82,700277
key83,1018074
key84,3367968
key85,1075386
key86,1022598
key87,1030332
key88,987174
key89,981141
key90,1184903
key91,1149780
key92,883698
key93,1173438
key94,1178238
key95,1082332
key96,986539
key97,973272
key98,1007692
key99,1113295
key100,983514
key101,1000354
key102,1027672
key103,1101251
key104,739955
key105,729285
key106,1036154
key107,1155145
key108,1079309
key109,1160860
key110,1529282
key111,1078515
key112,1362964
key113,1112946
key114,4510639
key115,1203481
key116,1169062
key117,985369
key118,1008135
key119,990019
key120,1005422
key121,989151
key122,1067928
key123,1168094
key124,1349287
key125,1327559
key126,780700
key127,1005164
key128,1399041
key129,3935474
key130,1095290
key131,1031255
key132,964985
key133,1243759
key134,1089486
key135,890926
key136,862622
key137,1056934
key138,1107699
key139,1169983
key140,1369098
key141,997201
key142,991918
key143,976668
key144,977851
key145,980090
key146,1086800
key147,772995
key148,727388
key149,733282
key150,988016
key151,970868
key152,1076781
key153,1094627
key154,983379
key155,1082296
key156,1085188
key157,1077789
key158,1080871
key159,1607890
key160,881384
key161,1320788
key162,1167876
key163,1237347
key164,1375014
key165,1071525
key166,1070854
key167,1090666
key168,1013078
key169,1077828
key170,1102358
key171,1074796
key172,698148
key173,697948
key174,976465
key175,1592370
key176,1066608
key177,1079722
key178,1073123
key179,1345767
key180,1079853
key181,1183230
key182,1199641
key183,976491
key184,1868578
key185,1079366
key186,996515
key187,1179929
key188,1273578
key189,2431657
key190,983544
key191,1002593
key192,1071115
key193,2852908
key194,876060
key195,1001858
key196,1276347
key197,1063695
key198,1172055
key199,980130
key200,1326445
key201,1254071
key202,988692
key203,1735001
key204,808154
key205,715002
key206,1075952
key207,1072782
key208,3349158
key209,1006710
key210,1341002
key211,1060333
key212,1837755
key213,1637683
key214,3147894
key215,1085350
key216,1070828
key217,991659
key218,978359
key219,992425
key220,1078548
key221,995139
key222,1178220
key223,1079491
key224,784059
key225,962732
key226,4777280
key227,982398
key228,990421
key229,1076141
key230,990030
key231,1099519
key232,1052934
key233,777601
key234,734860
key235,1276734
key236,1264243
key237,1007422
key238,987150
key239,993503
key240,1070515
key241,1072604
key242,1370175
key243,1164370
key244,1070313
key245,785026
key246,781394
key247,998491
key248,1194484
key249,1170345
key250,1446889
key251,3404874
key252,1048437
key253,1066657
key254,1382547
key255,783846
key256,869245
key257,1165016
key258,1080739
key259,1006599
key260,985562
key261,979186
key262,993436
key263,1004546
key264,1001333
key265,1076576
key266,1261296
key267,1161995
key268,786408
key269,962887
key270,984383
key271,1292014
key272,1520118
key273,991389
key274,981411
key275,1076877
key276,1002177
key277,1032750
key278,2105490
key279,1327866
key280,1177590
key281,1363616
key282,987299
key283,1999468
key284,1168803
key285,1054178
key286,1178851
key287,1064350
key288,1005634
key289,986777
key290,785077
key291,1077103
key292,1355722
key293,1073763
key294,996338
key295,1131214
key296,1084962
key297,1091726
key298,969084
key299,1080061
key300,1159997
key301,790789
key302,974871
key303,3187084
key304,1088603
key305,998040
key306,981882
key307,1083097
key308,976872
key309,1071062
key310,973416
key311,1062693
key312,784118
key313,731214
key314,1074980
key315,982542
key316,992738
