key,src,size,dram,oscm,osc,dl,total
1B/key0,2,1,59,1042,0,277744,278891
1B/key1,2,1,57,1085,0,270861,272064
1B/key2,2,1,78,1194,0,267908,269225
1B/key3,2,1,45913,23435,0,345837,415238
1B/key4,2,1,83,1366,0,265071,266577
1B/key5,2,1,70,1191,0,76362,77673
1B/key6,2,1,66,1052,0,72465,73628
1B/key7,2,1,61,1063,0,74392,75560
1B/key8,2,1,57,1081,0,70991,72171
1B/key9,2,1,58,1059,0,74899,76077
1B/key10,2,1,69,1121,0,75288,76536
1B/key11,2,1,67,1127,0,71122,72372
1B/key12,2,1,59,1128,0,75436,76674
1B/key13,2,1,68,1136,0,72421,73670
1B/key14,2,1,61,1064,0,74645,75817
1B/key15,2,1,59,1044,0,73323,74473
1B/key16,2,1,59,1014,0,73932,75054
1B/key17,2,1,60,1034,0,74254,75402
1B/key18,2,1,61,1076,0,72750,73936
1B/key19,2,1,60,1017,0,74284,75407
1B/key20,2,1,58,1023,0,261602,262737
1B/key21,2,1,56,1038,0,262334,263503
1B/key22,2,1,75,1117,0,264468,265717
1B/key23,2,1,66,1093,0,264153,265364
1B/key24,2,1,63,1042,0,265868,267030
1B/key25,2,1,60,1066,0,265920,267101
1B/key26,2,1,69,1062,0,263203,264387
1B/key27,2,1,60,1113,0,267816,269054
1B/key28,2,1,68,1123,0,270466,271712
1B/key29,2,1,66,1116,0,273859,275094
1B/key30,2,1,71,1127,0,275116,276364
1B/key31,2,1,63,1048,0,275167,276352
1B/key32,2,1,67,1235,0,277593,278947
1B/key33,2,1,56,1027,0,264521,265651
1B/key34,2,1,58,1180,0,273921,275206
1B/key35,2,1,59,1176,0,274546,275833
1B/key36,2,1,62,1231,0,261639,262977
1B/key37,2,1,66,1263,0,271685,273069
1B/key38,2,1,56,1176,0,279554,280832
1B/key39,2,1,68,1211,0,277031,278359
1B/key40,2,1,69,1190,0,273496,274818
1B/key41,2,1,81,1409,0,307782,309377
1B/key42,2,1,16050,15995,0,293487,325592
1B/key43,2,1,63,1354,0,278056,279528
1B/key44,2,1,73,1273,0,262508,263917
1B/key45,2,1,75,1298,0,276499,277935
1B/key46,2,1,71,1323,0,270239,271682
1B/key47,2,1,64,1247,0,261189,262564
1B/key48,2,1,70,1161,0,259824,261109
1B/key49,2,1,66,1107,0,259976,261200
1B/key50,2,1,67,1313,0,272904,274332
1B/key51,2,1,65,1208,0,284698,286017
1B/key52,2,1,66,1128,0,259848,261092
1B/key53,2,1,62,1157,0,259633,260910
1B/key54,2,1,65,1186,0,277831,279133
1B/key55,2,1,63,1135,0,264179,265427
1B/key56,2,1,66,1103,0,265073,266313
