key,src,size,dram,oscm,osc,dl,total
4194304B/key0,2,4194304,714,2947,0,827786,842488
4194304B/key1,2,4194304,119,1397,0,841040,848224
4194304B/key2,2,4194304,96,1387,0,832963,839521
4194304B/key3,2,4194304,106,1393,0,808722,815942
4194304B/key4,2,4194304,115,1585,0,823173,833569
4194304B/key5,2,4194304,105,1447,0,865494,875362
4194304B/key6,2,4194304,124,1430,0,830172,835010
4194304B/key7,2,4194304,107,1464,0,874214,881511
4194304B/key8,2,4194304,131,1492,0,803303,808339
4194304B/key9,2,4194304,189,1353,0,809961,814959
4194304B/key10,2,4194304,98,1423,0,830993,836003
4194304B/key11,2,4194304,107,1479,0,830085,836419
4194304B/key12,2,4194304,123,1578,0,799043,804099
4194304B/key13,2,4194304,91,1379,0,812653,817329
4194304B/key14,2,4194304,94,1553,0,789257,794341
4194304B/key15,2,4194304,89,1421,0,798105,804757
4194304B/key16,2,4194304,146,1484,0,838977,845125
4194304B/key17,2,4194304,104,1644,0,796735,802784
4194304B/key18,2,4194304,113,1416,0,625255,630318
4194304B/key19,2,4194304,109,1457,0,620188,625216
4194304B/key20,2,4194304,86,1459,0,878181,883016
4194304B/key21,2,4194304,88,1364,0,939130,943970
4194304B/key22,2,4194304,114,1448,0,818640,823789
4194304B/key23,2,4194304,116,1418,0,800670,806218
4194304B/key24,2,4194304,138,1642,0,842496,847746
4194304B/key25,2,4194304,105,1401,0,860040,865102
4194304B/key26,2,4194304,116,1369,0,833191,837910
4194304B/key27,2,4194304,97,1407,0,828048,835406
4194304B/key28,2,4194304,136,1574,0,1118565,1124011
4194304B/key29,2,4194304,85,1333,0,1074714,1079674
4194304B/key30,2,4194304,90,1375,0,1198169,1203898
4194304B/key31,2,4194304,69,1543,0,822134,827724
4194304B/key32,2,4194304,106,1414,0,601853,607373
4194304B/key33,2,4194304,121,1548,0,803837,809133
4194304B/key34,2,4194304,109,1442,0,824049,829151
4194304B/key35,2,4194304,93,1417,0,812685,817750
4194304B/key36,2,4194304,140,1363,0,826422,831841
4194304B/key37,2,4194304,100,1483,0,798437,803641
4194304B/key38,2,4194304,99,1342,0,803145,808295
4194304B/key39,2,4194304,100,1434,0,808412,814444
4194304B/key40,2,4194304,131,1528,0,801551,809252
4194304B/key41,2,4194304,102,1371,0,811999,817160
4194304B/key42,2,4194304,106,1388,0,798603,803945
4194304B/key43,2,4194304,111,1391,0,888214,894012
4194304B/key44,2,4194304,118,1508,0,791398,796655
4194304B/key45,2,4194304,103,1439,0,950535,1019725
4194304B/key46,2,4194304,243,1615,0,602180,607998
