key,src,size,dram,oscm,osc,dl,total
256B/key0,2,256,68,1234,0,95664,97012
256B/key1,2,256,57,1239,0,99575,100916
256B/key2,2,256,61,1249,0,111548,112903
256B/key3,2,256,60,1261,0,98338,99702
256B/key4,2,256,59,1220,0,89665,90992
256B/key5,2,256,60,1250,0,102327,103694
256B/key6,2,256,64,1230,0,105842,107181
256B/key7,2,256,58,1220,0,92637,93959
256B/key8,2,256,64,1206,0,304388,305708
256B/key9,2,256,56,1251,0,299016,300379
256B/key10,2,256,62,1238,0,281033,282379
256B/key11,2,256,59,1288,0,278801,280202
256B/key12,2,256,61,1254,0,281974,283338
256B/key13,2,256,59,1242,0,298741,300103
256B/key14,2,256,65,1297,0,289306,290721
256B/key15,2,256,62,1302,0,293851,295259
256B/key16,2,256,65,1278,0,291449,292842
256B/key17,2,256,55,1259,0,281517,282880
256B/key18,2,256,67,1238,0,283051,284407
256B/key19,2,256,55,1263,0,280656,282034
256B/key20,2,256,62,1315,0,296162,297586
256B/key21,2,256,62,1256,0,293896,295277
256B/key22,2,256,68,1308,0,279148,280577
256B/key23,2,256,60,1314,0,284831,286254
256B/key24,2,256,62,1256,0,289684,291056
256B/key25,2,256,65,1258,0,267314,268690
256B/key26,2,256,106,1311,0,284149,285613
256B/key27,2,256,64,1241,0,265202,266552
256B/key28,2,256,58,1230,0,286311,287645
256B/key29,2,256,61,1260,0,271841,273212
256B/key30,2,256,60,1305,0,277658,279094
256B/key31,2,256,82,1314,0,276608,278093
256B/key32,2,256,65,1324,0,284375,285826
256B/key33,2,256,66,1356,0,280733,282222
256B/key34,2,256,72,1317,0,292472,293923
256B/key35,2,256,75,1342,0,293229,294724
256B/key36,2,256,76,1357,0,309043,310554
256B/key37,2,256,78,1355,0,291662,293169
256B/key38,2,256,78,1295,0,273786,275230
256B/key39,2,256,61,1278,0,274142,275556
256B/key40,2,256,68,1344,0,294672,296161
256B/key41,2,256,61,1353,0,274241,275728
256B/key42,2,256,76,1338,0,297442,298943
256B/key43,2,256,92,1570,0,286572,288294
256B/key44,2,256,13145,3671,0,366181,383074
256B/key45,2,256,113,4226,0,304027,308443
256B/key46,2,256,72,1305,0,314320,315766
256B/key47,2,256,81,1381,0,100544,102065
256B/key48,2,256,62,1253,0,272708,274081
256B/key49,2,256,69,1331,0,95189,96641
256B/key50,2,256,64,1223,0,81439,82770
256B/key51,2,256,66,1233,0,84812,86161
256B/key52,2,256,54,1258,0,90260,91621
256B/key53,2,256,58,1170,0,85517,86792
256B/key54,2,256,62,1223,0,92175,93506
256B/key55,2,256,58,1207,0,91876,93190
256B/key56,2,256,57,1224,0,95236,96564
256B/key57,2,256,62,1188,0,83455,84746
256B/key58,2,256,52,1202,0,94073,95365
256B/key59,2,256,63,1215,0,287324,288647
256B/key60,2,256,68,1293,0,271506,272931
256B/key61,2,256,73,1321,0,328404,329861
256B/key62,2,256,72,1313,0,282326,283761
256B/key63,2,256,65,1298,0,293310,294734
256B/key64,2,256,70,1309,0,293986,295418
256B/key65,2,256,65,1250,0,287965,289331
256B/key66,2,256,71,1217,0,284682,286028
256B/key67,2,256,61,1252,0,286580,287945
256B/key68,2,256,67,1294,0,283211,284616
256B/key69,2,256,68,1288,0,276312,277719
256B/key70,2,256,66,1290,0,307069,308472
256B/key71,2,256,56,1259,0,286939,288322
256B/key72,2,256,67,1363,0,282481,283956
256B/key73,2,256,66,1338,0,277768,279220
256B/key74,2,256,61,1299,0,289335,290749
256B/key75,2,256,64,1367,0,279590,281067
256B/key76,2,256,60,1221,0,301592,302916
256B/key77,2,256,96,1249,0,270817,272211
256B/key78,2,256,62,1325,0,284418,285861
256B/key79,2,256,70,1296,0,291352,292772
256B/key80,2,256,65,1251,0,287536,288900
256B/key81,2,256,66,1237,0,277941,279305
256B/key82,2,256,65,1281,0,293774,295164
256B/key83,2,256,71,1367,0,285431,286921
