key,src,size,dram,oscm,osc,dl,total
1048576B/key117,2,1048576,89,1390,0,654420,656690
1048576B/key118,2,1048576,85,1459,0,647480,649834
1048576B/key119,2,1048576,88,1410,0,1243185,1245508
1048576B/key120,2,1048576,99,1421,0,664474,666969
1048576B/key121,2,1048576,98,1437,0,671693,674033
1048576B/key122,2,1048576,94,1407,0,727049,729365
1048576B/key123,2,1048576,111,1641,0,2300204,2302827
1048576B/key124,2,1048576,106,4769,0,883177,888852
1048576B/key125,2,1048576,85,1395,0,454915,457201
1048576B/key126,2,1048576,99,1374,0,901719,904075
1048576B/key127,2,1048576,111,1465,0,609656,612543
1048576B/key128,2,1048576,129,1658,0,708800,711406
1048576B/key129,2,1048576,78,1400,0,610232,612519
1048576B/key130,2,1048576,89,1459,0,620539,622948
1048576B/key131,2,1048576,88,1448,0,674439,676813
1048576B/key132,2,1048576,93,1458,0,672032,674364
1048576B/key133,2,1048576,86,1416,0,613532,615864
1048576B/key134,2,1048576,91,1401,0,682379,684633
1048576B/key135,2,1048576,83,1385,0,609722,611968
1048576B/key136,2,1048576,90,1376,0,776422,779296
1048576B/key137,2,1048576,105,1380,0,1037543,1039777
1048576B/key138,2,1048576,91,1410,0,1101865,1104096
1048576B/key139,2,1048576,87,1477,0,685445,687725
1048576B/key140,2,1048576,103,1418,0,614248,616875
1048576B/key141,2,1048576,108,1385,0,726377,728601
1048576B/key142,2,1048576,84,1414,0,731762,734011
1048576B/key143,2,1048576,83,1443,0,472451,474773
1048576B/key144,2,1048576,128,1607,0,479285,481764
1048576B/key145,2,1048576,98,1383,0,462458,464667
1048576B/key146,2,1048576,91,1452,0,647932,650219
1048576B/key147,2,1048576,85,1395,0,613300,615509
1048576B/key148,2,1048576,91,1386,0,685231,687449
1048576B/key149,2,1048576,80,1328,0,685277,687454
1048576B/key150,2,1048576,95,1392,0,617275,619488
1048576B/key151,2,1048576,94,1404,0,698612,700870
1048576B/key152,2,1048576,77,1393,0,596751,598945
1048576B/key153,2,1048576,85,1480,0,616067,618464
1048576B/key154,2,1048576,91,1401,0,720938,752890
1048576B/key155,2,1048576,3625,1618,0,731909,737879
1048576B/key156,2,1048576,99,1423,0,658340,660656
1048576B/key157,2,1048576,79,1432,0,605502,607751
1048576B/key158,2,1048576,82,1379,0,661380,663596
1048576B/key159,2,1048576,94,1395,0,611890,614166
1048576B/key160,2,1048576,116,1569,0,591250,593712
1048576B/key161,2,1048576,91,1429,0,735579,737832
1048576B/key162,2,1048576,81,1371,0,600901,603070
1048576B/key163,2,1048576,92,1336,0,441539,443766
1048576B/key164,2,1048576,120,1361,0,421651,423934
1048576B/key165,2,1048576,76,1382,0,409060,411302
1048576B/key166,2,1048576,86,1344,0,789252,791463
