key,src,size,dram,oscm,osc,dl,total
1024B/key0,2,1024,69,1156,0,279897,281174
1024B/key1,2,1024,72,1312,0,283098,284531
1024B/key2,2,1024,3973,1269,0,287593,292878
1024B/key3,2,1024,64,1228,0,306928,308263
1024B/key4,2,1024,65,1350,0,322130,323595
1024B/key5,2,1024,74,1300,0,287610,289053
1024B/key6,2,1024,69,1192,0,289619,290928
1024B/key7,2,1024,63,1158,0,274032,275325
1024B/key8,2,1024,82,1252,0,265287,266695
1024B/key9,2,1024,80,1239,0,277196,278591
1024B/key10,2,1024,66,1213,0,285353,286703
1024B/key11,2,1024,71,1247,0,302304,303697
1024B/key12,2,1024,70,1348,0,284406,285891
1024B/key13,2,1024,78,1297,0,270892,272341
1024B/key14,2,1024,74,1264,0,287978,289391
1024B/key15,2,1024,70,1242,0,284739,286109
1024B/key16,2,1024,68,1261,0,277957,279341
1024B/key17,2,1024,70,1223,0,277250,278637
1024B/key18,2,1024,80,1358,0,280496,281989
1024B/key19,2,1024,66,1249,0,309837,311228
1024B/key20,2,1024,69,1346,0,302474,303937
1024B/key21,2,1024,57,1309,0,293786,295250
1024B/key22,2,1024,75,1354,0,334444,335932
1024B/key23,2,1024,196,1534,0,299608,301398
1024B/key24,2,1024,71,1437,0,307044,308599
1024B/key25,2,1024,69,1304,0,86053,87475
1024B/key26,2,1024,52,1288,0,93444,94829
1024B/key27,2,1024,56,1254,0,92410,93795
1024B/key28,2,1024,76,1367,0,104771,106283
1024B/key29,2,1024,69,1336,0,88205,89679
1024B/key30,2,1024,61,1340,0,90839,92324
1024B/key31,2,1024,62,1326,0,90061,91543
1024B/key32,2,1024,61,1409,0,90119,91660
1024B/key33,2,1024,64,1220,0,88334,89674
1024B/key34,2,1024,73,1116,0,91995,93251
1024B/key35,2,1024,65,1331,0,93694,95160
1024B/key36,2,1024,68,1289,0,124029,125467
1024B/key37,2,1024,74,1345,0,291773,293262
1024B/key38,2,1024,71,1273,0,292772,294200
1024B/key39,2,1024,83,1261,0,280835,282263
1024B/key40,2,1024,74,1342,0,283355,284864
1024B/key41,2,1024,78,1340,0,276695,278195
1024B/key42,2,1024,75,1329,0,288494,289988
1024B/key43,2,1024,82,1477,0,270842,329006
1024B/key44,2,1024,105,1621,0,361770,363567
1024B/key45,2,1024,80,1369,0,298014,299551
1024B/key46,2,1024,83,1380,0,291540,293079
1024B/key47,2,1024,78,1373,0,304098,305633
1024B/key48,2,1024,70,1399,0,301364,302906
1024B/key49,2,1024,75,1409,0,294746,296315
1024B/key50,2,1024,77,1457,0,285980,287594
1024B/key51,2,1024,76,1327,0,283079,284564
1024B/key52,2,1024,71,1406,0,295634,297188
1024B/key53,2,1024,75,1360,0,293255,294771
1024B/key54,2,1024,80,1282,0,283279,284723
1024B/key55,2,1024,68,1364,0,295693,297199
1024B/key56,2,1024,78,1306,0,282699,284167
1024B/key57,2,1024,78,1197,0,290431,291793
1024B/key58,2,1024,92,1238,0,280625,282037
1024B/key59,2,1024,83,1197,0,341289,342653
1024B/key60,2,1024,77,1295,0,276409,277866
1024B/key61,2,1024,79,1291,0,296746,298210
1024B/key62,2,1024,83,1382,0,347697,349241
1024B/key63,2,1024,82,1376,0,291415,292947
1024B/key64,2,1024,94,1300,0,285811,287292
1024B/key65,2,1024,82,1339,0,286072,287577
1024B/key66,2,1024,84,1315,0,297388,298872
1024B/key67,2,1024,78,1220,0,287961,289331
1024B/key68,2,1024,85,1198,0,288552,289920
1024B/key69,2,1024,89,1288,0,279622,281072
1024B/key70,2,1024,78,1186,0,276607,277975
1024B/key71,2,1024,86,1261,0,282801,284254
1024B/key72,2,1024,27580,1391,0,318793,347832
1024B/key73,2,1024,70,1191,0,284405,285738
1024B/key74,2,1024,81,1148,0,96732,98037
1024B/key75,2,1024,80,1158,0,118098,119399
1024B/key76,2,1024,84,1164,0,87980,89288
1024B/key77,2,1024,67,1116,0,82431,83676
1024B/key78,2,1024,74,1159,0,98079,99378
1024B/key79,2,1024,77,1230,0,88953,90325
1024B/key80,2,1024,63,1127,0,91008,92256
1024B/key81,2,1024,66,1072,0,84030,85228
1024B/key82,2,1024,67,1165,0,86134,87433
1024B/key83,2,1024,65,1184,0,89519,90834
1024B/key84,2,1024,67,1172,0,84062,85380
1024B/key85,2,1024,70,1195,0,93048,94376
1024B/key86,2,1024,74,1188,0,81643,82960
1024B/key87,2,1024,71,1111,0,284377,285634
1024B/key88,2,1024,77,1211,0,285057,286426
1024B/key89,2,1024,75,1173,0,269509,270836
1024B/key90,2,1024,82,1169,0,281298,282629
1024B/key91,2,1024,73,1317,0,294956,296423
1024B/key92,2,1024,85,1377,0,275618,277141
1024B/key93,2,1024,100,1598,0,403148,404909
1024B/key94,2,1024,70,1324,0,285831,287298
1024B/key95,2,1024,78,1458,0,287384,289003
1024B/key96,2,1024,84,1392,0,278825,280381
1024B/key97,2,1024,75,1456,0,288284,289882
1024B/key98,2,1024,77,1397,0,281055,282610
1024B/key99,2,1024,78,1309,0,288044,289506
1024B/key100,2,1024,80,1340,0,301590,303092
1024B/key101,2,1024,80,1362,0,291622,293155
1024B/key102,2,1024,77,1382,0,286517,288054
1024B/key103,2,1024,66,1383,0,286930,288441
1024B/key104,2,1024,70,1296,0,289321,290740
1024B/key105,2,1024,69,1328,0,303344,304793
1024B/key106,2,1024,83,1313,0,288215,289670
1024B/key107,2,1024,59,1292,0,285300,286717
1024B/key108,2,1024,75,1364,0,293083,294596
1024B/key109,2,1024,72,1295,0,303424,304848
1024B/key110,2,1024,65,1309,0,286689,288130
1024B/key111,2,1024,76,1300,0,281328,282798
1024B/key112,2,1024,73,1384,0,270975,272500
1024B/key113,2,1024,70,1306,0,291630,293085
1024B/key114,2,1024,82,1373,0,288227,289750
1024B/key115,2,1024,63,1410,0,288597,290137
1024B/key116,2,1024,83,1354,0,275576,277082
1024B/key117,2,1024,82,1364,0,306454,307979
1024B/key118,2,1024,77,1344,0,287307,288802
1024B/key119,2,1024,73,1408,0,290865,292419
1024B/key120,2,1024,81,1349,0,294082,295583
1024B/key121,2,1024,81,1395,0,293711,295280
1024B/key122,2,1024,89,1506,0,278189,279851
1024B/key123,2,1024,103,1320,0,282313,283798
1024B/key124,2,1024,92,3708,0,287575,291436
1024B/key125,2,1024,70,1403,0,120299,121845
1024B/key126,2,1024,75,1363,0,88395,89905
1024B/key127,2,1024,73,1360,0,98372,99878
1024B/key128,2,1024,67,1292,0,82528,83953
1024B/key129,2,1024,70,1320,0,79601,81066
1024B/key130,2,1024,68,1397,0,90856,92408
1024B/key131,2,1024,76,1350,0,87815,89326
1024B/key132,2,1024,152,1346,0,113094,114663
1024B/key133,2,1024,74,1346,0,81112,82600
1024B/key134,2,1024,77,1343,0,134100,135580
1024B/key135,2,1024,70,1327,0,85790,87241
1024B/key136,2,1024,70,1351,0,87849,89358
1024B/key137,2,1024,74,1328,0,85515,86995
1024B/key138,2,1024,79,1444,0,83118,84707
1024B/key139,2,1024,73,1302,0,103880,105316
1024B/key140,2,1024,65,1283,0,280121,281546
1024B/key141,2,1024,79,1355,0,285572,287086
1024B/key142,2,1024,89,1466,0,287414,289055
1024B/key143,2,1024,97,1566,0,345230,346951
1024B/key144,2,1024,81,1382,0,284351,285864
1024B/key145,2,1024,68,1382,0,269707,271220
1024B/key146,2,1024,65,1410,0,282742,284266
1024B/key147,2,1024,73,1328,0,273827,275284
1024B/key148,2,1024,70,1274,0,272941,274336
1024B/key149,2,1024,71,1313,0,274758,276199
1024B/key150,2,1024,67,1304,0,294520,295947
