HR,WSS
1,90170117710
2,197898603370
3,385594415801
4,401230483599
5,415241751965
6,430344955902
7,450459632788
8,470264367531
9,501790257041
10,572483513566
11,612302860619
12,630834920032
13,986865055024
14,1113867090196
15,1294239525999
16,1352746750767
17,1364327653605
18,1376556745617
19,1413346441312
20,1495410164288
21,1600255617124
22,1600255617124
23,1600255617124
24,1600255617124
25,1600255617124
26,1600255617124
27,1600255617124
28,1600255617124
29,1600255617124
30,1600255617124
31,1600255617124
32,1600616205435
33,1613007921612
34,1656727436999
35,1695507487899
36,1697107723595
37,1823866269664
38,2072192930005
39,2161806678748
40,2246543921496
41,2246543921496
42,2264663894892
43,2338572776805
44,2475248141919
45,2513612750307
46,2513747755543
47,2513747755543
48,2513747755543
49,2513747755543
50,2513747755543
51,2513747755543
52,2513747755543
53,2513747755543
54,2513747755543
55,2513747755543
56,2514268221669
57,2525394289326
58,2564468747609
59,2601732681717
60,2604094733683
61,2646446690254
62,2753869039365
63,2852120232622
64,2934956669562
65,2934956669562
66,2934956669562
67,2959966235724
68,3048009224979
69,3177125321454
70,3216770284160
71,3216770284160
72,3216770284160
73,3216770284160
74,3216770284160
75,3216770284160
76,3216770284160
77,3216770284160
78,3216770284160
79,3216770284160
80,3217080143945
81,3229067379091
82,3273063436117
83,3293177778496
84,3293651703500
85,3368514560401
86,3478135735459
87,3576104046197
88,3620190767102
89,3620190767102
90,3626669778527
91,3667625969524
92,3789880238166
93,3883283659567
94,3883283659567
95,3883283659567
96,3883283659567
97,3883283659567
98,3883283659567
99,3883283659567
100,3883283659567
101,3883283659567
102,3883283659567
103,3883283659567
104,3883614631437
105,3894639331602
106,3934611923354
107,3968240285793
108,4017483093522
109,4115425875398
110,4191227788363
111,4192124304400
112,4211834634063
113,4235838537067
114,4314051224803
115,4430038901491
116,4451772887445
117,4451772887445
118,4451772887445
119,4451772887445
120,4451772887445
121,4451772887445
122,4451772887445
123,4451772887445
124,4451772887445
125,4451772887445
126,4451772887445
127,4451772887445
128,4455549408167
129,4469659379431
130,4516644970359
131,4532895197603
132,4587076680492
133,4669300011288
134,4744444595252
135,4750820040838
136,4767461652634
137,4786976805910
138,4862732887054
139,4981139856512
140,5005530902422
141,5005530902422
142,5005530902422
143,5005530902422
144,5005530902422
145,5005530902422
146,5005530902422
147,5005530902422
148,5005530902422
149,5005530902422
150,5005530902422
151,5005530902422
152,5005820128409
153,5018173210227
154,5062533599544
155,5080000488063
156,5082281081937
157,5174350735902
158,5276344042040
159,5362216756536
160,5362216756536
161,5386319394818
162,5387345658469
163,5389145874190
164,5433498037459
165,5537193085838
166,5632915383029
167,5632915383029
168,5632915383029
169,5632915383029
