HR,WSS
1,90170117710
2,197898603370
3,385594415801
4,401230483599
5,415241751965
6,430344955902
7,450459632788
8,470264367531
9,501790257041
10,572483513566
11,612302860619
12,630834920032
13,986865055024
14,1113867090196
15,1294239525999
16,1352746750767
17,1364327653605
18,1376556745617
19,1412420824763
20,1493613290434
21,1598458743270
22,1598458743270
23,1598458743270
24,1598458743270
25,1598458743270
26,1598458743270
27,1598458743270
28,1598458743270
29,1598458743270
30,1598458743270
31,1598458743270
32,1598803458464
33,1610720310769
34,1653123908484
35,1691106226730
36,1692619208540
37,1817823981533
38,2065156393651
39,2153911173805
40,2238648416553
41,2238648416553
42,2256290361968
43,2329906660883
44,2466582025997
45,2504946634385
46,2505081639621
47,2505081639621
48,2505081639621
49,2505081639621
50,2505081639621
51,2505081639621
52,2505081639621
53,2505081639621
54,2505081639621
55,2505081639621
56,2505579147275
57,2516202764725
58,2553933595695
59,2590954558486
60,2593218412696
61,2633360284556
62,2739273167638
63,2836919381842
64,2919755818782
65,2919755818782
66,2919755818782
67,2944113939452
68,3031678662570
69,3160794759045
70,3200439721751
71,3200439721751
72,3200439721751
73,3200439721751
74,3200439721751
75,3200439721751
76,3200439721751
77,3200439721751
78,3200439721751
79,3200439721751
80,3200732841273
81,3211415393682
82,3253540955054
83,3273617411713
84,3274028778213
85,3347326051901
86,3455549876862
87,3552363528101
88,3596450249006
89,3596450249006
90,3602294798770
91,3642651437837
92,3764469247131
93,3857872668532
94,3857872668532
95,3857872668532
96,3857872668532
97,3857872668532
98,3857872668532
99,3857872668532
100,3857872668532
101,3857872668532
102,3857872668532
103,3857872668532
104,3858190161658
105,3868686593939
106,3905963265941
107,3939591628380
108,3987252652191
109,4082623708643
110,4157802171540
111,4158698687577
112,4178366990077
113,4201644302011
114,4279327682133
115,4395315358821
116,4417049344775
117,4417049344775
118,4417049344775
119,4417049344775
120,4417049344775
121,4417049344775
122,4417049344775
123,4417049344775
124,4417049344775
125,4417049344775
126,4417049344775
127,4417049344775
128,4420812291453
129,4433412481088
130,4478901669282
131,4495151896526
132,4548384901938
133,4627970668801
134,4702871896901
135,4708427863362
136,4725069475158
137,4744035192853
138,4819009292617
139,4937416262075
140,4961807307985
141,4961807307985
142,4961807307985
143,4961807307985
144,4961807307985
145,4961807307985
146,4961807307985
147,4961807307985
148,4961807307985
149,4961807307985
150,4961807307985
151,4961807307985
152,4962083913390
153,4973587391001
154,5016720726719
155,5034187615238
156,5036365960515
157,5126427519430
158,5226699200774
159,5312571915270
160,5312571915270
161,5335868997537
162,5336895261188
163,5338227371802
164,5382525986803
165,5485424200623
166,5581146497814
167,5581146497814
168,5581146497814
169,5581146497814
