HR,WSS
1,10064232448
2,22409117696
3,35577135104
4,47208988672
5,62604181504
6,74437361664
7,84875935744
8,98067021824
9,111756181504
10,125579558912
11,137619308544
12,151601020928
13,160374456320
14,172575686656
15,185515114496
16,197377654784
17,207974563840
18,219737489408
19,227453960192
20,235857248256
21,244698841088
22,255580962816
23,265074769920
24,274351521792
25,284620226560
26,294303825920
27,303090892800
28,315935948800
29,328740110336
30,336838262784
31,345723895808
32,354291810304
33,363100897280
34,371295518720
35,379036106752
36,385196490752
37,392747286528
38,399337586688
39,405005139968
40,412923985920
41,418924986368
42,427610341376
43,434123046912
44,442213859328
45,451036577792
46,460476907520
47,469827059712
48,475553333248
49,485129977856
50,496174628864
51,502667411456
52,515814457344
53,526411366400
54,536847843328
55,543818776576
56,552160198656
57,562781224960
58,572896837632
59,580035543040
60,589123551232
61,596378648576
62,604693856256
63,612374675456
64,618910449664
65,627814957056
66,635849146368
67,645175181312
68,656528113664
69,666352222208
70,678348980224
71,689241587712
72,698845495296
73,707552870400
74,717112737792
75,726262611968
76,736742080512
77,747852791808
78,759446896640
79,771702652928
80,783518007296
81,794508132352
82,805200461824
83,816801906688
84,829078634496
85,840625553408
86,852726120448
87,862536597504
88,872562032640
89,885553889280
90,894222467072
91,904288796672
92,912871391232
93,922451181568
94,930409873408
95,939136122880
96,948683407360
97,957435871232
98,967734984704
99,977599987712
100,986531758080
101,997880496128
102,1009237622784
103,1022337482752
104,1032154251264
105,1040329998336
106,1050136281088
107,1061327732736
108,1072455221248
109,1082263601152
110,1096015675392
111,1105943592960
112,1115174207488
113,1126727417856
114,1137556062208
115,1146117685248
116,1155619880960
117,1166106689536
118,1175037411328
119,1183238324224
120,1189952356352
121,1200418193408
122,1211031879680
123,1220247814144
124,1230854160384
125,1241074630656
126,1252943462400
127,1262990917632
128,1272760500224
129,1281728970752
130,1293016891392
131,1301016477696
132,1312010797056
133,1321868460032
134,1331541573632
135,1341751558144
136,1353782919168
137,1365269020672
138,1377554137088
139,1387031166976
140,1394913312768
141,1404721692672
142,1412376297472
143,1422071431168
144,1433978011648
145,1441637859328
146,1450909368320
147,1458878545920
148,1472260472832
149,1482797613056
150,1493912518656
151,1502779277312
152,1510742163456
153,1521441832960
154,1528116019200
155,1538591293440
156,1545493020672
157,1552821518336
158,1562848002048
159,1571191521280
160,1583278456832
161,1591635607552
162,1601822523392
163,1609779118080
164,1619751075840
165,1626882441216
166,1634373468160
167,1642157047808
168,1653141929984
169,1661613375488
170,1671510884352
171,1679639445504
172,1689548488704
173,1699663052800
174,1707794759680
175,1716810416128
176,1726341971968
177,1738161520640
178,1747877625856
179,1755447296000
180,1763496165376
181,1770855071744
182,1778304155648
183,1787446689792
184,1795737780224
185,1804223905792
186,1813871853568
187,1822104223744
188,1833864003584
189,1843629391872
190,1851843936256
191,1861006393344
192,1868964036608
193,1877242544128
194,1886887346176
195,1895340965888
196,1904812752896
197,1914489012224
198,1920104136704
199,1928468627456
200,1934897446912
201,1944279056384
202,1953918615552
203,1959527448576
204,1966512013312
205,1971373211648
206,1977904791552
207,1983340609536
208,1994038181888
209,2000446029824
210,2007755653120
211,2017144602624
212,2027543330816
213,2036046233600
214,2044607856640
215,2049677721600
216,2055680819200
217,2064745758720
218,2073936527360
219,2080492224512
220,2088360738816
221,2098143952896
222,2105746128896
223,2113767735296
224,2118837600256
225,2127347843072
226,2133022736384
227,2137822068736
228,2144821313536
229,2150860062720
230,2157133692928
231,2162432147456
232,2170785103872
233,2177031471104
234,2183222263808
235,2192172908544
236,2198999138304
237,2206164058112
238,2217149988864
239,2223892332544
240,2232730779648
241,2243163062272
242,2253416038400
243,2261619048448
244,2272434061312
245,2281701376000
246,2290294456320
247,2299320598528
248,2309524291584
249,2318710865920
250,2327535681536
251,2334619860992
252,2342539755520
253,2353692409856
254,2365099868160
255,2374710067200
256,2381852966912
257,2391576412160
258,2400367673344
259,2411446927360
260,2422521987072
