key,src,size,dram,oscm,osc,dl,total
1024B/key0,2,1024,97,1168,0,125909,127244
1024B/key1,2,1024,83,1103,0,122719,123971
1024B/key2,2,1024,61,1167,0,141303,142594
1024B/key3,2,1024,75,1119,0,425337,426614
1024B/key4,2,1024,75,1347,0,414316,415801
1024B/key5,2,1024,70,1343,0,432115,433606
1024B/key6,2,1024,76,1349,0,413696,415198
1024B/key7,2,1024,77,1195,0,402613,403972
1024B/key8,2,1024,77,1274,0,389693,391125
1024B/key9,2,1024,71,1278,0,415387,416817
1024B/key10,2,1024,78,1230,0,410042,411435
1024B/key11,2,1024,95,1500,0,411750,413440
1024B/key12,2,1024,82,1420,0,410200,411792
1024B/key13,2,1024,122,1221,0,400347,401775
1024B/key14,2,1024,82,1242,0,405165,406579
1024B/key15,2,1024,82,1276,0,416606,418047
1024B/key16,2,1024,78,1267,0,417164,418594
1024B/key17,2,1024,84,1275,0,422654,424104
1024B/key18,2,1024,77,1364,0,547333,548860
1024B/key19,2,1024,77,1283,0,412815,414257
1024B/key20,2,1024,76,1292,0,400900,402356
1024B/key21,2,1024,72,1205,0,400382,401755
1024B/key22,2,1024,91,1269,0,402596,404042
1024B/key23,2,1024,69,1216,0,452149,453518
1024B/key24,2,1024,78,1261,0,404782,406205
1024B/key25,2,1024,72,1203,0,435254,436620
1024B/key26,2,1024,88,1196,0,415014,416373
1024B/key27,2,1024,106,1216,0,421786,423183
1024B/key28,2,1024,103,1429,0,452175,453773
1024B/key29,2,1024,75,1333,0,405466,406939
1024B/key30,2,1024,76,1272,0,397205,398620
1024B/key31,2,1024,72,1229,0,110531,111943
1024B/key32,2,1024,84,1329,0,119679,121626
1024B/key33,2,1024,88,1456,0,128476,130092
1024B/key34,2,1024,83,2294,0,126477,128925
1024B/key35,2,1024,90,1227,0,116794,118186
1024B/key36,2,1024,4655,2378,0,134050,141153
1024B/key37,2,1024,106,2254,0,121960,124405
1024B/key38,2,1024,82,1368,0,122678,124218
1024B/key39,2,1024,74,1266,0,111517,112943
1024B/key40,2,1024,73,1113,0,116513,117777
1024B/key41,2,1024,64,1162,0,125441,126747
1024B/key42,2,1024,75,1098,0,116924,118189
1024B/key43,2,1024,74,1170,0,106773,108125
1024B/key44,2,1024,68,1139,0,120923,122240
1024B/key45,2,1024,79,1199,0,116046,117441
1024B/key46,2,1024,72,1109,0,105416,106684
1024B/key47,2,1024,81,1199,0,404764,406132
