key,src,size,dram,oscm,osc,dl,total
256B/key0,2,256,74,1142,0,412344,413642
256B/key1,2,256,79,1195,0,406417,407763
256B/key2,2,256,66,1263,0,406263,407683
256B/key3,2,256,74,1233,0,385430,386817
256B/key4,2,256,101,1209,0,412614,414009
256B/key5,2,256,74,1179,0,407628,408963
256B/key6,2,256,69,1125,0,401592,402862
256B/key7,2,256,84,1270,0,387557,388989
256B/key8,2,256,71,1338,0,391596,393088
256B/key9,2,256,85,1379,0,398980,400529
256B/key10,2,256,83,1353,0,408091,409602
256B/key11,2,256,71,1282,0,406720,408157
256B/key12,2,256,76,1256,0,415408,416824
256B/key13,2,256,81,1282,0,412881,414321
256B/key14,2,256,79,1242,0,415174,416581
256B/key15,2,256,87,1249,0,427376,428797
256B/key16,2,256,87,1216,0,420757,422141
256B/key17,2,256,79,1264,0,541767,543181
256B/key18,2,256,88,1817,0,449996,451965
256B/key19,2,256,48620,7010,0,120678,176370
256B/key20,2,256,72,1341,0,411560,413040
256B/key21,2,256,79,1299,0,111969,113415
256B/key22,2,256,58,1219,0,113332,114667
256B/key23,2,256,71,1156,0,117970,119258
256B/key24,2,256,62,1159,0,118523,119800
256B/key25,2,256,63,1171,0,106491,107800
256B/key26,2,256,75,1146,0,127528,128818
256B/key27,2,256,71,1144,0,118625,119906
256B/key28,2,256,71,1118,0,117131,118392
256B/key29,2,256,69,1182,0,122387,123710
256B/key30,2,256,74,1471,0,421348,422965
256B/key31,2,256,65,1224,0,438507,439902
256B/key32,2,256,85,1237,0,414909,416316
256B/key33,2,256,62,1256,0,413041,414435
256B/key34,2,256,80,1240,0,400515,401921
256B/key35,2,256,80,1253,0,423648,425068
256B/key36,2,256,70,1254,0,410757,412162
256B/key37,2,256,74,1257,0,412680,414085
256B/key38,2,256,69,1304,0,388110,389569
256B/key39,2,256,73,1257,0,403984,405399
256B/key40,2,256,84,1251,0,435539,436966
256B/key41,2,256,73,1255,0,398059,399463
256B/key42,2,256,72,1234,0,402138,403527
256B/key43,2,256,79,1478,0,402618,404257
256B/key44,2,256,76,1323,0,415080,416559
256B/key45,2,256,79,1281,0,416358,417801
256B/key46,2,256,72,1209,0,408767,410132
256B/key47,2,256,81,1227,0,425894,427278
256B/key48,2,256,85,1322,0,420695,422187
256B/key49,2,256,77,1287,0,430388,431836
256B/key50,2,256,75,1255,0,421823,423237
256B/key51,2,256,80,1311,0,385645,387120
256B/key52,2,256,75,1275,0,414568,416005
256B/key53,2,256,72,1231,0,409433,410840
256B/key54,2,256,100,1466,0,433428,435066
256B/key55,2,256,88,1587,0,428979,430728
256B/key56,2,256,118,1407,0,413022,414615
256B/key57,2,256,75,1273,0,398146,399566
256B/key58,2,256,77,1384,0,112954,114482
256B/key59,2,256,74,1242,0,118504,119876
256B/key60,2,256,68,1143,0,107649,108916
256B/key61,2,256,65,1175,0,131717,133048
256B/key62,2,256,79,1199,0,132341,133699
256B/key63,2,256,85,1208,0,134152,135543
256B/key64,2,256,75,1226,0,120390,121771
256B/key65,2,256,84,1235,0,112289,113693
256B/key66,2,256,79,1210,0,137063,138438
256B/key67,2,256,80,1115,0,114867,116148
256B/key68,2,256,84,1221,0,402204,403596
256B/key69,2,256,89,1299,0,399551,401026
256B/key70,2,256,77,1353,0,403335,404854
256B/key71,2,256,71,1271,0,384728,386179
256B/key72,2,256,87,1300,0,418730,420201
256B/key73,2,256,83,1287,0,418050,419508
256B/key74,2,256,79,1246,0,419004,420414
256B/key75,2,256,88,1209,0,438404,439772
256B/key76,2,256,64,1244,0,412446,413839
256B/key77,2,256,72,1548,0,431264,432965
256B/key78,2,256,76,1422,0,411590,413181
256B/key79,2,256,72,1357,0,420316,421825
256B/key80,2,256,69,1226,0,427544,428912
256B/key81,2,256,69,1382,0,413469,414991
256B/key82,2,256,74,1349,0,418326,419836
256B/key83,2,256,96,1426,0,410490,412118
256B/key84,2,256,80,1240,0,410373,411772
256B/key85,2,256,77,1274,0,399403,400829
256B/key86,2,256,83,1228,0,411708,413103
256B/key87,2,256,80,1212,0,405664,407035
256B/key88,2,256,71,1240,0,400918,402313
256B/key89,2,256,76,1272,0,407339,408768
256B/key90,2,256,78,1440,0,412032,413609
256B/key91,2,256,104,1410,0,466022,467608
256B/key92,2,256,90,1929,0,429233,431307
256B/key93,2,256,10518,19877,0,468339,498799
256B/key94,2,256,77,1259,0,445468,446870
256B/key95,2,256,80,1344,0,116844,118331
256B/key96,2,256,73,1204,0,123233,124585
256B/key97,2,256,74,1172,0,147672,148989
256B/key98,2,256,80,1204,0,108956,110310
256B/key99,2,256,80,1168,0,116031,117355
256B/key100,2,256,91,1195,0,116254,117605
