key,src,size,dram,oscm,osc,dl,total
1B/key0,2,1,72,1195,0,398388,399742
1B/key1,2,1,69,1342,0,392427,393909
1B/key2,2,1,79,1385,0,400953,402496
1B/key3,2,1,84,1415,0,404631,406199
1B/key4,2,1,106,7264,0,440460,447900
1B/key5,2,1,174,1206,0,408854,410305
1B/key6,2,1,76,1251,0,121506,122912
1B/key7,2,1,88,1391,0,109152,110712
1B/key8,2,1,92,1391,0,103559,105124
1B/key9,2,1,70,1181,0,105938,107308
1B/key10,2,1,608,2147,0,124231,127052
1B/key11,2,1,98,1434,0,103175,104782
1B/key12,2,1,83,1256,0,102005,103418
1B/key13,2,1,68,1198,0,103729,105066
1B/key14,2,1,73,1219,0,103180,104542
1B/key15,2,1,73,1163,0,103618,104920
1B/key16,2,1,71,1147,0,102428,103720
1B/key17,2,1,70,1090,0,385592,386834
1B/key18,2,1,99,1175,0,380293,381641
1B/key19,2,1,85,1254,0,397988,399408
1B/key20,2,1,68,1378,0,392874,394400
1B/key21,2,1,80,1322,0,393722,395206
1B/key22,2,1,93,1317,0,386891,388382
1B/key23,2,1,82,1367,0,390444,391978
1B/key24,2,1,87,1362,0,385674,387207
1B/key25,2,1,84,1263,0,391966,393401
1B/key26,2,1,78,1236,0,390768,392168
1B/key27,2,1,79,1237,0,392455,393855
1B/key28,2,1,76,1254,0,397107,398507
1B/key29,2,1,76,1248,0,396402,397817
1B/key30,2,1,62,1246,0,387152,388543
1B/key31,2,1,71,1259,0,396116,397560
1B/key32,2,1,68,1223,0,394018,395382
1B/key33,2,1,77,1192,0,395325,396672
1B/key34,2,1,74,1343,0,398097,399588
1B/key35,2,1,81,1263,0,393730,395153
1B/key36,2,1,71,1254,0,396910,398320
1B/key37,2,1,81,1194,0,394683,396041
1B/key38,2,1,76,1192,0,395362,396700
1B/key39,2,1,70,1246,0,399500,400902
1B/key40,2,1,77,1224,0,400665,402051
1B/key41,2,1,81,1236,0,392116,393516
1B/key42,2,1,78,1175,0,402799,404125
1B/key43,2,1,102,1281,0,404786,406236
1B/key44,2,1,82,1603,0,400068,401812
1B/key45,2,1,106,1627,0,102599,104397
1B/key46,2,1,135,1794,0,102026,104021
1B/key47,2,1,129,1721,0,392561,394480
1B/key48,2,1,62,1359,0,105061,106552
1B/key49,2,1,73,1300,0,118868,120313
1B/key50,2,1,87,1253,0,102910,104331
1B/key51,2,1,79,1209,0,110070,111437
1B/key52,2,1,85,1261,0,102881,104301
1B/key53,2,1,80,1451,0,123606,125210
1B/key54,2,1,64,1480,0,105466,107084
1B/key55,2,1,79,1255,0,105735,107137
1B/key56,2,1,73,1153,0,103708,105006
1B/key57,2,1,75,1127,0,103637,104923
1B/key58,2,1,71,1129,0,108345,109617
1B/key59,2,1,68,1205,0,102406,103746
1B/key60,2,1,75,1179,0,103724,105088
1B/key61,2,1,83,1201,0,130139,131516
1B/key62,2,1,72,1155,0,402784,404093
1B/key63,2,1,84,1362,0,405623,407146
1B/key64,2,1,101,1229,0,403779,405194
1B/key65,2,1,72,1236,0,403155,404545
1B/key66,2,1,81,1199,0,401574,402927
1B/key67,2,1,82,1269,0,399547,400985
1B/key68,2,1,82,1261,0,404619,406053
1B/key69,2,1,81,1258,0,408461,409880
1B/key70,2,1,66,1255,0,397500,398895
1B/key71,2,1,81,1333,0,396106,397628
1B/key72,2,1,76,1447,0,396954,398565
1B/key73,2,1,83,1273,0,395449,396890
1B/key74,2,1,67,1260,0,398730,400129
1B/key75,2,1,82,1241,0,396257,397669
1B/key76,2,1,82,1304,0,382608,384080
1B/key77,2,1,64,1199,0,384902,386236
1B/key78,2,1,77,1192,0,381618,382968
1B/key79,2,1,79,1212,0,395178,396551
1B/key80,2,1,82,1253,0,395173,396591
1B/key81,2,1,80,1216,0,400364,401746
1B/key82,2,1,78,1234,0,387431,388823
1B/key83,2,1,72,1264,0,385223,386640
1B/key84,2,1,80,1275,0,385534,386963
1B/key85,2,1,68,1325,0,385743,387227
1B/key86,2,1,97,1281,0,433051,434494
1B/key87,2,1,327,1910,0,385333,387622
1B/key88,2,1,78,1420,0,450732,452293
1B/key89,2,1,77,1471,0,392937,394558
1B/key90,2,1,84,1240,0,102231,103614
1B/key91,2,1,74,1356,0,103174,104665
1B/key92,2,1,70,1243,0,101414,102784
1B/key93,2,1,71,1288,0,102087,103506
1B/key94,2,1,67,1265,0,104173,105559
1B/key95,2,1,77,1118,0,103129,104392
1B/key96,2,1,75,1126,0,103073,104329
1B/key97,2,1,61,1181,0,102477,103784
1B/key98,2,1,72,1100,0,101698,102943
1B/key99,2,1,75,1283,0,100961,102393
1B/key100,2,1,79,1182,0,103116,104443
1B/key101,2,1,67,1131,0,101348,102629
1B/key102,2,1,66,1127,0,102799,104065
1B/key103,2,1,73,1164,0,396978,398298
1B/key104,2,1,133,1214,0,396754,398187
1B/key105,2,1,76,1349,0,405332,406836
1B/key106,2,1,74,1249,0,401306,402710
1B/key107,2,1,75,1353,0,392811,394321
1B/key108,2,1,79,1300,0,392109,393565
1B/key109,2,1,84,1280,0,394337,395784
1B/key110,2,1,81,1238,0,389817,391210
1B/key111,2,1,77,1318,0,383119,384624
1B/key112,2,1,83,1357,0,380664,382192
1B/key113,2,1,66,1228,0,394711,396079
1B/key114,2,1,84,1453,0,389303,390925
1B/key115,2,1,71,1291,0,383531,384963
1B/key116,2,1,80,1287,0,389772,391219
1B/key117,2,1,78,1363,0,396400,397924
1B/key118,2,1,72,1284,0,381736,383170
1B/key119,2,1,71,1315,0,393329,394785
1B/key120,2,1,78,1304,0,395349,396817
1B/key121,2,1,83,1300,0,396559,398026
1B/key122,2,1,79,1244,0,422972,424382
1B/key123,2,1,79,1286,0,400495,401944
1B/key124,2,1,77,1498,0,403930,405602
1B/key125,2,1,116,3078,0,415416,418676
1B/key126,2,1,75,1566,0,387943,389663
1B/key127,2,1,72,1361,0,399078,400598
1B/key128,2,1,93,1391,0,401995,413862
1B/key129,2,1,4222,4000,0,518830,527122
1B/key130,2,1,70,1382,0,385084,386600
1B/key131,2,1,62,1340,0,102900,104366
1B/key132,2,1,75,1173,0,101530,102837
1B/key133,2,1,64,1167,0,103642,104936
1B/key134,2,1,68,1303,0,102368,103817
1B/key135,2,1,64,1265,0,102091,103488
1B/key136,2,1,80,1204,0,104705,106056
1B/key137,2,1,75,1167,0,102809,104125
1B/key138,2,1,74,1259,0,102036,103436
1B/key139,2,1,74,1123,0,103520,104779
1B/key140,2,1,70,1214,0,105150,106505
1B/key141,2,1,72,1188,0,103493,104832
1B/key142,2,1,74,1166,0,105141,106455
1B/key143,2,1,78,1196,0,103348,104696
1B/key144,2,1,75,1193,0,104965,106305
1B/key145,2,1,82,1124,0,101385,102655
1B/key146,2,1,73,1124,0,101789,103061
1B/key147,2,1,82,1112,0,102778,104052
1B/key148,2,1,70,1167,0,101670,102982
1B/key149,2,1,82,1074,0,398079,399321
1B/key150,2,1,75,1197,0,399838,401194
1B/key151,2,1,69,1249,0,392706,394133
1B/key152,2,1,82,1280,0,396618,398066
1B/key153,2,1,81,1218,0,396779,398156
1B/key154,2,1,108,1168,0,394409,395775
1B/key155,2,1,80,1248,0,382325,383732
1B/key156,2,1,84,1279,0,381873,383315
1B/key157,2,1,79,1356,0,399529,401045
1B/key158,2,1,77,1347,0,394245,395755
1B/key159,2,1,84,1202,0,401109,402484
1B/key160,2,1,75,1231,0,400815,402204
1B/key161,2,1,76,1238,0,396754,398151
1B/key162,2,1,73,1245,0,393418,394830
1B/key163,2,1,80,1215,0,386639,388017
1B/key164,2,1,77,1254,0,397159,398571
1B/key165,2,1,78,1168,0,399372,400706
1B/key166,2,1,78,1256,0,393813,395229
1B/key167,2,1,80,1506,0,444754,446399
1B/key168,2,1,107,1581,0,504673,506429
1B/key169,2,1,72,1294,0,407044,408492
1B/key170,2,1,76,1260,0,400400,401808
1B/key171,2,1,81,1204,0,397107,398474
1B/key172,2,1,81,1240,0,400774,402182
1B/key173,2,1,88,1205,0,396755,398130
1B/key174,2,1,86,1437,0,403951,405543
1B/key175,2,1,5715,1481,0,415056,422323
1B/key176,2,1,82,1252,0,406612,408012
1B/key177,2,1,74,1247,0,101470,102860
1B/key178,2,1,66,1135,0,103742,104999
1B/key179,2,1,59,1109,0,105615,106850
1B/key180,2,1,71,1109,0,103267,104511
1B/key181,2,1,65,1097,0,102556,103784
1B/key182,2,1,74,1068,0,102708,103906
1B/key183,2,1,78,1120,0,102662,103918
1B/key184,2,1,56,1054,0,101988,103150
1B/key185,2,1,74,1080,0,102440,103650
1B/key186,2,1,67,1150,0,104197,105475
1B/key187,2,1,68,1059,0,103455,104654
1B/key188,2,1,73,1078,0,101596,102820
1B/key189,2,1,71,1096,0,102196,103428
1B/key190,2,1,72,1157,0,102022,103321
1B/key191,2,1,72,1202,0,102213,103575
1B/key192,2,1,79,1241,0,101370,102763
1B/key193,2,1,64,1144,0,102475,103748
1B/key194,2,1,81,1142,0,394331,395635
1B/key195,2,1,75,1188,0,397299,398642
1B/key196,2,1,81,1222,0,394609,395991
1B/key197,2,1,78,1230,0,394129,395521
1B/key198,2,1,79,1210,0,383172,384543
1B/key199,2,1,79,1230,0,402212,403623
1B/key200,2,1,75,1312,0,396594,398067
1B/key201,2,1,80,1252,0,394499,395914
1B/key202,2,1,68,1209,0,398159,399504
1B/key203,2,1,78,1174,0,398236,399570
1B/key204,2,1,81,1318,0,396109,397592
1B/key205,2,1,79,1241,0,401281,402689
1B/key206,2,1,59,1234,0,396810,398185
1B/key207,2,1,84,1473,0,401787,403433
1B/key208,2,1,75,1397,0,394641,396186
1B/key209,2,1,84,1397,0,394867,396440
1B/key210,2,1,110,1541,0,467092,468814
1B/key211,2,1,70,1184,0,395106,396432
1B/key212,2,1,71,1254,0,397267,398669
1B/key213,2,1,71,1238,0,403953,405337
1B/key214,2,1,76,1209,0,402016,403384
1B/key215,2,1,81,1241,0,397185,398592
1B/key216,2,1,76,1254,0,393629,395036
1B/key217,2,1,81,1187,0,397202,398559
1B/key218,2,1,81,1227,0,386033,387417
1B/key219,2,1,93,1441,0,408609,410202
1B/key220,2,1,68,5943,0,440661,446740
1B/key221,2,1,94,1429,0,384818,386420
