key,src,size,dram,oscm,osc,dl,total
4096B/key127,2,4096,86,1308,0,399056,400535
4096B/key128,2,4096,90,1286,0,412613,414076
4096B/key129,2,4096,85,1374,0,414217,415764
4096B/key130,2,4096,78,1281,0,410602,412043
4096B/key131,2,4096,82,1252,0,404289,405711
4096B/key132,2,4096,84,1191,0,408065,409423
4096B/key133,2,4096,71,1251,0,409823,411235
4096B/key134,2,4096,89,1373,0,428680,430212
4096B/key135,2,4096,80,1267,0,398221,399634
4096B/key136,2,4096,71,1202,0,120814,122150
4096B/key137,2,4096,64,1132,0,124940,126211
4096B/key138,2,4096,91,1268,0,124689,126131
4096B/key139,2,4096,81,1248,0,116504,117905
4096B/key140,2,4096,80,1162,0,122308,128565
4096B/key141,2,4096,97,3030,0,145757,148951
4096B/key142,2,4096,100,1345,0,116461,117968
4096B/key143,2,4096,88,1144,0,119283,120578
4096B/key144,2,4096,74,1154,0,119226,120530
4096B/key145,2,4096,77,1189,0,132316,133667
4096B/key146,2,4096,64,1182,0,118962,120279
4096B/key147,2,4096,76,1170,0,116151,117459
4096B/key148,2,4096,72,1099,0,407525,408777
4096B/key149,2,4096,80,1258,0,408670,410087
4096B/key150,2,4096,72,1294,0,402167,403610
4096B/key151,2,4096,68,1299,0,412560,414042
4096B/key152,2,4096,92,1295,0,410632,412094
4096B/key153,2,4096,61,1137,0,413869,415135
4096B/key154,2,4096,74,1212,0,410270,411641
4096B/key155,2,4096,82,1271,0,418132,419573
4096B/key156,2,4096,82,1267,0,408271,409693
4096B/key157,2,4096,66,1298,0,395259,396705
4096B/key158,2,4096,74,1218,0,408672,410038
4096B/key159,2,4096,67,1191,0,396407,397744
4096B/key160,2,4096,81,1415,0,407724,409307
4096B/key161,2,4096,88,1361,0,404536,406060
4096B/key162,2,4096,78,1332,0,410638,412132
4096B/key163,2,4096,87,1227,0,416617,418012
4096B/key164,2,4096,71,1252,0,420761,422166
4096B/key165,2,4096,81,1167,0,414916,416251
4096B/key166,2,4096,77,1217,0,434536,435911
4096B/key167,2,4096,75,1147,0,411969,413278
4096B/key168,2,4096,79,1184,0,404716,406065
4096B/key169,2,4096,88,1211,0,412155,413537
4096B/key170,2,4096,77,1222,0,406704,408083
4096B/key171,2,4096,79,1200,0,387909,389269
4096B/key172,2,4096,84,1208,0,408149,409529
4096B/key173,2,4096,65,1367,0,612107,613610
4096B/key174,2,4096,98,1483,0,428474,430122
4096B/key175,2,4096,95,1405,0,119336,120900
4096B/key176,2,4096,73,1156,0,103949,105247
4096B/key177,2,4096,64,1153,0,115610,116890
4096B/key178,2,4096,71,1158,0,116223,117505
4096B/key179,2,4096,72,1056,0,123437,124628
4096B/key180,2,4096,65,1116,0,117960,119221
4096B/key181,2,4096,94,1142,0,114204,115531
4096B/key182,2,4096,68,1155,0,111919,113215
4096B/key183,2,4096,71,1149,0,119666,120954
4096B/key184,2,4096,71,1113,0,106291,107537
4096B/key185,2,4096,71,1132,0,123402,124684
4096B/key186,2,4096,86,1212,0,125432,126805
4096B/key187,2,4096,68,1136,0,118630,119910
4096B/key188,2,4096,77,1100,0,104924,106189
4096B/key189,2,4096,75,1174,0,121420,122744
4096B/key190,2,4096,67,1168,0,403738,405056
4096B/key191,2,4096,77,1260,0,398060,399503
4096B/key192,2,4096,100,1380,0,399298,400854
4096B/key193,2,4096,64,1145,0,405411,406700
4096B/key194,2,4096,77,1255,0,399214,400644
4096B/key195,2,4096,99,1278,0,427109,428572
4096B/key196,2,4096,79,1295,0,420804,422262
4096B/key197,2,4096,78,1283,0,408181,409621
4096B/key198,2,4096,78,1424,0,422127,423725
4096B/key199,2,4096,73,1319,0,404361,405833
4096B/key200,2,4096,77,1267,0,411037,412467
4096B/key201,2,4096,77,1218,0,389706,391081
4096B/key202,2,4096,75,1256,0,414877,416293
4096B/key203,2,4096,68,1218,0,392367,393729
4096B/key204,2,4096,70,1158,0,421716,423027
4096B/key205,2,4096,68,1160,0,415409,416722
4096B/key206,2,4096,77,1178,0,426404,427737
4096B/key207,2,4096,82,1300,0,422517,423979
4096B/key208,2,4096,75,1278,0,413413,414849
4096B/key209,2,4096,79,1299,0,405007,406470
4096B/key210,2,4096,77,1205,0,416103,417473
4096B/key211,2,4096,72,1190,0,416993,418330
4096B/key212,2,4096,68,1146,0,423431,424746
4096B/key213,2,4096,90,1461,0,429351,430987
4096B/key214,2,4096,5319,32197,0,517482,555101
4096B/key215,2,4096,78,1312,0,454686,456153
4096B/key216,2,4096,75,1304,0,391463,392908
4096B/key217,2,4096,72,1265,0,120058,121472
4096B/key218,2,4096,77,1219,0,126223,127598
4096B/key219,2,4096,74,1244,0,123905,125305
4096B/key220,2,4096,84,1147,0,116181,117493
4096B/key221,2,4096,70,1182,0,112264,113587
4096B/key222,2,4096,73,1210,0,119069,120417
4096B/key223,2,4096,67,1137,0,108619,109904
4096B/key224,2,4096,77,1165,0,122922,124242
4096B/key225,2,4096,71,1170,0,108920,110233
4096B/key226,2,4096,73,1343,0,120628,122133
4096B/key227,2,4096,78,1172,0,123149,124477
4096B/key228,2,4096,70,1111,0,121625,122880
4096B/key229,2,4096,72,1133,0,405106,406398
4096B/key230,2,4096,78,1192,0,412510,413863
4096B/key231,2,4096,83,1218,0,413152,414558
4096B/key232,2,4096,81,1385,0,405646,407191
4096B/key233,2,4096,66,1369,0,409138,410663
4096B/key234,2,4096,88,1319,0,422433,423922
4096B/key235,2,4096,74,1345,0,409814,411328
4096B/key236,2,4096,78,1166,0,399443,400775
4096B/key237,2,4096,73,1228,0,404626,406004
4096B/key238,2,4096,72,1182,0,425522,426860
4096B/key239,2,4096,75,1231,0,418759,420137
4096B/key240,2,4096,61,1216,0,401432,402785
4096B/key241,2,4096,76,1326,0,418050,419533
4096B/key242,2,4096,74,1203,0,392214,393566
4096B/key243,2,4096,78,1220,0,406457,407837
4096B/key244,2,4096,82,1228,0,412236,413628
4096B/key245,2,4096,84,1211,0,425763,427137
4096B/key246,2,4096,83,1157,0,406694,408023
4096B/key247,2,4096,82,1232,0,415298,416698
4096B/key248,2,4096,78,1170,0,398457,399792
4096B/key249,2,4096,86,1207,0,413072,414443
4096B/key250,2,4096,85,1364,0,421490,423021
4096B/key251,2,4096,93,3817,0,423746,427733
4096B/key252,2,4096,83,1334,0,409126,410615
4096B/key253,2,4096,85,1241,0,407429,408810
4096B/key254,2,4096,72,1273,0,484656,486070
4096B/key255,2,4096,75,1233,0,403976,405348
4096B/key256,2,4096,79,1294,0,118840,120272
4096B/key257,2,4096,66,1147,0,126012,127277
4096B/key258,2,4096,66,1111,0,124796,126040
4096B/key259,2,4096,72,1214,0,125787,127143
4096B/key260,2,4096,67,1250,0,118362,119756
4096B/key261,2,4096,72,1059,0,106162,107382
4096B/key262,2,4096,72,1097,0,120751,122002
4096B/key263,2,4096,78,1165,0,117927,119247
4096B/key264,2,4096,70,1152,0,116792,118083
4096B/key265,2,4096,69,1112,0,114561,115818
4096B/key266,2,4096,72,1102,0,127903,129140
4096B/key267,2,4096,64,1102,0,118450,119683
4096B/key268,2,4096,64,1201,0,400309,401666
4096B/key269,2,4096,76,1373,0,396508,398032
4096B/key270,2,4096,62,1421,0,388953,390529
4096B/key271,2,4096,77,1265,0,404681,406128
4096B/key272,2,4096,91,1305,0,407243,408715
4096B/key273,2,4096,83,1292,0,407518,408975
4096B/key274,2,4096,80,1257,0,410464,411884
4096B/key275,2,4096,75,1214,0,417625,419004
4096B/key276,2,4096,90,1259,0,420936,422377
4096B/key277,2,4096,74,1183,0,419121,420449
4096B/key278,2,4096,74,1150,0,398457,399763
4096B/key279,2,4096,70,1206,0,392775,394126
4096B/key280,2,4096,73,1276,0,414427,415858
4096B/key281,2,4096,74,1268,0,393328,394755
4096B/key282,2,4096,75,1215,0,401981,403346
4096B/key283,2,4096,81,1237,0,416866,418258
4096B/key284,2,4096,76,1244,0,407234,408636
4096B/key285,2,4096,67,1306,0,420864,422327
4096B/key286,2,4096,82,1315,0,406501,407986
4096B/key287,2,4096,100,1477,0,408949,410588
4096B/key288,2,4096,79,1231,0,412091,413474
4096B/key289,2,4096,65,1291,0,398034,399473
4096B/key290,2,4096,78,1214,0,423402,424772
4096B/key291,2,4096,79,1244,0,423391,424791
4096B/key292,2,4096,69,1192,0,415459,416805
4096B/key293,2,4096,63,1191,0,451628,452948
4096B/key294,2,4096,70,1233,0,387985,389352
4096B/key295,2,4096,78,1172,0,112844,114154
4096B/key296,2,4096,77,1164,0,122106,123404
4096B/key297,2,4096,66,1095,0,111892,113114
4096B/key298,2,4096,58,1170,0,118429,119713
4096B/key299,2,4096,59,1372,0,132943,134441
4096B/key300,2,4096,72,1310,0,127813,129270
4096B/key301,2,4096,70,1264,0,114316,115739
4096B/key302,2,4096,80,1208,0,129346,130705
4096B/key303,2,4096,80,1203,0,121281,122633
4096B/key304,2,4096,74,1171,0,124406,125724
4096B/key305,2,4096,60,1121,0,114303,115555
4096B/key306,2,4096,67,1150,0,132263,133550
4096B/key307,2,4096,65,1158,0,164185,165495
4096B/key308,2,4096,65,1148,0,121604,122890
4096B/key309,2,4096,72,1146,0,113908,115193
4096B/key310,2,4096,60,1192,0,119332,120664
4096B/key311,2,4096,71,1086,0,457018,458291
4096B/key312,2,4096,82,1226,0,405435,406818
4096B/key313,2,4096,84,1089,0,415033,416286
4096B/key314,2,4096,77,1174,0,422023,423355
4096B/key315,2,4096,81,1149,0,413186,414496
4096B/key316,2,4096,78,1193,0,412045,413403
4096B/key317,2,4096,77,1156,0,392846,394161
4096B/key318,2,4096,78,1244,0,420539,421946
4096B/key319,2,4096,83,1293,0,413320,414775
4096B/key320,2,4096,65,1290,0,405688,407120
4096B/key321,2,4096,84,1253,0,401840,403252
4096B/key322,2,4096,77,1252,0,410413,411827
4096B/key323,2,4096,83,1235,0,421962,423361
4096B/key324,2,4096,76,1218,0,406177,407557
4096B/key325,2,4096,60,1221,0,409522,410900
4096B/key326,2,4096,79,1701,0,417372,419207
4096B/key327,2,4096,96,1337,0,486392,487915
4096B/key328,2,4096,83,1186,0,404773,406123
4096B/key329,2,4096,75,1223,0,395135,396503
4096B/key330,2,4096,72,1259,0,400679,402088
4096B/key331,2,4096,76,1310,0,412563,414026
4096B/key332,2,4096,75,1272,0,412488,413920
4096B/key333,2,4096,74,1330,0,416574,418060
4096B/key334,2,4096,73,1256,0,417224,418637
4096B/key335,2,4096,89,1534,0,419750,421448
4096B/key336,2,4096,95,1467,0,433402,435036
4096B/key337,2,4096,74,1251,0,393425,394821
4096B/key338,2,4096,78,1290,0,115277,116709
4096B/key339,2,4096,77,1238,0,117558,118928
4096B/key340,2,4096,57,1088,0,121441,122658
4096B/key341,2,4096,77,1181,0,115281,116614
4096B/key342,2,4096,76,1048,0,117296,118483
4096B/key343,2,4096,70,1109,0,109445,110682
4096B/key344,2,4096,67,1035,0,120316,121500
4096B/key345,2,4096,79,1181,0,126263,127605
4096B/key346,2,4096,78,1124,0,121540,122814
4096B/key347,2,4096,77,1160,0,114234,115537
4096B/key348,2,4096,71,1143,0,412560,413858
4096B/key349,2,4096,79,1205,0,384907,386293
4096B/key350,2,4096,80,1217,0,431397,432776
4096B/key351,2,4096,81,1239,0,404389,405819
4096B/key352,2,4096,89,1317,0,397043,398522
4096B/key353,2,4096,75,1242,0,390582,391981
4096B/key354,2,4096,72,1235,0,402594,403972
4096B/key355,2,4096,81,1197,0,396007,397368
4096B/key356,2,4096,79,1184,0,395680,397028
4096B/key357,2,4096,81,1228,0,410462,411854
4096B/key358,2,4096,82,1210,0,399229,400600
4096B/key359,2,4096,75,1211,0,420055,421425
4096B/key360,2,4096,84,1267,0,393777,395211
4096B/key361,2,4096,81,1200,0,400679,402043
4096B/key362,2,4096,84,1328,0,419228,420712
4096B/key363,2,4096,145,1571,0,413793,415589
4096B/key364,2,4096,78,1274,0,412335,413762
4096B/key365,2,4096,63,1303,0,405775,407217
4096B/key366,2,4096,80,1212,0,402855,404226
4096B/key367,2,4096,80,1237,0,416403,417810
4096B/key368,2,4096,83,1207,0,409316,410685
4096B/key369,2,4096,73,1426,0,409723,411299
4096B/key370,2,4096,78,1331,0,410501,411992
4096B/key371,2,4096,74,1270,0,427127,428556
4096B/key372,2,4096,85,1244,0,404256,405674
4096B/key373,2,4096,83,1284,0,424220,425666
4096B/key374,2,4096,62,1241,0,392990,394357
4096B/key375,2,4096,69,1312,0,400388,401838
4096B/key376,2,4096,85,1365,0,398092,399625
4096B/key377,2,4096,81,1277,0,120808,122235
4096B/key378,2,4096,81,1145,0,114272,115561
4096B/key379,2,4096,74,1092,0,119779,121004
4096B/key380,2,4096,62,1091,0,121358,122603
4096B/key381,2,4096,62,1117,0,113482,114750
4096B/key382,2,4096,77,1153,0,105007,106320
4096B/key383,2,4096,69,1132,0,117768,119044
4096B/key384,2,4096,74,1131,0,120083,121364
4096B/key385,2,4096,68,1133,0,115950,117226
4096B/key386,2,4096,72,1146,0,130088,131391
4096B/key387,2,4096,72,1219,0,163880,165235
4096B/key388,2,4096,63,1160,0,406197,407504
4096B/key389,2,4096,78,1231,0,424375,425769
4096B/key390,2,4096,71,1185,0,399719,401061
4096B/key391,2,4096,83,1198,0,421389,422784
4096B/key392,2,4096,91,1302,0,396457,397926
4096B/key393,2,4096,78,1196,0,426852,428213
4096B/key394,2,4096,69,1221,0,400182,401557
4096B/key395,2,4096,73,1281,0,411431,412862
4096B/key396,2,4096,79,1306,0,399498,400972
4096B/key397,2,4096,80,1256,0,430893,432316
4096B/key398,2,4096,84,1334,0,423445,424925
4096B/key399,2,4096,105,1433,0,433707,435318
4096B/key400,2,4096,78,1238,0,408687,410076
4096B/key401,2,4096,71,1165,0,402124,403433
4096B/key402,2,4096,87,1204,0,393519,394884
4096B/key403,2,4096,70,1276,0,407320,408736
4096B/key404,2,4096,81,1358,0,407357,408879
4096B/key405,2,4096,81,1386,0,391732,393282
4096B/key406,2,4096,85,1317,0,416312,417800
4096B/key407,2,4096,84,1226,0,408375,409766
4096B/key408,2,4096,68,1282,0,450958,452384
4096B/key409,2,4096,78,1267,0,407779,409208
4096B/key410,2,4096,76,1250,0,407538,408949
4096B/key411,2,4096,76,1218,0,388938,390313
4096B/key412,2,4096,96,1343,0,402541,404045
4096B/key413,2,4096,69,1226,0,445631,446997
4096B/key414,2,4096,76,1262,0,409276,410683
4096B/key415,2,4096,61,1202,0,116844,118173
4096B/key416,2,4096,78,1170,0,123637,124944
4096B/key417,2,4096,55,1117,0,106721,107956
4096B/key418,2,4096,71,1172,0,120313,121632
4096B/key419,2,4096,63,1180,0,116537,117840
4096B/key420,2,4096,71,1175,0,118050,119366
4096B/key421,2,4096,77,1138,0,107658,108941
4096B/key422,2,4096,81,1158,0,114783,116090
4096B/key423,2,4096,64,1109,0,114930,116186
4096B/key424,2,4096,81,1156,0,124663,125967
4096B/key425,2,4096,71,1150,0,106446,107738
4096B/key426,2,4096,71,1153,0,121453,122747
4096B/key427,2,4096,76,1167,0,119928,121240
4096B/key428,2,4096,68,1188,0,145240,146574
4096B/key429,2,4096,77,1152,0,113658,114946
4096B/key430,2,4096,73,1181,0,399042,400384
4096B/key431,2,4096,83,1309,0,401450,402950
4096B/key432,2,4096,91,1323,0,399649,401177
4096B/key433,2,4096,85,1173,0,413513,414855
4096B/key434,2,4096,73,1169,0,425104,426427
4096B/key435,2,4096,74,1188,0,417045,418383
4096B/key436,2,4096,75,1301,0,400682,402139
4096B/key437,2,4096,98,1331,0,399682,412455
4096B/key438,2,4096,181,4184,0,438049,442486
4096B/key439,2,4096,91,1264,0,409743,411207
4096B/key440,2,4096,76,1288,0,398633,400074
4096B/key441,2,4096,75,1256,0,399655,401070
4096B/key442,2,4096,84,1490,0,413567,415227
4096B/key443,2,4096,80,1334,0,421792,423314
4096B/key444,2,4096,79,1304,0,398586,400066
4096B/key445,2,4096,70,1285,0,414520,415960
4096B/key446,2,4096,100,1280,0,409098,410557
4096B/key447,2,4096,69,1293,0,416647,418097
4096B/key448,2,4096,82,1205,0,463315,464688
4096B/key449,2,4096,69,1234,0,415691,417084
4096B/key450,2,4096,85,1214,0,421649,423033
4096B/key451,2,4096,67,1247,0,408082,409478
4096B/key452,2,4096,80,1218,0,409675,411057
4096B/key453,2,4096,75,1238,0,412308,413699
4096B/key454,2,4096,87,1436,0,410712,412319
4096B/key455,2,4096,101,2263,0,496307,498749
4096B/key456,2,4096,69,1303,0,398369,399811
4096B/key457,2,4096,76,1208,0,112753,114107
4096B/key458,2,4096,61,1161,0,417140,418426
4096B/key459,2,4096,81,1318,0,112604,114079
4096B/key460,2,4096,79,1270,0,149590,151011
4096B/key461,2,4096,78,1263,0,118222,119641
4096B/key462,2,4096,78,1215,0,126419,127790
4096B/key463,2,4096,79,1254,0,118363,119768
4096B/key464,2,4096,77,1129,0,119847,121130
4096B/key465,2,4096,75,1159,0,415884,417196
4096B/key466,2,4096,76,1362,0,394935,396450
4096B/key467,2,4096,68,1234,0,396591,397975
4096B/key468,2,4096,72,1197,0,401113,402470
4096B/key469,2,4096,82,1220,0,400440,401819
4096B/key470,2,4096,116,1557,0,405156,406890
4096B/key471,2,4096,119,1559,0,454133,455908
4096B/key472,2,4096,80,1387,0,406912,408449
4096B/key473,2,4096,71,1164,0,399254,400569
4096B/key474,2,4096,77,1492,0,428259,429908
4096B/key475,2,4096,69,1354,0,395376,396883
4096B/key476,2,4096,84,1221,0,420665,422053
4096B/key477,2,4096,73,1252,0,404364,405772
4096B/key478,2,4096,80,1178,0,411834,413165
4096B/key479,2,4096,78,1253,0,408653,410070
4096B/key480,2,4096,83,1200,0,419966,421319
4096B/key481,2,4096,64,1194,0,384417,385778
4096B/key482,2,4096,77,1198,0,410302,411663
