HR,WSS
1,298480220139
2,922104794020
3,1557926409049
4,2162349411371
5,2650154982222
6,3152131218082
7,3532766408268
8,3869234657468
9,4155980485553
10,4432871123446
11,4661660632884
12,4920642191483
13,5270788377060
14,5671555494238
15,6167136774660
16,6754545503888
17,7603413038963
18,8349272683347
19,9206997678291
20,10066335253476
21,11045703559801
22,11875879970600
23,12621978934964
24,13289049513374
25,13886550478503
26,14517896670386
27,15107147665183
28,15592829402147
29,16363049820837
30,16779357854677
31,17042184807374
32,17248228787959
33,17470720862508
34,17775874709095
35,18035093702013
36,18269670633634
37,18610976316159
38,19099607216345
39,19721769179252
40,20380198243666
41,21142063749955
42,21875351354196
43,22827146435985
44,23998690293206
45,24803466529748
46,25600834262990
47,26351875257669
48,27028703798910
49,27600326871160
50,28194519175696
51,28710117605980
52,29223258543327
53,29677319484129
54,30202723850734
55,30461048935551
56,30685506044383
57,30915411710119
58,31114701868975
59,31404628853928
60,31668161775278
61,31987763121408
62,32419253469524
63,33056624099073
64,33757552538958
65,34426258891049
66,35094663747727
67,35758107863546
68,36450913035313
69,37062542826352
70,37750808210113
71,38335948191825
72,38753185288997
73,39248739673507
74,39643566756029
75,40108391688279
76,40483284759822
77,40813323448429
78,41122336898939
79,41352779117228
80,41525122768267
81,41709727794037
82,41916672887015
83,42089485170497
84,42240215987719
85,42486005043615
86,42750707110646
87,43139926421497
88,43503841210940
89,43973106915453
90,44465073537467
91,44901384546692
92,45381310742866
93,45926911280107
94,46367050339237
95,46850429003472
96,47782203337770
97,48211480745733
98,48604248451406
99,48965771464888
100,49461115456076
101,49818255217470
102,50140741872569
103,50397337907686
104,50629102148114
105,50818067341723
106,50996796766143
107,51191313781091
108,51375203942901
109,51618599515490
110,51905937294155
111,52269961128671
112,52670973221536
113,53080390858107
114,53584120354854
115,54319200924661
116,54877084899610
117,55403802503780
118,55979381280745
119,56532850074965
120,57128627724285
121,57883225358847
122,58497968535491
123,59055578177054
124,59686323247059
125,60188927832141
126,60599926616808
127,60955119000495
128,61271048255766
129,61522325976457
130,61802313726253
131,62058104686135
132,62375479233713
133,62697913682949
134,63132496430912
135,63940271454404
136,64702012840966
137,65443639400357
138,66210399989109
139,66983494918919
140,67778471850121
141,68861440868438
142,70414349356524
143,71492479156445
144,72225034418456
145,72860588606974
146,73411688443609
147,73872609402153
148,74351935871865
149,74688207941572
150,75166136798870
151,75507828985516
152,75995443647961
153,76547172722682
154,76968143108016
155,77327992307671
156,77664606773203
157,78073402021816
158,78569323233645
159,79112032317588
160,79688809146443
161,80385701858225
162,81122251537234
163,81889614375052
164,82678595295425
165,83486756101722
166,84371100290501
167,85226379195333
168,85956457194887
169,86213858080716
